ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย บลัช บิสคิท แบร์ บีซี 01 มัดดี้ ชูการี่ OH MY BLUSH BISCUIT BARE BC 01 MUDDY SUGARY,11-1-6800007782,68,ผลิต,อนุมัติ,10/3/2568,9/3/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000077821163000281C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย บลัช บิสคิท แบร์ บีซี 02 โรซา โรท เดอ นัวร์ OH MY BLUSH BISCUIT BARE BC 02 ROSA ROTE DE’NAUR,11-1-6800007783,68,ผลิต,อนุมัติ,10/3/2568,9/3/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000077831163000281C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย บลัช บิสคิท แบร์ บีซี 03 เชอร์รี่ แบรนดี้ OH MY BLUSH BISCUIT BARE BC 03 CHERRY BRANDY,11-1-6800007784,68,ผลิต,อนุมัติ,10/3/2568,9/3/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000077841163000281C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย บลัช บิสคิท แบร์ บีซี 04 จินเจอรี่ ครีม ชีส OH MY BLUSH BISCUIT BARE BC 04 GINGERY CREAM CHEESE,11-1-6800007786,68,ผลิต,อนุมัติ,10/3/2568,9/3/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000077861163000281C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย บลัช บิสคิท แบร์ บีซี 05 บิสคอฟ มัดดี้ OH MY BLUSH BISCUIT BARE BC 05 BISCOFF MUDDY,11-1-6800007787,68,ผลิต,อนุมัติ,10/3/2568,9/3/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000077871163000281C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย บลัช ดอท OH MY BLUSH DOT,11-1-6800016568,68,ผลิต,อนุมัติ,28/5/2568,27/5/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000165681163000284C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย บลัช ดอท OH MY BLUSH DOT,11-1-6800026896,68,ผลิต,อนุมัติ,22/8/2568,21/8/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000268961163000282C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย บลัช ดอท OH MY BLUSH DOT,11-1-6800030611,68,ผลิต,อนุมัติ,22/9/2568,21/9/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000306111163000283C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย คลีน สกิน เซรั่ม-อินฟิวส์ ไมเซลล่า วอเตอร์ OH MY CLEAN SKIN SERUM-INFUSED MICELLAR WATER,12-1-6800031612,68,ผลิต,อนุมัติ,29/9/2568,28/9/2571,บริษัท เดอร์มา อินโนเวชั่น จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00012168000316121056018551C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย คอนซีลเลอร์ OH MY CONCEALER,11-1-6800029821,68,ผลิต,อนุมัติ,16/9/2568,15/9/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000298211163000286C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย คอเรคเตอร์ ซีอาร์-00 พีช พิลโลว์ OH MY CORRECTOR CR-00 PEACH PILLOW,11-1-6800029817,68,ผลิต,อนุมัติ,16/9/2568,15/9/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000298171163000281C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย อายไลเนอร์ อีแอล-01 ทู แบล็ค OH MY EYELINER EL-01 TOO BLACK,10-2-6800035375,68,นำเข้า,อนุมัติ,30/9/2568,29/9/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000353751052016341C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย อายไลเนอร์ อีแอล-02 ซอฟท์ บราวน์ OH MY EYELINER EL-02 SOFT BROWN,10-2-6800035376,68,นำเข้า,อนุมัติ,30/9/2568,29/9/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000353761052016341C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย กู้ด สกิน คุชชั่น เอสพีเอฟ 50 พีเอ +++ เบอร์ 00 OH MY GOOD SKIN CUSHION SPF 50 PA+++ NO.00,11-1-6800018614,68,ผลิต,อนุมัติ,17/6/2568,16/6/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000186141161000011C,
