ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
100 สกินแคร์ 100 SKINCARE,โกลว์วิ้ง สกิน ฟล้าอุเออร์ & เฮอเบิล สครับ GLOWING SKIN FLOWER & HERBAL SCRUB,12-1-6800009736,68,ผลิต,อนุมัติ,25/3/2568,24/3/2571,นาย คอยโร ยูเปาะนะ,-,,U1CM00012168000097361268000431C,
100 ปี 100 YEARS,ยาสีฟัน TOOTHPASTE,50-1-6800020032,68,ผลิต,ยกเลิก (30/7/2568),26/6/2568,30/7/2568,นายวีระพันธ์ ปันทะนา(บ้านรักบุญหอม),-,,U1CM00050168000200325068000471C,
100 ปี 100 YEARS,ยาสีฟัน TOOTHPASTE,50-1-6800026047,68,ผลิต,อนุมัติ,18/8/2568,17/8/2571,นายวีระพันธ์ ปันทะนา(บ้านรักบุญหอม),-,,U1CM00050168000260475068000471C,
149 สตาร์ 149 STAR,ซันสกรีน ครีม SUNSCREEN CREAM,12-1-6800022647,68,ผลิต,อนุมัติ,19/7/2568,18/7/2571,บริษัท เอ็มเอ็มเอ็ม คอสมีเทค จำกัด,-,,U1CM00012168000226471261000071C,
ทเวนตี้โฟร์เค โกลว์ สตราเรียล 24K GLOW STARAEL,เฟเชียล รีจู ออยล์ FACIAL REJU OIL,10-4-6800000118,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,7/3/2568,6/3/2571,บริษัท สกินเทค อินเตอร์ โปรดักส์ จำกัด,-,บริษัท พรอมิส ฟอร์ อะพรอมิส จำกัด,U1CM00010468000001181053006131C,
ทรีแคร์ 3 CARE,บลูเบลล์ เจนเทิล เอ็กซ์แทรกท์ บาลานซิ่ง เรเดียนซ์ คลีนซิ่ง โซป BLUEBELL GENTLE EXTRACT BALANCING RADIANCE CLEANSING SOAP,10-2-6800034348,68,นำเข้า,อนุมัติ,20/9/2568,19/9/2571,บริษัท เมย์ซี อินเตอร์เนชั่นแนล จำกัด,"GUANGZHOU ZESHI DAILY CHEMICAL CO., LTD. ROOM 102, NO. 7 LONGXING EAST ROAD, LONGGUI STREET, BAIYUN DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE, CHINA GUANZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000343481067048671C,
ทรีแคร์ 3 CARE,โบทานิคอล เอสเซนเชียล ออยล์ โซป บลอสซั่ม บลูม BOTANICAL ESSENTIAL OIL SOAP BLOSSOM BLOOM,10-2-6800019102,68,นำเข้า,อนุมัติ,4/6/2568,3/6/2571,บริษัท เมย์ซี อินเตอร์เนชั่นแนล จำกัด,"HEFEI RONGNUO INDUSTRIAL CO., LTD. BUILDING 9, FEIDONG YINFENG SCIENCE AND TECHNOLOGY PARK, FEIDONG COUNTY, HEFEI CITY, ANHUI PROVINCE, CHINA. HEFEI , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000191021067048671C,
ทรีแคร์ 3 CARE,โบทานิคอล เอสเซนเชียล ออยล์ โซป บลูเบลล์ ดิว BOTANICAL ESSENTIAL OIL SOAP BLUEBELL DEW,10-2-6800019101,68,นำเข้า,อนุมัติ,4/6/2568,3/6/2571,บริษัท เมย์ซี อินเตอร์เนชั่นแนล จำกัด,"HEFEI RONGNUO INDUSTRIAL CO., LTD. BUILDING 9, FEIDONG YINFENG SCIENCE AND TECHNOLOGY PARK, FEIDONG COUNTY, HEFEI CITY, ANHUI PROVINCE, CHINA. HEFEI , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000191011067048671C,
ทรีแคร์ 3 CARE,โบทานิคอล เซนเต็ด โซป บลูเบลล์ วิสเปอร์ BOTANICAL SCENTED SOAP BLUEBELL WHISPER,10-2-6800022835,68,นำเข้า,อนุมัติ,30/6/2568,29/6/2571,บริษัท เมย์ซี อินเตอร์เนชั่นแนล จำกัด,"HEFEI RONGNUO INDUSTRIAL CO., LTD. BUILDING 9, FEIDONG YINFENG SCIENCE AND TECHNOLOGY PARK, FEIDONG COUNTY, HEFEI CITY, ANHUI PROVINCE, CHINA. HEFEI , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000228351067048671C,
ทรีแคร์ 3 CARE,โบทานิคอล เซนเต็ด โซป โรซี่ ดรีม BOTANICAL SCENTED SOAP ROSEY DREAM,10-2-6800022834,68,นำเข้า,อนุมัติ,30/6/2568,29/6/2571,บริษัท เมย์ซี อินเตอร์เนชั่นแนล จำกัด,"HEFEI RONGNUO INDUSTRIAL CO., LTD. BUILDING 9, FEIDONG YINFENG SCIENCE AND TECHNOLOGY PARK, FEIDONG COUNTY, HEFEI CITY, ANHUI PROVINCE, CHINA. HEFEI , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000228341067048671C,
