ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
แอชลีย์ ASHLEY,แอนตี้-แฮร์ ลอส แชมพู ANTI-HAIR LOSS SHAMPOO,65-1-6800001585,68,ผลิต,อนุมัติ,16/1/2568,15/1/2571,บริษัท มาย สกิน แล็บราทอรี่ จำกัด,-,นางสาว อุษณีย์ คำหลวง,U1CM00065168000015856565000161C,
แอชลี่ย์ ASHLEY,ดอลลี่ อาย เพ็นซิล 01 DOLLY EYE PENCIL 01,10-2-6800005989,68,นำเข้า,อนุมัติ,24/2/2568,23/2/2571,บริษัท พีพี โกลบอล อินเตอร์เนชั่นแนล จำกัด,"YIWU SAINT DAVIA COSMETICS CO.,LTD 1117,YONGJUN RD, HOUZHAI INDUSTRIAL ZONE YIWU CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000059891060573201C,
แอชลี่ย์ ASHLEY,ดอลลี่ อาย เพ็นซิล 02 DOLLY EYE PENCIL 02,10-2-6800005996,68,นำเข้า,อนุมัติ,24/2/2568,23/2/2571,บริษัท พีพี โกลบอล อินเตอร์เนชั่นแนล จำกัด,"YIWU SAINT DAVIA COSMETICS CO.,LTD 1117,YONGJUN RD, HOUZHAI INDUSTRIAL ZONE YIWU CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000059961060573201C,
แอชลี่ย์ ASHLEY,ดอลลี่ อาย เพ็นซิล 03 DOLLY EYE PENCIL 03,10-2-6800006008,68,นำเข้า,อนุมัติ,24/2/2568,23/2/2571,บริษัท พีพี โกลบอล อินเตอร์เนชั่นแนล จำกัด,"YIWU SAINT DAVIA COSMETICS CO.,LTD 1117,YONGJUN RD, HOUZHAI INDUSTRIAL ZONE YIWU CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000060081060573201C,
แอชลี่ย์ ASHLEY,ฮาร์ท บีท ไนน์ 01 HEART BEAT NINE 01,10-2-6800026325,68,นำเข้า,อนุมัติ,25/7/2568,24/7/2571,บริษัท พีพี โกลบอล อินเตอร์เนชั่นแนล จำกัด,"ZHEJIANG BOFEI COSMETICS CO., LTD NO.68 QINGSHAN STREET, JINDONG ECONOMIC DEVELOPMENT ZONE, XIETANG OFFICE, JINDONG DISTRICT, JINHUA CITY ZHEJINAG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000263251060573201C,
แอชลี่ย์ ASHLEY,ฮาร์ท บีท ไนน์ 02 HEART BEAT NINE 02,10-2-6800026326,68,นำเข้า,อนุมัติ,25/7/2568,24/7/2571,บริษัท พีพี โกลบอล อินเตอร์เนชั่นแนล จำกัด,"ZHEJIANG BOFEI COSMETICS CO., LTD NO.68 QINGSHAN STREET, JINDONG ECONOMIC DEVELOPMENT ZONE, XIETANG OFFICE, JINDONG DISTRICT, JINHUA CITY ZHEJINAG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000263261060573201C,
แอชลี่ย์ ASHLEY,ไลน์ มี อัพ LINE ME UP,10-2-6800036414,68,นำเข้า,อนุมัติ,8/10/2568,7/10/2571,บริษัท พีพี โกลบอล อินเตอร์เนชั่นแนล จำกัด,"YIWU SAINT DAVIA COSMETICS CO.,LTD 1117,YONGJUN RD, HOUZHAI INDUSTRIAL ZONE YIWU CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000364141060573201C,
แอชลี่ย์ ASHLEY,เลิฟ ไลน์ อายไลเนอร์ LUV LINE EYELINER,10-2-6800036413,68,นำเข้า,อนุมัติ,8/10/2568,7/10/2571,บริษัท พีพี โกลบอล อินเตอร์เนชั่นแนล จำกัด,"YIWU SAINT DAVIA COSMETICS CO.,LTD 1117,YONGJUN RD, HOUZHAI INDUSTRIAL ZONE YIWU CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000364131060573201C,
แอชลี่ย์ ASHLEY,มิกซ์ แมทซ์ มาสคาร่า MIX MATCH MASCARA,10-2-6800016536,68,นำเข้า,อนุมัติ,16/5/2568,15/5/2571,บริษัท พีพี โกลบอล อินเตอร์เนชั่นแนล จำกัด,"GUANGDONG JIULI COSMETICS CO.,LTD. 1/F,NO.201 OF 2/F,3-4/F,BUILDING 5,AREA D,WANYANG ZHONGCHUANG CITY,GUANGDEYUAN,YINGHONG TOWN,YINGDE CITY,QINGYUAN CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000165361060573201C,
แอชลี่ย์ ASHLEY,เพลฟูล บลัช PLAYFUL BLUSH,10-2-6800011115,68,นำเข้า,อนุมัติ,2/4/2568,1/4/2571,บริษัท พีพี โกลบอล อินเตอร์เนชั่นแนล จำกัด,"GUANGDONG LILAIYA BIOTECH CO.,LTD. 1ST FLOOR-5TH FLOOR WORKSHOP, NO.15, A04-01 LAND, CENTRAL SOUTH AREA, GUANGDONG SHUNDE QINGYUAN (YINGDE) ECONOMIC COOPERATION DISTRICT, YINGHONG TOWN, YINGDE CITY, GUANGDONG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000111151060573208C,
