ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เบบี้ไบร์ท BABY BRIGHT,#เชียร์ฟูลพีชอายพาเลท #CHEERFUL PEACH EYE PALETTE,10-2-6800000031,68,นำเข้า,อนุมัติ,2/1/2568,1/1/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"KARMARTS INTERNATIONAL COMPANY LIMITED 8 , BANG SHENG ROAD, JINGHU , HUADU DISTRICT , GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000000311052015521C,
เบบี้ไบร์ท BABY BRIGHT,#เชียร์ฟูลพีชอายพาเลท #CHEERFUL PEACH EYE PALETTE,21-1-6800006811,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068111052013401C,
เบบี้ไบร์ท BABY BRIGHT,100% มิเนอรัลซันคัฟเวอร์ เอสพีเอฟ50+ พีเอ++++ 100% MINERAL SUN COVER SPF50+ PA++++,10-2-6800032752,68,นำเข้า,อนุมัติ,9/9/2568,8/9/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"COSMECCA KOREA CO.,LTD. 1 DAEPUNG-RI, DAESO-MYEON, EUMSEONG-GUN, CHUNGCHEONG BUK-DO , KOREA, SOUTH",,U1CM00010268000327521052015522C,
เบบี้ไบร์ท BABY BRIGHT,100% มิเนอรัลซันคัฟเวอร์ เอสพีเอฟ50+ พีเอ++++ 100% MINERAL SUN COVER SPF50+ PA++++,21-4-6800000486,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,17/9/2568,16/9/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021468000004861052013401C,
เบบี้ไบร์ท BABY BRIGHT,เท็นเอ็กซ์แอนไท-เอจจิ้งกลาสสกินมาสก์ชีท 10X ANTI-AGING GLASS SKIN MASK SHEET,21-1-6800006478,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000064781052013401C,
เบบี้ไบร์ท BABY BRIGHT,เท็นเอ็กซ์ไบร์ทเทนนิ่งกลาสสกินมาสก์ชีท 10X BRIGHTENING GLASS SKIN MASK SHEET,21-1-6800006476,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000064761052013401C,
เบบี้ไบร์ท BABY BRIGHT,เท็นเอ็กซ์ไฮเดรติ้งกลาสสกินมาสก์ชีท 10X HYDRATING GLASS SKIN MASK SHEET,21-1-6800006477,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000064771052013401C,
เบบี้ไบร์ท BABY BRIGHT,เท็นเอ็กซ์ซูทติ้งกลาสสกินมาสก์ชีท 10X SOOTHING GLASS SKIN MASK SHEET,21-1-6800006475,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000064751052013401C,
เบบี้ไบร์ท BABY BRIGHT,แอคเน่สปอตดราก้อนบลัดเจล. ACNE SPOT DRAGON BLOOD GEL.,21-4-6800000273,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,26/5/2568,25/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021468000002731052013401C,
เบบี้ไบร์ท BABY BRIGHT,ออโรร่าชิมเมอร์บอดี้แอนด์แฮร์มิสท์ AURORA SHIMMER BODY & HAIR MIST,21-1-6800017085,68,ผลิต,อนุมัติ,4/6/2568,3/6/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000170851052013401C,
เบบี้ไบร์ท BABY BRIGHT,แบร์บลัชบาล์ม BARE BLUSH BALM,10-2-6800005283,68,นำเข้า,อนุมัติ,17/2/2568,16/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"KARMARTS INTERNATIONAL COMPANY LIMITED 8 , BANG SHENG ROAD, JINGHU , HUADU DISTRICT , GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000052831052015526C,
เบบี้ไบร์ท BABY BRIGHT,แบร์บลัชบาล์ม BARE BLUSH BALM,21-1-6800024001,68,ผลิต,อนุมัติ,31/7/2568,30/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000240011052013406C,
เบบี้ไบร์ท BABY BRIGHT,แบริเออร์แมทท์ลิปคลิก BARRIER MATTE LIP CLICK,21-1-6800006830,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM000211680000683010520134010C,
เบบี้ไบร์ท BABY BRIGHT,แบริเออร์แมทท์ลิปคลิก 05 อะโกลว์ออเร้นจ์ BARRIER MATTE LIP CLICK 05 AGLOW ORANGE,21-1-6800006827,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068271052013401C,
เบบี้ไบร์ท BABY BRIGHT,แบริเออร์แมทท์ลิปคลิก 06 เบลซซิงออเร้นจ์ BARRIER MATTE LIP CLICK 06 BLAZING ORANGE,21-1-6800006828,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068281052013401C,
