ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
บาโนบากิ BANOBAGI,แอคเน่ แอนด์ บลิ๊งค์ มาสก์ ACNE & BLINK MASK,10-2-6800023312,68,นำเข้า,อนุมัติ,3/7/2568,2/7/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000233121065123781C,
บาโนบากิ BANOBAGI,แอคเน่ ไบร์ท มาสก์ ACNE BRIGHT MASK,10-2-6800021753,68,นำเข้า,อนุมัติ,23/6/2568,22/6/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000217531065123781C,
บาโนบากิ BANOBAGI,แอคเน่ ไบรท์ สกิน บูสเตอร์ มาสก์ ACNE BRIGHT SKIN BOOSTER MASK,10-2-6800004167,68,นำเข้า,อนุมัติ,5/2/2568,4/2/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000041671065123781C,
บาโนบากิ BANOBAGI,แบล็ค มาสก์ แอคเน่ ดีท็อกซี่ BLACK MASK ACNE DETOXY,10-2-6800025819,68,นำเข้า,อนุมัติ,22/7/2568,21/7/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000258191065123781C,
บาโนบากิ BANOBAGI,แบล็ค มาสก์ เบบี้ เฟซ BLACK MASK BABY FACE,10-2-6800025822,68,นำเข้า,อนุมัติ,22/7/2568,21/7/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000258221065123781C,
บาโนบากิ BANOBAGI,แบล็ค มาสก์ ชายน์นี่ โกลว์ BLACK MASK SHINY GLOW,10-2-6800025818,68,นำเข้า,อนุมัติ,22/7/2568,21/7/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000258181065123781C,
บาโนบากิ BANOBAGI,แบล็ค มาสก์ ไวท์ แลสติ้ง BLACK MASK WHITE LASTING,10-2-6800025820,68,นำเข้า,อนุมัติ,22/7/2568,21/7/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000258201065123781C,
บาโนบากิ BANOBAGI,ไบร์ท แอนด์ บิวท์ พรีเมี่ยม มาสก์ BRIGHT & BUILT PREMIUM MASK,10-2-6800011435,68,นำเข้า,อนุมัติ,4/4/2568,3/4/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000114351065123781C,
บาโนบากิ BANOBAGI,ซิก้า คอมเพล็กซ์ สกิน บูสเตอร์ มาสก์ CICA COMPLEX SKIN BOOSTER MASK,10-2-6800011481,68,นำเข้า,อนุมัติ,4/4/2568,3/4/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000114811065123781C,
บาโนบากิ BANOBAGI,ดีพ เซรั่ม แอคเน่ แอนด์ ซาลิไซลิก 2 เปอร์เซ็นต์ DEEP SERUM ACNE & SALICYLIC 2%,10-2-6800015078,68,นำเข้า,อนุมัติ,6/5/2568,5/5/2571,บริษัท บียอนด์ บิวตี้ เทรด จำกัด,"C&TECH CORP. 30, SANDAN-RO, PYEONGTAEK-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000150781065123781C,
