ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เบลนดี้ เชดดิ้ง สติ๊ก BLENDY SHADING STICK,10-2-6800036574,68,นำเข้า,อนุมัติ,9/10/2568,8/10/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU COSORAN COSMETICS CO., LTD R601 6TH,F,R501 5TH,F,R401 4TH,F,R201 2ND.,F,R101 1ST.,F,THE 12TH BLDG, THE 3RD PHASE BUILT 4TH FACTORY, HUINI INDUSTRIAL PARK,NO.17 DABU RD.,XIUQUAN STREET,HUADU DISTRICT, GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000365741062143013C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เบลอร์ริง เซ็ต ลูส พาวเดอร์ BLURRING SET LOOSE POWDER,10-2-6800036005,68,นำเข้า,อนุมัติ,3/10/2568,2/10/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU COSORAN COSMETICS CO., LTD R601 6TH,F,R501 5TH,F,R401 4TH,F,R201 2ND.,F,R101 1ST.,F,THE 12TH BLDG, THE 3RD PHASE BUILT 4TH FACTORY, HUINI INDUSTRIAL PARK,NO.17 DABU RD.,XIUQUAN STREET,HUADU DISTRICT, GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000360051062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,บาย บาย เมคอัพ ลิป แอนด์ อาย รีมูฟเวอร์ BYE BYE MAKEUP LIP & EYE REMOVER,10-2-6800031230,68,นำเข้า,อนุมัติ,28/8/2568,27/8/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"SHANGHAI FOYOU COSMETICS CO., LTD. 2/F OF BUILDING 8 BUILDING 9, BUILDING 10, NO.388, HUIKE ROAD, ZHANGYAN TOWN INDUSTRIAL ZONE JINSHAN DISTRICT, SHANGHAI CITY -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000312301062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,คริสตัล พาเลตต์ ไฮไลท์เตอร์ CRYSTALS PALETTE HIGHLIGHTER,10-2-6800036461,68,นำเข้า,อนุมัติ,8/10/2568,7/10/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU COSORAN COSMETICS CO., LTD R601 6TH,F,R501 5TH,F,R401 4TH,F,R201 2ND.,F,R101 1ST.,F,THE 12TH BLDG, THE 3RD PHASE BUILT 4TH FACTORY, HUINI INDUSTRIAL PARK,NO.17 DABU RD.,XIUQUAN STREET,HUADU DISTRICT, GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000364611062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เอ็นชาน ออร์ชาร์ด ENCHANTED ORCHARD,10-2-6800035726,68,นำเข้า,อนุมัติ,1/10/2568,30/9/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU ORCHARD AROMATHERAPY & SKINCARE CO., LTD. FLOORS 2-5, 2ND BUILDING, NO. 133-1 GUANGCHEN ROAD, ZHONGLUOTAN, BAIYUN DISTRICT GUANGZHOU 510545, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000357261062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เอ็นชาน ออร์ชาร์ด แฮนด์ ครีม ENCHANTED ORCHARD HAND CREAM,10-2-6800036522,68,นำเข้า,อนุมัติ,9/10/2568,8/10/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU ORCHARD AROMATHERAPY & SKINCARE CO., LTD. FLOORS 2-5, 2ND BUILDING, NO. 133-1 GUANGCHEN ROAD, ZHONGLUOTAN, BAIYUN DISTRICT GUANGZHOU 510545, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000365221062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,ฟอลส์ แลช เอฟเฟกต์ ดูโอ้ มาสคาร่า FALSE LASH EFFECT DUO MASCARA,10-2-6800036004,68,นำเข้า,อนุมัติ,3/10/2568,2/10/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU COSORAN COSMETICS CO., LTD R601 6TH,F,R501 5TH,F,R401 4TH,F,R201 2ND.,F,R101 1ST.,F,THE 12TH BLDG, THE 3RD PHASE BUILT 4TH FACTORY, HUINI INDUSTRIAL PARK,NO.17 DABU RD.,XIUQUAN STREET,HUADU DISTRICT, GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000360041062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,ฟลอรา คาเรส FLORA CARESS,10-2-6800035737,68,นำเข้า,อนุมัติ,1/10/2568,30/9/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU ORCHARD AROMATHERAPY & SKIN CARE CO., LTD. FLOORS 2-5, 2ND BUILDING, NO. 133-1 GUANGCHEN ROAD, ZHONGLUOTAN, BAIYUN DISTRICT GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000357371062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,ฟลอรา คาเรส แฮนด์ ครีม FLORA CARESS HAND CREAM,10-2-6800036425,68,นำเข้า,อนุมัติ,8/10/2568,7/10/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU ORCHARD AROMATHERAPY & SKIN CARE CO., LTD. FLOORS 2-5, 2ND BUILDING, NO. 133-1 GUANGCHEN ROAD, ZHONGLUOTAN, BAIYUN DISTRICT GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000364251062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เอ็ม เดย์ แอนด์ ไนท์ ครีม M DAY AND NIGHT CREAM,74-1-6800021899,68,ผลิต,อนุมัติ,15/7/2568,14/7/2571,บริษัท อาร์ แอนด์ ดี อินเตอร์ แมนูแฟคเจอริ่ง จำกัด,-,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),U1CM00074168000218991059018561C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เอ็ม ทรีทเม้นต์ อาย เซรั่ม M TREATMENT EYE SERUM,74-1-6800029673,68,ผลิต,อนุมัติ,15/9/2568,14/9/2571,บริษัท อาร์ แอนด์ ดี อินเตอร์ แมนูแฟคเจอริ่ง จำกัด,-,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),U1CM00074168000296731059018561C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เอ็ม ทรีทเม้นต์ เซรั่ม M TREATMENT SERUM,74-1-6800021802,68,ผลิต,อนุมัติ,14/7/2568,13/7/2571,บริษัท อาร์ แอนด์ ดี อินเตอร์ แมนูแฟคเจอริ่ง จำกัด,-,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),U1CM00074168000218021059018561C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เมคอัพ ออล กอน รีมูฟเวอร์ นอริช ไวพส์ MAKEUP ALL GONE REMOVER NOURISH WIPES,73-1-6800031990,68,ผลิต,อนุมัติ,2/10/2568,1/10/2571,บริษัท คูริโนะ (ประเทศไทย) จำกัด,-,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),U1CM00073168000319907361000111C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เมคอัพ โน เมคอัพ พาวเดอร์ ฟาวน์เดชั่น เบอร์ 01 แบร์ ไอเวอรี MAKEUP NO MAKEUP POWDER FOUNDATION NO. 01 BARE IVORY,10-2-6800034912,68,นำเข้า,อนุมัติ,25/9/2568,24/9/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU YUMING BIOTECHNOLOGY CO., LTD. 2/F TO 5/F , BUILDING B, NO.22, CHUANGYUAN ROAD, SHIBI SUBDISTRICT, PANYU DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000349121062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เมคอัพ โน เมคอัพ พาวเดอร์ ฟาวน์เดชั่น เบอร์ 02 ซอฟท์ นู้ด MAKEUP NO MAKEUP POWDER FOUNDATION NO. 02 SOFT NUDE,10-2-6800034914,68,นำเข้า,อนุมัติ,25/9/2568,24/9/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU YUMING BIOTECHNOLOGY CO., LTD. 2/F TO 5/F , BUILDING B, NO.22, CHUANGYUAN ROAD, SHIBI SUBDISTRICT, PANYU DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000349141062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เมคอัพ โน เมคอัพ พาวเดอร์ ฟาวน์เดชั่น เบอร์ 03 ไลท์ เนเชอรัล MAKEUP NO MAKEUP POWDER FOUNDATION NO. 03 LIGHT NATURAL,10-2-6800034916,68,นำเข้า,อนุมัติ,25/9/2568,24/9/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU YUMING BIOTECHNOLOGY CO., LTD. 2/F TO 5/F , BUILDING B, NO.22, CHUANGYUAN ROAD, SHIBI SUBDISTRICT, PANYU DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000349161062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เมคอัพ โน เมคอัพ พาวเดอร์ ฟาวน์เดชั่น เบอร์ 04 วอร์ม เบจ MAKEUP NO MAKEUP POWDER FOUNDATION NO. 04 WARM BEIGE,10-2-6800034919,68,นำเข้า,อนุมัติ,25/9/2568,24/9/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU YUMING BIOTECHNOLOGY CO., LTD. 2/F TO 5/F , BUILDING B, NO.22, CHUANGYUAN ROAD, SHIBI SUBDISTRICT, PANYU DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000349191062143011C,
บิวตี้ บุฟเฟต์ BEAUTY BUFFET,เมคอัพ โน เมคอัพ พาวเดอร์ ฟาวน์เดชั่น เบอร์ 05 โกลเด็น แทน MAKEUP NO MAKEUP POWDER FOUNDATION NO. 05 GOLDEN TAN,10-2-6800034920,68,นำเข้า,อนุมัติ,25/9/2568,24/9/2571,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"GUANGZHOU YUMING BIOTECHNOLOGY CO., LTD. 2/F TO 5/F , BUILDING B, NO.22, CHUANGYUAN ROAD, SHIBI SUBDISTRICT, PANYU DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000349201062143011C,
