ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เบอร์กาจุดบีเคเค BERGA.BKK,จาร์แด็ง บลองก์ โอ เดอ ปาฟูม สเปรย JARDIN BLANC EAU DE PARFUM SPRAY,65-1-6800029165,68,ผลิต,อนุมัติ,10/9/2568,9/9/2571,บริษัท บิวตี้ คอสเมต จำกัด,-,,U1CM00065168000291656568000021C,
เบอร์กาจุดบีเคเค BERGA.BKK,แซงต์ ชาเปล โอ เดอ ปาฟูม สเปรย์ SAINT CHAPEL EAU DE PARFUM SPRAY,65-1-6800029166,68,ผลิต,อนุมัติ,10/9/2568,9/9/2571,บริษัท บิวตี้ คอสเมต จำกัด,-,,U1CM00065168000291666568000021C,
เบอร์กาจุดบีเคเค BERGA.BKK,โซล โอ เดอ ปาฟูม สเปรย์ SOL EAU DE PARFUM SPRAY,65-1-6800029164,68,ผลิต,อนุมัติ,10/9/2568,9/9/2571,บริษัท บิวตี้ คอสเมต จำกัด,-,,U1CM00065168000291646568000021C,
บีเค BK,แอคเน่ คูล ซิก้า ยาง วิป โซป ACNE COOL CICA YANG WHIPPED SOAP,11-1-6800018863,68,ผลิต,อนุมัติ,18/6/2568,17/6/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บางกอก เฮลท์ กรุ๊ป จำกัด,U1CM00011168000188631061227311C,
บีเค BK,แมทลิป MATTE LIP,11-1-6800000317,68,ผลิต,อนุมัติ,6/1/2568,5/1/2571,บริษัท บิวตี้ 888 จำกัด,-,,U1CM00011168000003171167000603C,
บีเค แอคเน่ BK ACNE,เคลย์ ซิก้า ฟาสท์ มาส์ก CLAY CICA FAST MASK,30-2-6800006087,68,นำเข้า,อนุมัติ,24/2/2568,23/2/2571,บริษัท บางกอก เฮลท์ กรุ๊ป จำกัด,"COS LEAGUER CO.,LTD 295, GONGDAN 1-DAERO, SIHEUNG-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00030268000060873066000161C,
บีเค แอคเน่ BK ACNE,เคลียร์ ซิก้า คลาวดี้ ลูส พาวเดอร์ CLLEAR CICA CLOUDY LOOSE POWDER,11-1-6800031271,68,ผลิต,อนุมัติ,25/9/2568,24/9/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บางกอก เฮลท์ กรุ๊ป จำกัด,U1CM00011168000312711061227311C,
บีเค แอคเน่ BK ACNE,เคลียร์ ซิก้า โกลว์ฟิต ยูวี เอสพีเอฟ 50+ พีเอ++++ CLLEAR CICA GLOWFIT UV SPF 50+ PA++++,30-2-6800004601,68,นำเข้า,อนุมัติ,7/2/2568,6/2/2571,บริษัท บางกอก เฮลท์ กรุ๊ป จำกัด,"COS LEAGUER CO.,LTD 295, GONGDAN 1-DAERO, SIHEUNG-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00030268000046013066000161C,
บีเค แอคเน่ BK ACNE,เคลีย์ ซิก้า สปอต เจล แอคเซโร่ CLLEAR CICA SPOT GEL ACZERO,30-2-6800034462,68,นำเข้า,อนุมัติ,22/9/2568,21/9/2571,บริษัท บางกอก เฮลท์ กรุ๊ป จำกัด,"COSLEAGUER CO., LTD. 295, GONGDAN 1-DAERO, SIHEUNG-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00030268000344623066000161C,
บีเค แอคเน่ BK ACNE,เคลียร์ ซิก้า วอเตอร์ เจล เซรั่ม CLLEAR CICA WATER GEL SERUM,30-2-6800006088,68,นำเข้า,อนุมัติ,24/2/2568,23/2/2571,บริษัท บางกอก เฮลท์ กรุ๊ป จำกัด,"COS LEAGUER CO.,LTD 295, GONGDAN 1-DAERO, SIHEUNG-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00030268000060883066000161C,
บีเค แอคเน่ BK ACNE,ซิลกี้ ฟิต คุชชั่น แมทท์แอนด์มอยซ์ เอฟพีเอฟ 50+พีเอ++++ เอ็นซี20 SILKY FIT CUSHION MATT & MOIST SPF 50+PA++++ NC20,30-2-6800006085,68,นำเข้า,อนุมัติ,24/2/2568,23/2/2571,บริษัท บางกอก เฮลท์ กรุ๊ป จำกัด,"COS LEAGUER CO.,LTD 295, GONGDAN 1-DAERO, SIHEUNG-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00030268000060853066000161C,
