ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
บราวอิท BROWIT,อะเวคคาเฟอีนอายบราวมาสคาร่า AWAKE CAFFEINE EYEBROW MASCARA,21-1-6800006807,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068071052013403C,
บราวอิท BROWIT,อะเวคคาเฟอีนอายบราวมาสคาร่า #ดาร์กลาวา AWAKE CAFFEINE EYEBROW MASCARA #DARK LAVA,21-1-6800006808,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068081052013401C,
บราวอิท BROWIT,อะเวคคาเฟอีนอายไลน์เนอร์ #รัสท์บราวน์ AWAKE CAFFEINE EYELINER #RUST BROWN,21-1-6800006809,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068091052013401C,
บราวอิท BROWIT,อะเวคคาเฟอีนอายไลน์เนอร์ #วีว่าแบล็ค AWAKE CAFFEINE EYELINER #VIVA BLACK,21-1-6800015430,68,ผลิต,อนุมัติ,20/5/2568,19/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000154301052013401C,
บราวอิท BROWIT,บราวซาลอนลิควิดแอนด์คาร่า 01 กูตูร์บราวน์ BROW SALON LIQUID AND CARA 01 COUTURE BROWN,21-1-6800008051,68,ผลิต,อนุมัติ,11/3/2568,10/3/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000080511052013401C,
บราวอิท BROWIT,บราวซาลอนลิควิดแอนด์คาร่า 02 กอร์เจียสบราวน์ BROW SALON LIQUID AND CARA 02 GORGEOUS BROWN,21-1-6800015407,68,ผลิต,อนุมัติ,20/5/2568,19/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000154071052013401C,
บราวอิท BROWIT,บราวซาลอนลิควิดแอนด์คาร่า 03 แกลมไนท์บราวน์ BROW SALON LIQUID AND CARA 03 GLAM NIGHT BROWN,21-1-6800015402,68,ผลิต,อนุมัติ,20/5/2568,19/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000154021052013401C,
บราวอิท BROWIT,เชฟอายบราวเพนซิล CHEF EYEBROW PENCIL,21-1-6800006806,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068061052013403C,
บราวอิท BROWIT,เชฟอายบราวเพนซิล #02 คุกกี้บราวน์ CHEF EYEBROW PENCIL #02 COOKIE BROWN,21-1-6800006804,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068041052013401C,
บราวอิท BROWIT,เชฟอายแชโดว์ดิป CHEF EYESHADOW DIP,21-1-6800006812,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068121052013409C,
บราวอิท BROWIT,เชฟเจลอายไลน์เนอร์ #01 แบล็ครีซอตโต CHEF GEL EYELINER #01 BLACK RISOTTO,21-1-6800006815,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068151052013401C,
บราวอิท BROWIT,เชฟเจลอายไลน์เนอร์ #02 ทรัฟเฟิล ซุป CHEF GEL EYELINER #02 TRUFFLE SOUP,21-1-6800006816,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068161052013401C,
บราวอิท BROWIT,เชฟเจลอายไลน์เนอร์ #03 พิซซ่า CHEF GEL EYELINER #03 PIZZA,21-1-6800006817,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068171052013401C,
บราวอิท BROWIT,เชฟเจลอายไลน์เนอร์ #04 สปาเก็ตตี้ CHEF GEL EYELINER #04 SPAGHETTI,21-1-6800006818,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000068181052013401C,
บราวอิท BROWIT,คลีนแอนด์แคร์มาสคาร่ารีมูฟเวอร์ CLEAN & CARE MASCARA REMOVER,10-2-6800007091,68,นำเข้า,ยกเลิก (8/4/2568),3/3/2568,8/4/2568,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00010268000070911052015521C,
บราวอิท BROWIT,คลีนแอนด์แคร์มาสคาร่ารีมูฟเวอร์ CLEAN & CARE MASCARA REMOVER,10-2-6800012975,68,นำเข้า,อนุมัติ,19/4/2568,18/4/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"KARMARTS INTERNATIONAL COMPANY LIMITED 8 , BANG SHENG ROAD, JINGHU , HUADU DISTRICT , GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000129751052015521C,
บราวอิท BROWIT,คลีนแอนด์แคร์มาสคาร่ารีมูฟเวอร์ CLEAN & CARE MASCARA REMOVER,21-1-6800015448,68,ผลิต,อนุมัติ,20/5/2568,19/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000154481052013401C,
