ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เคที่ดอลล์ CATHY DOLL,8 เอ็กซ์ คุชชั่นมาสก์แอคเน่แคร์ 8X CUSHION MASK ACNE CARE,10-2-6800032662,68,นำเข้า,ยกเลิก (2/10/2568),9/9/2568,2/10/2568,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00010268000326621052015521C,
เคที่ดอลล์ CATHY DOLL,8 เอ็กซ์ คุชชั่นมาสก์แอนตี้ดาร์กสปอต 8X CUSHION MASK ANTI-DARK SPOT,10-2-6800032661,68,นำเข้า,ยกเลิก (2/10/2568),9/9/2568,2/10/2568,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00010268000326611052015521C,
เคที่ดอลล์ CATHY DOLL,8 เอ็กซ์ คุชชั่นมาสก์แอนตี้ริงเคิล 8X CUSHION MASK ANTI-WRINKLE,10-2-6800032660,68,นำเข้า,ยกเลิก (2/10/2568),9/9/2568,2/10/2568,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00010268000326601052015521C,
เคที่ดอลล์ CATHY DOLL,8 เอ็กซ์ คุชชั่นมาสก์ไวท์เทนนิ่ง 8X CUSHION MASK WHITENING,10-2-6800032659,68,นำเข้า,ยกเลิก (2/10/2568),9/9/2568,2/10/2568,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00010268000326591052015521C,
เคที่ดอลล์ CATHY DOLL,8 เอ็กซ์ คุชชั่นโทนเนอร์มาสก์แอคเน่แคร์ 8X CUSHION TONER MASK ACNE CARE,10-2-6800037047,68,นำเข้า,อนุมัติ,15/10/2568,14/10/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"ALLLION COMPANY CO.,LTD. #403,4, BAEKJEGOBUN-RO 36-GIL, SONGPA-GU, SEOUL, , KOREA, SOUTH",,U1CM00010268000370471052015521C,
เคที่ดอลล์ CATHY DOLL,8 เอ็กซ์ คุชชั่นโทนเนอร์มาสก์แอนตี้ดาร์กสปอต 8X CUSHION TONER MASK ANTI-DARK SPOT,10-2-6800037048,68,นำเข้า,อนุมัติ,15/10/2568,14/10/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"ALLLION COMPANY CO.,LTD. #403,4, BAEKJEGOBUN-RO 36-GIL, SONGPA-GU, SEOUL, , KOREA, SOUTH",,U1CM00010268000370481052015521C,
เคที่ดอลล์ CATHY DOLL,8 เอ็กซ์ คุชชั่นโทนเนอร์มาสก์แอนตี้ริงเคิล 8X CUSHION TONER MASK ANTI-WRINKLE,10-2-6800037046,68,นำเข้า,อนุมัติ,15/10/2568,14/10/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"ALLLION COMPANY CO.,LTD. #403,4, BAEKJEGOBUN-RO 36-GIL, SONGPA-GU, SEOUL, , KOREA, SOUTH",,U1CM00010268000370461052015521C,
เคที่ดอลล์ CATHY DOLL,8 เอ็กซ์ คุชชั่นโทนเนอร์มาสก์ไวท์เทนนิ่ง 8X CUSHION TONER MASK WHITENING,10-2-6800037045,68,นำเข้า,อนุมัติ,15/10/2568,14/10/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"ALLLION COMPANY CO.,LTD. #403,4, BAEKJEGOBUN-RO 36-GIL, SONGPA-GU, SEOUL, , KOREA, SOUTH",,U1CM00010268000370451052015521C,
เคที่ดอลล์ CATHY DOLL,เอซีมูสคลีนเซอร์ AC MOUSSE CLEANSER,21-1-6800000541,68,ผลิต,อนุมัติ,8/1/2568,7/1/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000005411052013401C,
เคที่ ดอลล์ CATHY DOLL,เอซีแพดบีเอชเอ AC PAD BHA,21-1-6800000542,68,ผลิต,อนุมัติ,8/1/2568,7/1/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000005421052013401C,
เคที่ดอลล์ CATHY DOLL,อาซาอิเบอร์รี่ลิปบาล์ม ACAI BERRY LIP BALM,10-2-6800032663,68,นำเข้า,อนุมัติ,9/9/2568,8/9/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"GUANGDONG KAMELLIA INTERNATIONAL COMPANY LIMITED. STOREY 5-6, BLOCK 3, NO.1, HUANGPU ROAD, GUANGQING INDUSTRIAL ESTATE, GUANGQING SPECIAL ECONOMIC COOPERATION ZONE, SHIJIAO TOWN, QINGCHENG DISTRICT, QINGYUAN CITY, GUANGDONG PROVINCE, -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000326631052015521C,
เคที่ดอลล์ CATHY DOLL,แอคเน่เมคอัพคลีนซิ่งมิลค์ ACNE MAKEUP CLEANSING MILK,10-2-6800008563,68,นำเข้า,อนุมัติ,14/3/2568,13/3/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"SEOUL COSMETICS CO.,LTD (143B-9L) NAMDONG IND , 718-8 GOJAN-DONG , NAMDONG-KU , INCHEON , KOREA, SOUTH",,U1CM00010268000085631052015521C,
เคที่ดอลล์ CATHY DOLL,แอคเน่เมคอัพคลีนซิ่งมิลค์ ACNE MAKEUP CLEANSING MILK,21-1-6800015413,68,ผลิต,อนุมัติ,20/5/2568,19/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000154131052013401C,
เคที่ดอลล์ CATHY DOLL,แอคเน่เมคอัพคลีนซิ่งมิลค์ ACNE MAKEUP CLEANSING MILK,21-4-6800000157,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,26/3/2568,25/3/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021468000001571052013401C,
เคที่ดอลล์ CATHY DOLL,แอคเน่ออยล์คอนโทรลเปเปอร์ ACNE OIL CONTROL PAPER,21-1-6800018283,68,ผลิต,อนุมัติ,13/6/2568,12/6/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000182831052013401C,
เคที่ ดอลล์ CATHY DOLL,แอนตี้ แอคเน่ คูลลิ่ง เจลลี่ มาสก์ ANTI- ACNE COOLING JELLY MASK,21-1-6800006470,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000064701052013401C,
เคที่ดอลล์ CATHY DOLL,แอนตี้แอคเน่เมคอัพคลีนซิ่งไวพส์ ANTI ACNE MAKEUP CLEANSING WIPES,21-1-6800022375,68,ผลิต,อนุมัติ,17/7/2568,16/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000223751052013401C,
เคที่ดอลล์ CATHY DOLL,แอนตี้ดาร์กสปอตคลีนซิ่งมูส ANTI DARK SPOT CLEANSING MOUSSE,21-1-6800000547,68,ผลิต,อนุมัติ,8/1/2568,7/1/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000005471052013401C,
เคที่ดอลล์ CATHY DOLL,อควาซันไบรท์อัพบอดี้ซันเซรั่ม เอสพีเอฟ50+ พีเอ++++ AQUA SUN BRIGHT UP BODY SUN SERUM SPF50+ PA++++,10-2-6800024119,68,นำเข้า,อนุมัติ,9/7/2568,8/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"PROYOU COSMETICS CO.,LTD. OJEON-DONG, PROYOU B/D, 10,GYEONGSU-DAERO 391,BEON-GIL,UIWANG-SI, GYEONGGI-DO,437-817 , KOREA, SOUTH",,U1CM00010268000241191052015521C,
เคที่ดอลล์ CATHY DOLL,อควาซันไบรท์อัพบอดี้ซันเซรั่ม เอสพีเอฟ50+ พีเอ++++ AQUA SUN BRIGHT UP BODY SUN SERUM SPF50+ PA++++,21-1-6800029639,68,ผลิต,อนุมัติ,15/9/2568,14/9/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000296391052013401C,
เคที่ดอลล์ CATHY DOLL,อควาซันไบรท์อัพบอดี้ซันเซรั่ม เอสพีเอฟ50+ พีเอ++++ AQUA SUN BRIGHT UP BODY SUN SERUM SPF50+ PA++++,21-4-6800000344,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,15/7/2568,14/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021468000003441052013401C,
เคที่ดอลล์ CATHY DOLL,อควาซันคูลอัพบอดี้ซันเซรั่ม เอสพีเอฟ50+ พีเอ++++ AQUA SUN COOL UP BODY SUN SERUM SPF50+ PA++++,10-2-6800024117,68,นำเข้า,อนุมัติ,9/7/2568,8/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"PROYOU COSMETICS CO.,LTD. OJEON-DONG, PROYOU B/D, 10,GYEONGSU-DAERO 391,BEON-GIL,UIWANG-SI, GYEONGGI-DO,437-817 , KOREA, SOUTH",,U1CM00010268000241171052015521C,
เคที่ดอลล์ CATHY DOLL,อควาซันคูลอัพบอดี้ซันเซรั่ม เอสพีเอฟ50+ พีเอ++++ AQUA SUN COOL UP BODY SUN SERUM SPF50+ PA++++,21-4-6800000343,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,15/7/2568,14/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021468000003431052013401C,
เคที่ดอลล์ CATHY DOLL,อควาซันโกลว์อัพบอดี้ซันเซรั่ม เอสพีเอฟ50+ พีเอ++++ AQUA SUN GLOW UP BODY SUN SERUM SPF50+ PA++++,10-2-6800024249,68,นำเข้า,ยกเลิก (29/9/2568),10/7/2568,29/9/2568,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00010268000242491052015521C,
เคที่ดอลล์ CATHY DOLL,อควาซันโกลว์อัพบอดี้ซันเซรั่ม เอสพีเอฟ50+ พีเอ++++ AQUA SUN GLOW UP BODY SUN SERUM SPF50+ PA++++,21-4-6800000347,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,16/7/2568,15/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021468000003471052013401C,
เคที่ดอลล์ CATHY DOLL,อควาซันนอนเกรซี่บอดี้ซันเซรั่ม เอสพีเอฟ50+ พีเอ++++ AQUA SUN NON GREASY BODY SUN SERUM SPF50+ PA++++,21-1-6800006460,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000064601052013401C,
