ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ชาร์มิส CHARMISS,แอคเน่ บาลานซ์ เจล คลีนเซอร์ ACNE BALANCE GEL CLEANSER,10-2-6800036368,68,นำเข้า,อนุมัติ,7/10/2568,6/10/2571,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,"COSMAX CHINA INC. NO. 529, XIAONAN ROAD, FENGXIAN DISTRICT, SHANGHAI MUNICIPALITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000363681065119161C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท แอร์รี่ โกลว์ คุชชั่น เอสพีเอฟ50+ พีเอ++++ BLOOMING HEART AIRY GLOW CUSHION SPF50+ PA++++,11-1-6800011688,68,ผลิต,ยกเลิก (15/7/2568),11/4/2568,15/7/2568,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,U1CM00011168000116881163000283C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท ชาร์มมิ่ง พาเลทท์ 01 คอตตอน แคนดี้ BLOOMING HEART CHARMING PALETTE 01 COTTON CANDY,10-2-6800033996,68,นำเข้า,ยกเลิก (23/9/2568),17/9/2568,23/9/2568,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,-,,U1CM00010268000339961065119161C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท ชาร์มมิ่ง พาเลทท์ 01 คอตตอน แคนดี้ BLOOMING HEART CHARMING PALETTE 01 COTTON CANDY,10-2-6800034704,68,นำเข้า,อนุมัติ,24/9/2568,23/9/2571,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,"YIWU FAME COSMETICS CO.,LTD. NO 77 XIANGYI ROAD , YITING YIWU, ZHEJIANG -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000347041065119161C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท ชาร์มมิ่ง พาเลทท์ 02 มิดไนท์ โมคา BLOOMING HEART CHARMING PALETTE 02 MIDNIGHT MOCHA,10-2-6800033997,68,นำเข้า,ยกเลิก (23/9/2568),17/9/2568,23/9/2568,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,-,,U1CM00010268000339971065119161C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท ชาร์มมิ่ง พาเลทท์ 02 มิดไนท์ โมคา BLOOMING HEART CHARMING PALETTE 02 MIDNIGHT MOCHA,10-2-6800034703,68,นำเข้า,อนุมัติ,24/9/2568,23/9/2571,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,"YIWU FAME COSMETICS CO.,LTD. NO 77 XIANGYI ROAD , YITING YIWU, ZHEJIANG -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000347031065119161C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท กลิตเตอร์ ลิป กลอส 01 โรซี่ BLOOMING HEART GLITTER LIP GLOSS 01 ROSIE,11-1-6800011687,68,ผลิต,ยกเลิก (16/6/2568),11/4/2568,16/6/2568,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,U1CM00011168000116871163000281C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท กลิตเตอร์ ลิป กลอส 01 โรซี่ BLOOMING HEART GLITTER LIP GLOSS 01 ROSIE,11-1-6800020336,68,ผลิต,อนุมัติ,30/6/2568,29/6/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,U1CM00011168000203361163000281C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท กลิตเตอร์ ลิป กลอส 02 ไลแลค BLOOMING HEART GLITTER LIP GLOSS 02 LILAC,11-1-6800011686,68,ผลิต,ยกเลิก (16/6/2568),11/4/2568,16/6/2568,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,U1CM00011168000116861163000281C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท กลิตเตอร์ ลิป กลอส 02 ไลแลค BLOOMING HEART GLITTER LIP GLOSS 02 LILAC,11-1-6800020335,68,ผลิต,อนุมัติ,30/6/2568,29/6/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,U1CM00011168000203351163000281C,
ชาร์มิส CHARMISS,บลูมมิ่ง ฮาร์ท ลูส พาวเดอร์ 01 พิงค์ เพเทิล BLOOMING HEART LOOSE POWDER 01 PINK PETAL,10-2-6800033284,68,นำเข้า,อนุมัติ,12/9/2568,11/9/2571,บริษัท บีไทม์ บิวตี้ เฮ้าส์ จำกัด,"COSMAX CHINA INC. NO. 529, XIAONAN ROAD, FENGXIAN DISTRICT, SHANGHAI MUNICIPALITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000332841065119161C,
