ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ซินเทจ บิวตี้ CINTAGE BEAUTY,โกลว์ คุชชั่น GLOW CUSHION,12-1-6800001945,68,ผลิต,อนุมัติ,20/1/2568,19/1/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00012168000019451266001122C,
ซินเทจ บิวตี้ CINTAGE BEAUTY,โกลวี่ ทินท์ บาล์ม 01 คิส มี GLOWY TINT BALM 01 KISS ME,11-1-6800014617,68,ผลิต,อนุมัติ,14/5/2568,13/5/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00011168000146171059030411C,
ซินเทจ บิวตี้ CINTAGE BEAUTY,คิตต๊อก บลัช 01 มูส มูด KITTOK BLUSH 01 MUSE MOOD,12-1-6800000332,68,ผลิต,ยกเลิก (25/2/2568),7/1/2568,25/2/2568,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00012168000003321266001121C,
ซินเทจ บิวตี้ CINTAGE BEAUTY,คิตต๊อก บลัช 01 มูส มูด KITTOK BLUSH 01 MUSE MOOD,12-1-6800006313,68,ผลิต,อนุมัติ,25/2/2568,24/2/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00012168000063131266001121C,
ซินเทจ บิวตี้ CINTAGE BEAUTY,คิตต๊อก บลัช 02 ดิวเบอร์รี่ KITTOK BLUSH 02 DEWBERRY,12-1-6800000333,68,ผลิต,ยกเลิก (25/2/2568),7/1/2568,25/2/2568,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00012168000003331266001121C,
ซินเทจ บิวตี้ CINTAGE BEAUTY,คิตต๊อก บลัช 02 ดิวเบอร์รี่ KITTOK BLUSH 02 DEWBERRY,12-1-6800006314,68,ผลิต,อนุมัติ,25/2/2568,24/2/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00012168000063141266001121C,
ซินเทจ บิวตี้ CINTAGE BEAUTY,คิตต๊อก บลัช 03 ลูนา เลิฟ KITTOK BLUSH 03 LUNA LOVE,12-1-6800000334,68,ผลิต,ยกเลิก (25/2/2568),7/1/2568,25/2/2568,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00012168000003341266001121C,
ซินเทจ บิวตี้ CINTAGE BEAUTY,คิตต๊อก บลัช 03 ลูนา เลิฟ KITTOK BLUSH 03 LUNA LOVE,12-1-6800006315,68,ผลิต,อนุมัติ,25/2/2568,24/2/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00012168000063151266001121C,
ซินเทจ บิวตี้ CINTAGE BEAUTY,คิตต๊อก บลัช 04 ลิลลี่ พิงค์ KITTOK BLUSH 04 LILLY PINK,12-1-6800000336,68,ผลิต,ยกเลิก (25/2/2568),7/1/2568,25/2/2568,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00012168000003361266001121C,
ซินเทจ บิวตี้ CINTAGE BEAUTY,คิตต๊อก บลัช 04 ลิลลี่ พิงค์ KITTOK BLUSH 04 LILLY PINK,12-1-6800006316,68,ผลิต,อนุมัติ,25/2/2568,24/2/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ซินเทจ บิวตี้ จำกัด,U1CM00012168000063161266001121C,
