ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
คอนเซ็ปท์ CONCEPT,ไวท์เทนนิ่ง เฟเชียล วอช เจล WHITENING FACIAL WASH GEL,24-1-6800013709,68,ผลิต,อนุมัติ,5/5/2568,4/5/2571,บริษัท เอฟ.ซี.พี. จำกัด,-,,U1CM00024168000137091058050361C,
เดอร์มา คอนเซป DERMA CONCEPT,ไมล์ด สกิน คลีนเซอร์ MILD SKIN CLEANSER,73-1-6800003552,68,ผลิต,อนุมัติ,3/2/2568,2/2/2571,บริษัท ซี.เอ.อาร์.อี. จำกัด,-,บริษัท ทูบี เฮลธี จำกัด,U1CM00073168000035521056029231C,
เคเคซี คอนเซ็ปต์ KKC CONCEPT,140เอชพีเอ็น อินเทนซ์ เซรั่ม 140HPN INTENSE SERUM,10-2-6800010045,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท รีวานซ์ เมดดิก้า จำกัด,"DERMALABS CO., LTD. F- 1016 ITECO, 150, JOJEONG-DAERO, HANAM-SI, GYEONGGI-DO, , KOREA, SOUTH",,U1CM00010268000100451067004131C,
เคเคซี คอนเซ็ปต์ KKC CONCEPT,กลาส โกลว์ เอสเซ้นส์ GLASS GLOW ESSENCE,10-2-6800009911,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท รีวานซ์ เมดดิก้า จำกัด,"DERMALABS CO., LTD. F- 1016 ITECO, 150, JOJEONG-DAERO, HANAM-SI, GYEONGGI-DO, , KOREA, SOUTH",,U1CM00010268000099111067004131C,
เคเคซี คอนเซ็ปต์ KKC CONCEPT,ลิฟท์ สกิน โซลูชั่น LIFT SKIN SOLUTION,10-2-6800009907,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท รีวานซ์ เมดดิก้า จำกัด,"DERMALABS CO., LTD. F- 1016 ITECO, 150, JOJEONG-DAERO, HANAM-SI, GYEONGGI-DO, , KOREA, SOUTH",,U1CM00010268000099071067004131C,
เคเคซี คอนเซ็ปต์ KKC CONCEPT,สปอต เคลียร์ เซรั่ม SPOT CLEAR SERUM,10-2-6800009912,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท รีวานซ์ เมดดิก้า จำกัด,"DERMALABS CO., LTD. F- 1016 ITECO, 150, JOJEONG-DAERO, HANAM-SI, GYEONGGI-DO, , KOREA, SOUTH",,U1CM00010268000099121067004131C,
เคเคซี คอนเซ็ปต์ KKC CONCEPT,วี พลัส เฟิร์มมิ่ง โซลูชั่น V PLUS FIRMING SOLUTION,10-2-6800009908,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท รีวานซ์ เมดดิก้า จำกัด,"K2MEDITECH CO., LTD. EUNPEYONG-GU, DAEJO-DONG, 1-6, B01, SEOUL , KOREA, SOUTH",,U1CM00010268000099081067004131C,
แลช คอนเซ็ปต์ LASH CONCEPT,อายแลช คลีนซิ่ง โลชั่น แพด EYELASH CLEANSING LOTION PAD,10-2-6800026692,68,นำเข้า,อนุมัติ,30/7/2568,29/7/2571,บริษัท ดีว่า ซัพพลาย จำกัด,"QINGDAO HOLLYREN COSMETICS CO.,LTD. RM1701, BUSINESS BUILDING A, HEDA CENTER, NO.177 TAILIU ROAD, QINGDAO 266033, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000266921066129791C,
แลช คอนเซ็ปต์ LASH CONCEPT,เจล รีมูฟเวอร์ GEL REMOVER,10-2-6800037232,68,นำเข้า,อนุมัติ,16/10/2568,15/10/2571,บริษัท ดีว่า ซัพพลาย จำกัด,"D-CHEMICAL CO.,LTD 142, GWANGDUKDAE-RO, DANWON-GU ANSAN, GYONGGI-DO , KOREA, SOUTH",,U1CM00010268000372321066129791C,
เอสซี บาย สกินคอนเซป SC BY SKINCONCEPT,เดลี่ สมูท ซันสกรีน ครีม DAILY SMOOTH SUNSCREEN CREAM,44-1-6800026324,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท อินเวนทิโว คอสเมติก จำกัด,-,นางสาว สายรุ้ง สุรินทร์,U1CM00044168000263244467000061C,
