ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
คิวท์เพรส CUTE PRESS,เอท อาวเวอร์ ฟูล ไนท์ สลีป เจล มาสก์ - สูตรคลีน 8 HR FULL NIGHT SLEEP GEL MASK - CLEAN FORMULA,11-1-6800022835,68,ผลิต,อนุมัติ,22/7/2568,21/7/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท เอสเอสยูพี (ประเทศไทย) จำกัด,U1CM00011168000228351161000011C,
คิวท์เพรส CUTE PRESS,อิเวอร์รี่ รีทัช แม็กซ์ คัฟเวอร์ คอนซีลเลอร์ - 01 - สูตรคลีน EVORY RETOUCH MAX COVER CONCEALER - 01 - CLEAN FORMULA,11-1-6800021112,68,ผลิต,อนุมัติ,7/7/2568,6/7/2571,บริษัท เค.เอ็ม.อินเตอร์แล็บ จำกัด,-,,U1CM00011168000211121052000691C,
คิวท์เพรส CUTE PRESS,อิเวอร์รี่ รีทัช แม็กซ์ คัฟเวอร์ คอนซีลเลอร์ - 02 - สูตรคลีน EVORY RETOUCH MAX COVER CONCEALER - 02 - CLEAN FORMULA,11-1-6800021111,68,ผลิต,อนุมัติ,7/7/2568,6/7/2571,บริษัท เค.เอ็ม.อินเตอร์แล็บ จำกัด,-,,U1CM00011168000211111052000691C,
คิวท์เพรส CUTE PRESS,อิเวอร์รี่ รีทัช แม็กซ์ คัฟเวอร์ คอนซีลเลอร์ - 03 - สูตรคลีน EVORY RETOUCH MAX COVER CONCEALER - 03 - CLEAN FORMULA,11-1-6800021109,68,ผลิต,อนุมัติ,7/7/2568,6/7/2571,บริษัท เค.เอ็ม.อินเตอร์แล็บ จำกัด,-,,U1CM00011168000211091052000691C,
คิวท์เพรส CUTE PRESS,อิเวอร์รี่ รีทัช แม็กซ์ คัฟเวอร์ คอนซีลเลอร์ - 04 - สูตรคลีน EVORY RETOUCH MAX COVER CONCEALER - 04 - CLEAN FORMULA,11-1-6800021110,68,ผลิต,อนุมัติ,7/7/2568,6/7/2571,บริษัท เค.เอ็ม.อินเตอร์แล็บ จำกัด,-,,U1CM00011168000211101052000691C,
คิวท์เพรส CUTE PRESS,อิเวอร์รี่ รีทัช แม็กซ์ คัฟเวอร์ คอนซีลเลอร์ - 05 - สูตรคลีน EVORY RETOUCH MAX COVER CONCEALER - 05 - CLEAN FORMULA,11-1-6800021108,68,ผลิต,อนุมัติ,7/7/2568,6/7/2571,บริษัท เค.เอ็ม.อินเตอร์แล็บ จำกัด,-,,U1CM00011168000211081052000691C,
คิวท์เพรส CUTE PRESS,อิเวอร์รี่ รีทัช แม็กซ์ คัฟเวอร์ คอนซีลเลอร์ - 06 - สูตรคลีน EVORY RETOUCH MAX COVER CONCEALER - 06 - CLEAN FORMULA,11-1-6800021107,68,ผลิต,อนุมัติ,7/7/2568,6/7/2571,บริษัท เค.เอ็ม.อินเตอร์แล็บ จำกัด,-,,U1CM00011168000211071052000691C,
คิวท์เพรส CUTE PRESS,อิเวอร์รี่ รีทัช แม็กซ์ เรเดียนซ์ คอร์เรคเตอร์ - 01 - สูตรคลีน EVORY RETOUCH MAX RADIANCE CORRECTOR - 01 - CLEAN FORMULA,11-1-6800019996,68,ผลิต,อนุมัติ,26/6/2568,25/6/2571,บริษัท เค.เอ็ม.อินเตอร์แล็บ จำกัด,-,,U1CM00011168000199961052000691C,
คิวท์เพรส CUTE PRESS,อิเวอร์รี่ รีทัช แม็กซ์ เรเดียนซ์ คอร์เรคเตอร์ - 02 - สูตรคลีน EVORY RETOUCH MAX RADIANCE CORRECTOR - 02 - CLEAN FORMULA,11-1-6800019997,68,ผลิต,อนุมัติ,26/6/2568,25/6/2571,บริษัท เค.เอ็ม.อินเตอร์แล็บ จำกัด,-,,U1CM00011168000199971052000691C,
คิวท์เพรส CUTE PRESS,อิเวอร์รี่ สโนว์ ทรานสลูเซนท์ ลูส พาวเดอร์ EVORY SNOW TRANSLUCENT LOOSE POWDER,11-1-6800018027,68,ผลิต,อนุมัติ,11/6/2568,10/6/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท เอสเอสยูพี (ประเทศไทย) จำกัด,U1CM00011168000180271161000011C,
คิวท์เพรส CUTE PRESS,แฟลช ลูมิไนเซอร์ - 01 - สูตรคลีน FLASH LUMINIZER - 01 - CLEAN FORMULA,11-2-6800001826,68,นำเข้า,อนุมัติ,16/1/2568,15/1/2571,บริษัท เค.เอ็ม. อินเตอร์แล็บ จำกัด,"ZHEJIANG FACECOLORS COSMETICS CO.,LTD. NO.8 , YIJIANG ROAD, HAININGHIGH-TECHINDUSTRYZONE, HAINING CITY, JIAXINGCITY, ZHEJIANG PROVINCE HAINING CITY -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000018261052000691C,
คิวท์เพรส CUTE PRESS,แฟลช ลูมิไนเซอร์ - 02 - สูตรคลีน FLASH LUMINIZER - 02 - CLEAN FORMULA,11-2-6800001825,68,นำเข้า,อนุมัติ,16/1/2568,15/1/2571,บริษัท เค.เอ็ม. อินเตอร์แล็บ จำกัด,"ZHEJIANG FACECOLORS COSMETICS CO.,LTD. NO.8 , YIJIANG ROAD, HAININGHIGH-TECHINDUSTRYZONE, HAINING CITY, JIAXINGCITY, ZHEJIANG PROVINCE HAINING CITY -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000018251052000691C,
คิวท์เพรส CUTE PRESS,แฟลช ลูมิไนเซอร์ - 03 - สูตรคลีน FLASH LUMINIZER - 03 - CLEAN FORMULA,11-2-6800001824,68,นำเข้า,อนุมัติ,16/1/2568,15/1/2571,บริษัท เค.เอ็ม. อินเตอร์แล็บ จำกัด,"ZHEJIANG FACECOLORS COSMETICS CO.,LTD. NO.8 , YIJIANG ROAD, HAININGHIGH-TECHINDUSTRYZONE, HAINING CITY, JIAXINGCITY, ZHEJIANG PROVINCE HAINING CITY -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000018241052000691C,
คิวท์เพรส CUTE PRESS,แฟลช ลูมิไนเซอร์ - 04 - สูตรคลีน FLASH LUMINIZER - 04 - CLEAN FORMULA,11-2-6800001303,68,นำเข้า,อนุมัติ,13/1/2568,12/1/2571,บริษัท เค.เอ็ม. อินเตอร์แล็บ จำกัด,"ZHEJIANG FACECOLORS COSMETICS CO.,LTD. NO.8 , YIJIANG ROAD, HAININGHIGH-TECHINDUSTRYZONE, HAINING CITY, JIAXINGCITY, ZHEJIANG PROVINCE HAINING CITY -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000013031052000691C,
คิวท์เพรส CUTE PRESS,แฟลช ลูมิไนเซอร์ - 05 - สูตรคลีน FLASH LUMINIZER - 05 - CLEAN FORMULA,11-2-6800001822,68,นำเข้า,อนุมัติ,16/1/2568,15/1/2571,บริษัท เค.เอ็ม. อินเตอร์แล็บ จำกัด,"ZHEJIANG FACECOLORS COSMETICS CO.,LTD. NO.8 , YIJIANG ROAD, HAININGHIGH-TECHINDUSTRYZONE, HAINING CITY, JIAXINGCITY, ZHEJIANG PROVINCE HAINING CITY -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000018221052000691C,
คิวท์เพรส CUTE PRESS,ไฮบริด แอร์บรัช บลอทติ้ง ฟินิช พาวเดอร์ - คอตตอน บลู HYBRID AIRBRUSH BLOTTING FINISH POWDER - COTTON BLUE,11-1-6800015820,68,ผลิต,อนุมัติ,22/5/2568,21/5/2571,บริษัท เค.เอ็ม.อินเตอร์แล็บ จำกัด,-,,U1CM00011168000158201052000691C,
