ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เดอร์มีดี DERMEDY,แอคเน่ เคลียร์ เคลย์ มาสก์ ACNE CLEAR CLAY MASK,11-1-6800021625,68,ผลิต,ยกเลิก (15/7/2568),12/7/2568,15/7/2568,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00011168000216251163000281C,
เดอร์มีดี DERMEDY,แอคเน่ เคลียร์ เคลย์ มาสก์ ACNE CLEAR CLAY MASK,11-1-6800021871,68,ผลิต,อนุมัติ,15/7/2568,14/7/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00011168000218711163000281C,
เดอร์มีดี DERMEDY,เอไอ ฟิลเตอร์ เคลียร์ริ่ง สกิน มาสก์ AI FILTER CLEARING SKIN MASK,74-1-6800009069,68,ผลิต,อนุมัติ,19/3/2568,18/3/2571,บริษัท เจคอส แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00074168000090697462000331C,
เดอร์มีดี DERMEDY,เอไอ ฟิลเตอร์ เฟิร์มมิ่ง สกิน มาสก์ AI FILTER FIRMING SKIN MASK,74-1-6800009072,68,ผลิต,อนุมัติ,19/3/2568,18/3/2571,บริษัท เจคอส แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00074168000090727462000331C,
เดอร์มีดี DERMEDY,เอไอ ฟิลเตอร์ โกลว์อิ้ง สกิน มาสก์ AI FILTER GLOWING SKIN MASK,74-1-6800009070,68,ผลิต,อนุมัติ,19/3/2568,18/3/2571,บริษัท เจคอส แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00074168000090707462000331C,
เดอร์มีดี DERMEDY,เอไอ ฟิลเตอร์ ไวท์เทนนิ่ง สกิน มาสก์ AI FILTER WHITENING SKIN MASK,74-1-6800009071,68,ผลิต,อนุมัติ,19/3/2568,18/3/2571,บริษัท เจคอส แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00074168000090717462000331C,
เดอร์มีดี DERMEDY,คริสตัล โกลว์ กลาส สกิน ไฮโดรเจล มาสก์ CRYSTAL GLOW GLASS SKIN HYDROGEL MASK,74-1-6800004772,68,ผลิต,ยกเลิก (11/3/2568),13/2/2568,11/3/2568,บริษัท เจคอส แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00074168000047727462000331C,
เดอร์มีดี DERMEDY,คริสตัล โกลว์ กลาส สกิน ไฮโดรเจล มาสก์ CRYSTAL GLOW GLASS SKIN HYDROGEL MASK,74-1-6800009031,68,ผลิต,อนุมัติ,19/3/2568,18/3/2571,บริษัท เจคอส แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00074168000090317462000331C,
เดอร์มีดี DERMEDY,คริสตัล โกลว์ พอร์เลส ไฮโดรเจล มาสก์ CRYSTAL GLOW PORELESS HYDROGEL MASK,74-1-6800004752,68,ผลิต,ยกเลิก (11/3/2568),13/2/2568,11/3/2568,บริษัท เจคอส แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00074168000047527462000331C,
เดอร์มีดี DERMEDY,คริสตัล โกลว์ พอร์เลส ไฮโดรเจล มาสก์ CRYSTAL GLOW PORELESS HYDROGEL MASK,74-1-6800009010,68,ผลิต,อนุมัติ,19/3/2568,18/3/2571,บริษัท เจคอส แมนูแฟคเจอริ่ง จำกัด,-,บริษัท วรินดา อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,U1CM00074168000090107462000331C,
