ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
การ์นิเย่ GARNIER,ไบรท์ แอนตี้-แอคเน่ ซาลิไซลิค โลว์ พีเอช วอช BRIGHT ANTI-ACNE SALICYLIC LOW PH WASH,10-2-6800029487,68,นำเข้า,อนุมัติ,18/8/2568,17/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"PT. YASULOR INDONESIA KAWASAN INDUSTRI JABABEKA I JL. JABABEKA IV, BLOK V NO. 10-33 & 44-63 PASIR GOMBONG, CIKARANG UTARA, JAWA BARAT BEKASI 17530, INDONESIA",,U1CM00010268000294871067021851C,
การ์นิเย่ GARNIER,ไบรท์ คอมพลีท วิตามินซี โลว์ พีเอช วอช BRIGHT COMPLETE VITAMIN C LOW PH WASH,10-2-6800029276,68,นำเข้า,อนุมัติ,15/8/2568,14/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"PT. YASULOR INDONESIA KAWASAN INDUSTRI JABABEKA I JL. JABABEKA IV, BLOK V NO. 10-33 & 44-63 PASIR GOMBONG, CIKARANG UTARA, JAWA BARAT BEKASI 17530, INDONESIA",,U1CM00010268000292761067021851C,
การ์นิเย่ GARNIER,ไบรท์ คอมพลีท วิตามิน ซี เซรั่ม ครีม เอสพีเอฟ 36 พีเอ +++ BRIGHT COMPLETE VITAMIN C SERUM CREAM SPF 36 PA+++,10-2-6800008924,68,นำเข้า,อนุมัติ,18/3/2568,17/3/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"PT. YASULOR INDONESIA KAWASAN INDUSTRI JABABEKA I JL. JABABEKA IV, BLOK V NO. 10-33 & 44-63 PASIR GOMBONG, CIKARANG UTARA, JAWA BARAT BEKASI 17530, INDONESIA",,U1CM00010268000089241067021851C,
การ์นิเย่ GARNIER,คัลเลอร์ แนทเชอรัลส์ 3.16 สีน้ำตาลประกายม่วง COLOR NATURALS 3.16 BURGUNDY,10-2-6800008511,68,นำเข้า,อนุมัติ,13/3/2568,12/3/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L'OREAL INDIA PVT. LTD. PLOT NOS. 146A - 150, EPIP, PHASE-1, JHARMAJRI, BADDI, DISTT. SOLAN H.P. 174103, INDIA",,U1CM00010268000085111067021851C,
การ์นิเย่ GARNIER,คัลเลอร์ แนทเชอรัลส์ สีชมพูพาสเทล COLOR NATURALS BRILLIANT PINK,10-2-6800030092,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L'OREAL INDIA PVT.LTD GAT NO.426, MAHALUNGE-INGLE, CHAKAN-TALEGAON ROAD, CHAKAN PUNE 410501, INDIA",,U1CM00010268000300921067021851C,
การ์นิเย่ GARNIER,คัลเลอร์ แนทเชอรัลส์ -สีชมพูพาสเทล COLOR NATURALS -BRILLIANT PINK,10-2-6800030302,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L'OREAL INDIA PVT.LTD GAT NO.426, MAHALUNGE-INGLE, CHAKAN-TALEGAON ROAD, CHAKAN PUNE 410501, INDIA",,U1CM00010268000303021067021851C,
การ์นิเย่ GARNIER,คัลเลอร์ แนทเชอรัลส์ คอนดิชันเนอร์ COLOR NATURALS CONDITIONER,10-2-6800026549,68,นำเข้า,อนุมัติ,29/7/2568,28/7/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L'OREAL INDIA PVT. LTD. PLOT NOS. 146A - 150, EPIP, PHASE-1, JHARMAJRI, BADDI, DISTT. SOLAN H.P. 174103, INDIA",,U1CM00010268000265491067021851C,
การ์นิเย่ GARNIER,คัลเลอร์ แนทเชอรัลส์ คอนดิชันเนอร์ COLOR NATURALS CONDITIONER,10-2-6800027591,68,นำเข้า,อนุมัติ,4/8/2568,3/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L'OREAL INDIA PVT.LTD GAT NO.426, MAHALUNGE-INGLE, CHAKAN-TALEGAON ROAD, CHAKAN PUNE 410501, INDIA",,U1CM00010268000275911067021851C,
การ์นิเย่ GARNIER,คัลเลอร์ แนทเชอรัลส์ ครีม ดีเวลลอปเปอร์ COLOR NATURALS CREAM DEVELOPER,10-2-6800029231,68,นำเข้า,อนุมัติ,14/8/2568,13/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L'OREAL INDIA PVT.LTD GAT NO.426, MAHALUNGE-INGLE, CHAKAN-TALEGAON ROAD, CHAKAN PUNE 410501, INDIA",,U1CM00010268000292311067021851C,
การ์นิเย่ GARNIER,คัลเลอร์ แนทเชอรัลส์ ครีม แฮร์ คัลเลอร์แรนท์-5.32 COLOR NATURALS CREAM HAIR COLORANT-5.32,10-2-6800006286,68,นำเข้า,อนุมัติ,25/2/2568,24/2/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L’OREAL INDIA PVT. LTD. GAT NO. 426, MAHALUNGE-INGLE, CHAKAN TALEGAON ROAD, CHAKAN, PUNE, MAHARASHTRA 410501, INDIA",,U1CM00010268000062861067021851C,
