ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เก็ตแอนด์โกลว์ GET&GLOW,แอร์รี่ แมตต์ ไลเนอร์ ลิป AIRY MATTE LINER LIP,10-2-6800018693,68,นำเข้า,อนุมัติ,29/5/2568,28/5/2571,บริษัท แกรนด์ คอส กรุ๊ป จำกัด (มหาชน),"L&COCHINEAL (ZHONGSHAN) BIOTECHNOLOGY LLC. 2F BONG CLOTHING, NO.76 XINGONG ROAD,SHAXI TOWN ZHONGSHAN CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000186931061147815C,
เก็ตแอนด์โกลว์ GET&GLOW,เก็ต เรดี้ ลิป กลอส GET READY LIP GLOSS,10-2-6800006835,68,นำเข้า,อนุมัติ,28/2/2568,27/2/2571,บริษัท แกรนด์ คอส กรุ๊ป จำกัด (มหาชน),"HWASUNG COSMETICS CO.,LTD. 23, HAGUNSANDAN 1-RO, YANGCHON-EUP, GIMPO-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000068351061147813C,
เก็ตแอนด์โกลว์ GET&GLOW,เก็ต เรดี้ ลิป กลอส GET READY LIP GLOSS,10-2-6800006837,68,นำเข้า,อนุมัติ,28/2/2568,27/2/2571,บริษัท แกรนด์ คอส กรุ๊ป จำกัด (มหาชน),"HWASUNG COSMETICS CO.,LTD. 23, HAGUNSANDAN 1-RO, YANGCHON-EUP, GIMPO-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000068371061147813C,
เก็ตแอนด์โกลว์ GET&GLOW,แมตต์ มี ฟาวเดชั่น #02 ไลท์ เบจ MATTE ME FOUNDATION #02 LIGHT BEIGE,10-2-6800020852,68,นำเข้า,อนุมัติ,16/6/2568,15/6/2571,บริษัท แกรนด์ คอส กรุ๊ป จำกัด (มหาชน),"NOWCOS CO.,LTD. A-804, BYC HIGHCITY, 131, GASAN DIGITAL 1-RO, GEUMCHEON-GU SEOUL 08506, KOREA, SOUTH",,U1CM00010268000208521061147811C,
เก็ตแอนด์โกลว์ GET&GLOW,เพอร์เฟกต์ สกิน ฟิต คุชชั่น PERFECT SKIN FIT CUSHION,11-1-6800002349,68,ผลิต,ยกเลิก (3/2/2568),22/1/2568,3/2/2568,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท แกรนด์ คอส กรุ๊ป จำกัด,U1CM00011168000023491163000284C,
เก็ตแอนด์โกลว์ GET&GLOW,เพอร์เฟกต์ สกิน ฟิต คุชชั่น PERFECT SKIN FIT CUSHION,11-1-6800003993,68,ผลิต,อนุมัติ,6/2/2568,5/2/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท แกรนด์ คอส กรุ๊ป จำกัด,U1CM00011168000039931163000284C,
เก็ตแอนด์โกลว์ GET&GLOW,เซคเกินด์ สกิน เมคอัพ เบส #บลู SECOND SKIN MAKEUP BASE #BLUE,10-2-6800013205,68,นำเข้า,อนุมัติ,22/4/2568,21/4/2571,บริษัท แกรนด์ คอส กรุ๊ป จำกัด (มหาชน),"CIT CO.,LTD. 110, HAPDEOKSANDAN 1-RO, HAPDEOK-EUP, DANGJIN-SI CHUNGCHEONGNAM-DO 31810, KOREA, SOUTH",,U1CM00010268000132051061147811C,
เก็ตแอนด์โกลว์ GET&GLOW,เซ็ต เรดี้ เพรส พาวเดอร์ SET READY PRESSED POWDER,11-1-6800023781,68,ผลิต,อนุมัติ,30/7/2568,29/7/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท แกรนด์ คอส กรุ๊ป จำกัด,U1CM00011168000237811059030413C,
เก็ตแอนด์โกลว์ GET&GLOW,ซอฟต์ โฟกัส มูส ลิป SOFT FOCUS MOUSSE LIP,10-2-6800013634,68,นำเข้า,ยกเลิก (25/4/2568),24/4/2568,25/4/2568,บริษัท แกรนด์ คอส กรุ๊ป จำกัด (มหาชน),-,,U1CM00010268000136341061147813C,
เก็ตแอนด์โกลว์ GET&GLOW,ซอฟต์ โฟกัส มูส ลิป SOFT FOCUS MOUSSE LIP,10-2-6800013815,68,นำเข้า,อนุมัติ,25/4/2568,24/4/2571,บริษัท แกรนด์ คอส กรุ๊ป จำกัด (มหาชน),"L&COCHINEAL (ZHONGSHAN) BIOTECHNOLOGY LLC. 2F BONG CLOTHING, NO.76 XINGONG ROAD,SHAXI TOWN ZHONGSHAN CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000138151061147813C,
