ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ฮาดะ ลาโบะ HADA LABO,เอจจิ้ง แคร์ มิลค์ AGING CARE MILK,20-2-6800032911,68,นำเข้า,อนุมัติ,10/9/2568,9/9/2571,บริษัท เอ วาย เอ็น จำกัด,"ROHTO PHARMACEUTICAL CO., LTD. 1-8-1, TATSUMI-NISHI, IKUNO-KU OSAKA , JAPAN",,U1CM00020268000329112067000121C,
ฮาดะ ลาโบะ HADA LABO,คลีนซิ่ง ออยล์ เมคอัพ รีมูฟเวอร์ CLEANSING OIL MAKEUP REMOVER,10-2-6800011187,68,นำเข้า,อนุมัติ,2/4/2568,1/4/2571,บริษัท โรห์โต้-เมนโทลาทั่ม (ประเทศไทย) จำกัด,"MENTHOLATUM (CHINA) PHARMACEUTICALS CO. LTD. THE SECOND INDUSTRIAL ESTATES. SAN XIANG. ZHONGSHAN. GUANGDONG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000111871068047331C,
ฮาดะ ลาโบะ HADA LABO,โกคุจุน พรีเมี่ยม ไฮเดรทติ้ง เซรั่ม GOKUJYUN PREMIUM HYDRATING SERUM,10-2-6800015323,68,นำเข้า,อนุมัติ,7/5/2568,6/5/2571,บริษัท โรห์โต้-เมนโทลาทั่ม (ประเทศไทย) จำกัด,"ROHTO PHARMACEUTICAL CO., LTD. 1-8-1 , TATSUMI-NISHI , IKUNO-KU OSAKA 544-8666, JAPAN",,U1CM00010268000153231068047331C,
ฮาดะ ลาโบะ HADA LABO,อินเทนซีฟ รีไวทัลไรซิ่ง อาย เอสเซนส์ ครีม INTENSIVE REVITALIZING EYE ESSENCE CREAM,10-2-6800009472,68,นำเข้า,อนุมัติ,20/3/2568,19/3/2571,บริษัท โรห์โต้-เมนโทลาทั่ม (ประเทศไทย) จำกัด,"MENTHOLATUM (CHINA) PHARMACEUTICALS CO. LTD. THE SECOND INDUSTRIAL ESTATES. SAN XIANG. ZHONGSHAN. GUANGDONG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000094721054003201C,
ฮาดะ ลาโบะ HADA LABO,พรีเมี่ยม ไฮเดรทติ้ง โลชั่น PREMIUM HYDRATING LOTION,10-2-6800009821,68,นำเข้า,อนุมัติ,24/3/2568,23/3/2571,บริษัท โรห์โต้-เมนโทลาทั่ม (ประเทศไทย) จำกัด,"MENTHOLATUM (CHINA) PHARMACEUTICALS CO. LTD. THE SECOND INDUSTRIAL ESTATES. SAN XIANG. ZHONGSHAN. GUANGDONG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000098211054003201C,
ฮาดะ ลาโบะ HADA LABO,ชิโรจุน พรีเมี่ยม ไวท์เทนนิ่ง โลชั่น ไลท์ SHIROJYUN PREMIUM WHITENING LOTION LIGHT,10-2-6800022047,68,นำเข้า,อนุมัติ,24/6/2568,23/6/2571,บริษัท โรห์โต้-เมนโทลาทั่ม (ประเทศไทย) จำกัด,"MENTHOLATUM (CHINA) PHARMACEUTICALS CO. LTD. THE SECOND INDUSTRIAL ESTATES. SAN XIANG. ZHONGSHAN. GUANGDONG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000220471068047331C,
ฮาดะ ลาโบะ HADA LABO,ชิโรจุน พรีเมี่ยม ไวท์เทนนิ่ง โลชั่น ริช SHIROJYUN PREMIUM WHITENING LOTION RICH,10-2-6800022070,68,นำเข้า,อนุมัติ,24/6/2568,23/6/2571,บริษัท โรห์โต้-เมนโทลาทั่ม (ประเทศไทย) จำกัด,"MENTHOLATUM (CHINA) PHARMACEUTICALS CO. LTD. THE SECOND INDUSTRIAL ESTATES. SAN XIANG. ZHONGSHAN. GUANGDONG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000220701068047331C,
ฮาดะ ลาโบะ HADA LABO,ชิโรจุน พรีเมี่ยม ไวท์เทนนิ่ง เซรั่ม SHIROJYUN PREMIUM WHITENING SERUM,10-2-6800015182,68,นำเข้า,อนุมัติ,6/5/2568,5/5/2571,บริษัท โรห์โต้-เมนโทลาทั่ม (ประเทศไทย) จำกัด,"ROHTO PHARMACEUTICAL CO., LTD. 1-8-1 , TATSUMI-NISHI , IKUNO-KU OSAKA 544-8666, JAPAN",,U1CM00010268000151821068047331C,
ฮาดะ ลาโบะ HADA LABO,ชิโรจุน พรีเมี่ยม ไวท์เทนนิ่ง วอเตอร์ ครีม SHIROJYUN PREMIUM WHITENING WATER CREAM,10-2-6800022110,68,นำเข้า,อนุมัติ,25/6/2568,24/6/2571,บริษัท โรห์โต้-เมนโทลาทั่ม (ประเทศไทย) จำกัด,"MENTHOLATUM (CHINA) PHARMACEUTICALS CO. LTD. THE SECOND INDUSTRIAL ESTATES. SAN XIANG. ZHONGSHAN. GUANGDONG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000221101068047331C,
ฮาดะ ลาโบะ HADA LABO,ไวท์เทนนิ่ง ไมเซลล่า คลีนซิ่ง วอเทอร์ WHITENING MICELLAR CLEANSING WATER,10-2-6800009137,68,นำเข้า,อนุมัติ,19/3/2568,18/3/2571,บริษัท โรห์โต้-เมนโทลาทั่ม (ประเทศไทย) จำกัด,"MENTHOLATUM (CHINA) PHARMACEUTICALS CO. LTD. THE SECOND INDUSTRIAL ESTATES. SAN XIANG. ZHONGSHAN. GUANGDONG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000091371054003201C,
