ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,6เอ็กซ์ เซราไมด์ แบร์เรียร์ รีแพร์ ครีม 6X CERAMIDE BARRIER REPAIR CREAM,13-1-6800011599,68,ผลิต,อนุมัติ,11/4/2568,10/4/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000115991366000701C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,6เอ็กซ์ เซราไมด์ แบร์เรียร์ รีแพร์ เจล คลีนเซอร์ 6X CERAMIDE BARRIER REPAIR GEL CLEANSER,13-1-6800011600,68,ผลิต,อนุมัติ,11/4/2568,10/4/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000116001366000701C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,6เอ็กซ์ เซราไมด์ แบร์เรียร์ รีแพร์ เซรั่ม 6X CERAMIDE BARRIER REPAIR SERUM,13-1-6800022183,68,ผลิต,อนุมัติ,16/7/2568,15/7/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000221831366000701C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,6เอ็กซ์ เซราไมด์ แบร์เรียร์ รีแพร์ เซต 6X CERAMIDE BARRIER REPAIR SET,13-1-6800024371,68,ผลิต,อนุมัติ,4/8/2568,3/8/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000243711366000701C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,แอคเน่ เจลเทิล แคร์ บับเบิ้ล มาส์ก ACNE GENTLE CARE BUBBLE MASK,13-2-6800020931,68,นำเข้า,อนุมัติ,17/6/2568,16/6/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG BITING COSMETICS CO., LTD. FLOOR 1 TO 2, 8 BUILDING, D DISTRICT, WANGYANGZHONGCHUANG, GUANGDE ZONE, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000209311366000411C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,อัลมอนด์ แอนด์ อะโวคาโด แฮนด์ ครีม ALMOND & AVOCADO HAND CREAM,13-1-6800007906,68,ผลิต,อนุมัติ,11/3/2568,10/3/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000079061366000701C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,อะควา ไลท์ พลัส ยูวี ชีลด์ เซรั่ม เอสพีเอฟ 50+ พีเอ++++ AQUA LIGHT + UV SHIELD SERUM SPF 50+ PA++++,13-1-6800023737,68,ผลิต,อนุมัติ,29/7/2568,28/7/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000237371366000701C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,อควา ไลท์ อัพ ยูวี เอสเซ้นส์ เอสพีเอฟ50+ พีเอ++++ AQUA LIGHT UP UV ESSENCE SPF50+ PA++++,13-1-6800011984,68,ผลิต,อนุมัติ,19/4/2568,18/4/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000119841366000701C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,อะควา ไลท์ ยูวี ชีลด์ เซรั่ม เอสพีเอฟ 50+ พีเอ++++ AQUA LIGHT UV SHIELD SERUM SPF 50+ PA++++,13-1-6800024961,68,ผลิต,อนุมัติ,6/8/2568,5/8/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000249611366000701C,
โจจิซีเคร็ท ยัง JOJI SECRET YOUNG,อะควา ไลท์พลัส ยูวี ชีลด์ เซรั่ม เอสพีเอฟ 50+ พีเอ++++ AQUA LIGHT+ UV SHIELD SERUM SPF 50+ PA++++,13-1-6800017693,68,ผลิต,ยกเลิก (25/7/2568),9/6/2568,25/7/2568,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000176931366000701C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,ออร่า ลิฟต์ คามู คามู มาส์ก AURA LIFT CAMU CAMU MASK,13-1-6800017494,68,ผลิต,ยกเลิก (30/6/2568),6/6/2568,30/6/2568,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000174941366000701C,
โจจิ ซีเคร็ท ยัง JOJI SECRET YOUNG,ออร่า ลิฟต์ คามู คามู มาส์ก AURA LIFT CAMU CAMU MASK,13-1-6800020356,68,ผลิต,อนุมัติ,30/6/2568,29/6/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000203561366000701C,
