ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
จุฬาเฮิร์บ JULA’S HERB,อโวคาโด ดีพ มอยส์เจอร์ ชาวเวอร์ ครีม AVOCADO DEEP MOISTURE SHOWER CREAM,13-1-6800008734,68,ผลิต,อนุมัติ,18/3/2568,17/3/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000087341364000451C,
จุฬาเฮิร์บ JULA’S HERB,อโวคาโด โปร รีแพร์ มอยส์เจอร์ โลชั่น AVOCADO PRO REPAIR MOISTURE LOTION,13-1-6800009479,68,ผลิต,อนุมัติ,24/3/2568,23/3/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000094791364000451C,
จุฬาเฮิร์บ JULA’S HERB,คาเลนดูล่า แอนตี้-แอคเน่ เจล โฟม CALENDULA ANTI-ACNE GEL FOAM,13-1-6800007114,68,ผลิต,ยกเลิก (2/5/2568),4/3/2568,2/5/2568,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000071141364000451C,
จุฬาเฮิร์บ JULA’S HERB,คาเลนดูล่า แอนตี้-แอคเน่ เจล โฟม CALENDULA ANTI-ACNE GEL FOAM,13-1-6800014416,68,ผลิต,อนุมัติ,13/5/2568,12/5/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000144161364000451C,
จุฬาเฮิร์บ JULA’S HERB,แครอท เอจจิ้ง โซฟ CARROT AGING SOAP,13-1-6800023219,68,ผลิต,อนุมัติ,24/7/2568,23/7/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000232191364000451C,
จุฬาเฮิร์บ JULA’S HERB,แครอท ซีแอนด์อี โซฟ CARROT C&E SOAP,13-1-6800023392,68,ผลิต,อนุมัติ,25/7/2568,24/7/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000233921364000451C,
จุฬาเฮิร์บ JULA’S HERB,แครอท ซีแอนด์อี โซฟ CARROT C&E SOAP,13-4-6800000474,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,11/9/2568,10/9/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013468000004741364000451C,
จุฬาเฮิร์บ JULA’S HERB,ซิก้า & คิวคัมเบอร์ ซูทติ้ง เจล CICA & CUCUMBER SOOTHING GEL,13-1-6800012593,68,ผลิต,อนุมัติ,25/4/2568,24/4/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000125931364000451C,
จุฬาเฮิร์บ JULA’S HERB,ซิก้า บาลานซ์ซิ่ง มอยส์เจอร์ เจล CICA BALANCING MOISTURE GEL,13-1-6800024202,68,ผลิต,อนุมัติ,1/8/2568,31/7/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000242021364000451C,
จุฬาเฮิร์บ JULA’S HERB,วอเตอร์ ลิลลี่ อัลตร้า บูสต์ มอยส์เจอร์ เจล WATER LILY ULTRA BOOST MOISTURE GEL,13-1-6800017520,68,ผลิต,ยกเลิก (3/7/2568),6/6/2568,3/7/2568,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000175201364000451C,
จุฬาเฮิร์บ JULA’S HERB,วอเตอร์ ลิลลี่ อัลตร้า บูสต์ มอยส์เจอร์ เจล WATER LILY ULTRA BOOST MOISTURE GEL,13-1-6800020845,68,ผลิต,อนุมัติ,4/7/2568,3/7/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000208451364000451C,
จุฬาเฮิร์บ JULA’S HERB,วอเตอร์เมลอน ออร่า คลีนซิ่ง วิป โฟม WATERMELON AURA CLEANSING WHIP FOAM,13-1-6800007115,68,ผลิต,ยกเลิก (2/5/2568),4/3/2568,2/5/2568,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000071151364000451C,
จุฬาเฮิร์บ JULA’S HERB,วอเตอร์เมลอน ออร่า คลีนซิ่ง วิป โฟม WATERMELON AURA CLEANSING WHIP FOAM,13-1-6800014414,68,ผลิต,อนุมัติ,13/5/2568,12/5/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000144141364000451C,
จุฬาเฮิร์บ JULA’S HERB,วอเตอร์เมลอน บีบี บอดี้ โลชั่น พลัส เอสพีเอฟ 30 พีเอ+++ WATERMELON BB BODY LOTION PLUS SPF 30 PA+++,13-1-6800000646,68,ผลิต,อนุมัติ,9/1/2568,8/1/2571,บริษัท ธาร แลบบอราทอรี จำกัด,-,บริษัท เจแอลซี กรุ๊ป จำกัด,U1CM00013168000006461364000451C,
