ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เขาค้อทะเลภู KHAOKHO TALAYPU,โคโคนัท ออร์แกนิค แฮนด์ แอนด์ เนล ครีม COCONUT ORGANIC HAND AND NAIL CREAM,11-1-6800026381,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,U1CM00011168000263811061227311C,
เขาค้อทะเลภู KHAOKHO TALAYPU,เดย์เบรกเซนต์ อโรม่า ออยล์ DAYBREAK SCENT AROMA OIL,14-1-6800010217,68,ผลิต,อนุมัติ,31/3/2568,30/3/2571,บริษัท อุตสาหกรรมเครื่องหอมไทย-จีน จำกัด,-,บริษัท ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,U1CM00014168000102171052000871C,
KHAOKHO TALAYPU,DAYBREAK SCENT AROMA OIL,14-3-6800000270,68,,อนุมัติ,18/3/2568,17/3/2571,บริษัท อุตสาหกรรมเครื่องหอมไทย-จีน จำกัด,-,บริษัท ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,U1CM00014368000002701052000871C,
เขาค้อทะเลภู KHAOKHO TALAYPU,เออร์ลี่ ไลท์ เซนต์ ออยล์ EARLY LIGHT SCENT OIL,13-1-6800029404,68,ผลิต,อนุมัติ,11/9/2568,10/9/2571,บริษัท แอสทริด ลาบัว จำกัด,-,บริษัท ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,U1CM00013168000294041365000111C,
เขาค้อทะเลภู KHAOKHO TALAYPU,อีฟนิ่ง คาล์ม เซนต์ อโรม่า ออยล์ EVENING CALM SCENT AROMA OIL,14-1-6800010215,68,ผลิต,อนุมัติ,31/3/2568,30/3/2571,บริษัท อุตสาหกรรมเครื่องหอมไทย-จีน จำกัด,-,บริษัท ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,U1CM00014168000102151052000871C,
KHAOKHO TALAYPU,EVENING CALM SCENT AROMA OIL,14-3-6800000271,68,,อนุมัติ,18/3/2568,17/3/2571,บริษัท อุตสาหกรรมเครื่องหอมไทย-จีน จำกัด,-,บริษัท ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,U1CM00014368000002711052000871C,
เขาค้อทะเลภู KHAOKHO TALAYPU,เจนเทิล ฮาร์โมนี่ เซนต์ อโรม่า ออยล์ GENTLE HARMONY SCENT AROMA OIL,14-1-6800010214,68,ผลิต,อนุมัติ,31/3/2568,30/3/2571,บริษัท อุตสาหกรรมเครื่องหอมไทย-จีน จำกัด,-,บริษัท ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,U1CM00014168000102141052000871C,
KHAOKHO TALAYPU,GENTLE HARMONY SCENT AROMA OIL,14-3-6800000272,68,,อนุมัติ,18/3/2568,17/3/2571,บริษัท อุตสาหกรรมเครื่องหอมไทย-จีน จำกัด,-,บริษัท ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,U1CM00014368000002721052000871C,
เขาค้อทะเลภู KHAOKHO TALAYPU,เจนเทิล วิสเปอร์ เซนต์ ออยล์ GENTLE WHISPER SCENT OIL,13-1-6800023315,68,ผลิต,อนุมัติ,24/7/2568,23/7/2571,บริษัท แอสทริด ลาบัว จำกัด,-,บริษัท ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,U1CM00013168000233151365000111C,
เขาค้อทะเลภู KHAOKHO TALAYPU,โกลเด้น ทไวไลท์ เซนต์ ฟราแกรนซ์ ออยล์ GOLDEN TWILIGHT SCENT FRAGRANCE OIL,14-1-6800021389,68,ผลิต,อนุมัติ,9/7/2568,8/7/2571,บริษัท อุตสาหกรรมเครื่องหอมไทย-จีน จำกัด,-,,U1CM00014168000213891052000871C,
