ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ลา กลาส LA GLACE,แบรททิทูด ทู โทน พาวเดอร์ บลัช BRATTITUDE TWO TONE POWDER BLUSH,11-1-6800000993,68,ผลิต,อนุมัติ,11/1/2568,10/1/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ไอดีล แอนด์ มาเวลลัส เท็น จำกัด,U1CM00011168000009931163000283C,
ลา กลาส LA GLACE,แบรททิทูด ทู โทน พาวเดอร์ บลัช #01 เพอร์เพิล ฟรีค BRATTITUDE TWO TONE POWDER BLUSH #01 PURPLE FREAK,11-1-6800000990,68,ผลิต,อนุมัติ,11/1/2568,10/1/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ไอดีล แอนด์ มาเวลลัส เท็น จำกัด,U1CM00011168000009901163000281C,
ลา กลาส LA GLACE,แบรททิทูด ทู โทน พาวเดอร์ บลัช #02 อิทส์ บริตนีย์ BRATTITUDE TWO TONE POWDER BLUSH #02 IT'S BRITNEY,11-1-6800000991,68,ผลิต,อนุมัติ,11/1/2568,10/1/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ไอดีล แอนด์ มาเวลลัส เท็น จำกัด,U1CM00011168000009911163000281C,
ลา กลาส LA GLACE,แบรททิทูด ทู โทน พาวเดอร์ บลัช #03 เบบี้ดอลล์ แบรท BRATTITUDE TWO TONE POWDER BLUSH #03 BAEBIEDOLL BRAT,11-1-6800000992,68,ผลิต,อนุมัติ,11/1/2568,10/1/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ไอดีล แอนด์ มาเวลลัส เท็น จำกัด,U1CM00011168000009921163000281C,
ลา กลาส LA GLACE,บรอด สเปกตรัม เดลี่ อควาโนวา ซันสกรีน BROAD SPECTRUM DAILY AQUANOVA SUNSCREEN,73-1-6800005558,68,ผลิต,อนุมัติ,19/2/2568,18/2/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท ไอดีล แอนด์ มาเวลลัส เท็น จำกัด,U1CM00073168000055587362000251C,
ลา กลาส LA GLACE,บาย เกิล ลิป ทินท์ รีมูฟเวอร์ BYE GIRL LIP TINT REMOVER,74-1-6800028438,68,ผลิต,อนุมัติ,4/9/2568,3/9/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท ไอดีล แอนด์ มาเวลลัส เท็น จำกัด,U1CM00074168000284381052002831C,
ลา กลาส LA GLACE,คัลเลอร์ แอนด์ ซอฟต์ ไลน์เนอร์ #01 มูนลิท โกลว์ (วอร์ม ชิมเมอร์) COLOR & SOFT LINER #01 MOONLIT GLOW (WARM SHIMMER),10-2-6800010050,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000100501052016341C,
ลา กลาส LA GLACE,คัลเลอร์ แอนด์ ซอฟต์ ไลน์เนอร์ #02 เฟค นู้ด (วอร์ม โทน) COLOR & SOFT LINER #02 FAKE NUDE (WARM TONE),10-2-6800010051,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000100511052016341C,
ลา กลาส LA GLACE,คัลเลอร์ แอนด์ ซอฟต์ ไลน์เนอร์ #03 เบบ เบจ (วอร์ม โทน) COLOR & SOFT LINER #03 BABE BEIGE (WARM TONE),10-2-6800010054,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000100541052016341C,
ลา กลาส LA GLACE,คัลเลอร์ แอนด์ ซอฟต์ ไลน์เนอร์ #04 ชีคกี้ แซลมอน (วอร์ม โทน) COLOR & SOFT LINER #04 CHEEKY SALMON (WARM TONE),10-2-6800010055,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000100551052016341C,
