ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เลม่อน มี LEMON ME,บิวตี้ ล็อค ฟลอว์เลส สกิน คอมแพคท์ พาวเดอร์ BEAUTY LOCK FLAWLESS SKIN COMPACT POWDER,13-2-6800031163,68,นำเข้า,อนุมัติ,27/8/2568,26/8/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG GEDI COSMETICS CO.,LTD. BUILDING 2, AREA C , VANYANG CROWD INNOVATION PARK, GUANGDE INDUSTRIAL PARK, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000311631366000414C,
เลม่อน มี LEMON ME,ดรีมมี่ ดริป ฮาร์ท ลิควิด บลัช DREAMY DRIP HEART LIQUID BLUSH,13-2-6800031969,68,นำเข้า,อนุมัติ,2/9/2568,1/9/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG GEDI COSMETICS CO.,LTD. BUILDING 2, AREA C , VANYANG CROWD INNOVATION PARK, GUANGDE INDUSTRIAL PARK, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000319691366000416C,
เลม่อน มี LEMON ME,ดูโอ้ บิวตี้ เซต เบอร์ 1 พิงค์ พาราไดซ์ DUO BEAUTY SET NO. 1 PINK PARADISE,13-2-6800027710,68,นำเข้า,อนุมัติ,5/8/2568,4/8/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG GEDI COSMETICS CO.,LTD. BUILDING 2, AREA C , VANYANG CROWD INNOVATION PARK, GUANGDE INDUSTRIAL PARK, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000277101366000411C,
เลม่อน มี LEMON ME,ดูโอ้ บิวตี้ เซต เบอร์ 2 เรด สการ์เลต DUO BEAUTY SET NO. 2 RED SCARLET,13-2-6800027800,68,นำเข้า,อนุมัติ,5/8/2568,4/8/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG GEDI COSMETICS CO.,LTD. BUILDING 2, AREA C , VANYANG CROWD INNOVATION PARK, GUANGDE INDUSTRIAL PARK, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000278001366000411C,
เลม่อน มี LEMON ME,ฟัน ฟัน คลิก เม้ลทิ่ง ลิป FUN FUN CLICK MELTING LIP,13-2-6800009885,68,นำเข้า,อนุมัติ,25/3/2568,24/3/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG GEDI COSMETICS CO.,LTD. BUILDING 2, AREA C , VANYANG CROWD INNOVATION PARK, GUANGDE INDUSTRIAL PARK, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000098851366000417C,
เลม่อน มี LEMON ME,โกลว์ ยัวร์ พิงค์ คัลเลอร์ เชนจิ้ง ลิป GLOW YOUR PINK COLOR CHANGING LIP,13-2-6800017405,68,นำเข้า,อนุมัติ,22/5/2568,21/5/2571,บริษัท โทฟู สกินแคร์ จำกัด,"AYILY COLOR (GUANG ZHOU) BIOTECH CO., LTD. 3/F & 4/F, BUILDING 3, NO. 3, LONGDONG ROAD, HIGH-TECHNOLOGY INDUSTRIAL PARK, GUANGDONG CONGHUA ECONOMIC DEVELOPMENT ZONE, CONGHUA DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE, CHINA GUANGZHOU CITY 510900, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000174051366000413C,
เลม่อน มี LEMON ME,มินิ เมคอัพ เซต เบอร์ 1 คอรัล พิงค์ MINI MAKEUP SET NO.1 CORAL PINK,13-2-6800029146,68,นำเข้า,อนุมัติ,14/8/2568,13/8/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG GEDI COSMETICS CO.,LTD. BUILDING 2, AREA C , VANYANG CROWD INNOVATION PARK, GUANGDE INDUSTRIAL PARK, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000291461366000411C,
เลม่อน มี LEMON ME,มินิ เมคอัพ เซต เบอร์ 2 สวีท พีช MINI MAKEUP SET NO.2 SWEET PEACH,13-2-6800029144,68,นำเข้า,อนุมัติ,14/8/2568,13/8/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG GEDI COSMETICS CO.,LTD. BUILDING 2, AREA C , VANYANG CROWD INNOVATION PARK, GUANGDE INDUSTRIAL PARK, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000291441366000411C,
เลม่อน มี LEMON ME,พ็อคเก็ต ป็อป เลิฟลี่ พาเลท เบอร์ 1 ชูการ์ รัช พ็อคเก็ต POCKET POP LOVELY PALETTE NO.1 SUGAR RUSH POCKET,13-2-6800008382,68,นำเข้า,อนุมัติ,12/3/2568,11/3/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG GEDI COSMETICS CO.,LTD. BUILDING 2, AREA C , VANYANG CROWD INNOVATION PARK, GUANGDE INDUSTRIAL PARK, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000083821366000411C,
เลม่อน มี LEMON ME,พ็อคเก็ต ป็อป เลิฟลี่ พาเลท เบอร์ 2 พีช บลอสซั่ม พ็อคเก็ต POCKET POP LOVELY PALETTE NO.2 PEACH BLOSSOM POCKET,13-2-6800008380,68,นำเข้า,อนุมัติ,12/3/2568,11/3/2571,บริษัท โทฟู สกินแคร์ จำกัด,"GUANGDONG GEDI COSMETICS CO.,LTD. BUILDING 2, AREA C , VANYANG CROWD INNOVATION PARK, GUANGDE INDUSTRIAL PARK, YINGHONG TOWN, YINGDE CITY, GUANGDONG PROVINCE YINGDE CITY 513042, PEOPLE’S REPUBLIC OF CHINA",,U1CM00013268000083801366000411C,
