ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ลิปอิท LIP IT,คลิกคลิกลาวาลิป CLICK CLICK LAVA LIP,10-2-6800004925,68,นำเข้า,อนุมัติ,13/2/2568,12/2/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"KARMARTS INTERNATIONAL COMPANY LIMITED 8 , BANG SHENG ROAD, JINGHU , HUADU DISTRICT , GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000049251052015523C,
ลิปอิท LIP IT,คลิกคลิกลาวาลิป CLICK CLICK LAVA LIP,21-1-6800024018,68,ผลิต,อนุมัติ,31/7/2568,30/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000240181052013403C,
ลิปอิท LIP IT,เอเวอรี่เดย์ซันบาล์ม เอสพีเอฟ50+ พีเอ++++ #กรีนเกรฟ EVERYDAY SUN BALM SPF50+ PA++++ #GREEN GRAPE,10-2-6800008815,68,นำเข้า,อนุมัติ,17/3/2568,16/3/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"KARMARTS INTERNATIONAL COMPANY LIMITED 8 , BANG SHENG ROAD, JINGHU , HUADU DISTRICT , GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000088151052015521C,
ลิปอิท LIP IT,เอเวอรี่เดย์ซันบาล์ม เอสพีเอฟ50+ พีเอ++++ #กรีนเกรฟ EVERYDAY SUN BALM SPF50+ PA++++ #GREEN GRAPE,21-1-6800024012,68,ผลิต,อนุมัติ,31/7/2568,30/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000240121052013401C,
ลิปอิท LIP IT,มูดซีไวท์ลิปไลเนอร์ MOOD C WHITE LIP LINER,10-2-6800018204,68,นำเข้า,อนุมัติ,27/5/2568,26/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"GUANGDONG KAMELLIA INTERNATIONAL COMPANY LIMITED. STOREY 5-6, BLOCK 3, NO.1, HUANGPU ROAD, GUANGQING INDUSTRIAL ESTATE, GUANGQING SPECIAL ECONOMIC COOPERATION ZONE, SHIJIAO TOWN, QINGCHENG DISTRICT, QINGYUAN CITY, GUANGDONG PROVINCE, -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000182041052015523C,
ลิปอิท LIP IT,มูดซีไวท์ลิปไลเนอร์ MOOD C WHITE LIP LINER,21-1-6800024021,68,ผลิต,อนุมัติ,31/7/2568,30/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000240211052013403C,
ลิปอิท LIP IT,มูดซีไวท์ลิปไลเนอร์ #01 แอปริคอตครัวซองต์ MOOD C WHITE LIP LINER #01 APRICOT CROISSANT,10-2-6800018205,68,นำเข้า,อนุมัติ,27/5/2568,26/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"GUANGDONG KAMELLIA INTERNATIONAL COMPANY LIMITED. STOREY 5-6, BLOCK 3, NO.1, HUANGPU ROAD, GUANGQING INDUSTRIAL ESTATE, GUANGQING SPECIAL ECONOMIC COOPERATION ZONE, SHIJIAO TOWN, QINGCHENG DISTRICT, QINGYUAN CITY, GUANGDONG PROVINCE, -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000182051052015521C,
ลิปอิท LIP IT,มูดซีไวท์ลิปไลเนอร์ #01 แอปริคอตครัวซองต์ MOOD C WHITE LIP LINER #01 APRICOT CROISSANT,21-1-6800024022,68,ผลิต,อนุมัติ,31/7/2568,30/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000240221052013401C,
ลิปอิท LIP IT,มูดซีไวท์ลิปไลเนอร์ #03 เชอร์รี่คอฟฟี่ MOOD C WHITE LIP LINER #03 CHERRY COFFEE,10-2-6800018206,68,นำเข้า,อนุมัติ,27/5/2568,26/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"GUANGDONG KAMELLIA INTERNATIONAL COMPANY LIMITED. STOREY 5-6, BLOCK 3, NO.1, HUANGPU ROAD, GUANGQING INDUSTRIAL ESTATE, GUANGQING SPECIAL ECONOMIC COOPERATION ZONE, SHIJIAO TOWN, QINGCHENG DISTRICT, QINGYUAN CITY, GUANGDONG PROVINCE, -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000182061052015521C,
ลิปอิท LIP IT,มูดซีไวท์ลิปไลเนอร์ #03 เชอร์รี่คอฟฟี่ MOOD C WHITE LIP LINER #03 CHERRY COFFEE,21-1-6800024020,68,ผลิต,อนุมัติ,31/7/2568,30/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000240201052013401C,
ลิปอิท LIP IT,มูดซีไวท์ลิปไลเนอร์ #04 ลิ้นจี่มาการอง MOOD C WHITE LIP LINER #04 LYCHEE MACARON,10-2-6800018219,68,นำเข้า,อนุมัติ,27/5/2568,26/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"GUANGDONG KAMELLIA INTERNATIONAL COMPANY LIMITED. STOREY 5-6, BLOCK 3, NO.1, HUANGPU ROAD, GUANGQING INDUSTRIAL ESTATE, GUANGQING SPECIAL ECONOMIC COOPERATION ZONE, SHIJIAO TOWN, QINGCHENG DISTRICT, QINGYUAN CITY, GUANGDONG PROVINCE, -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000182191052015521C,
ลิปอิท LIP IT,มูดซีไวท์ลิปไลเนอร์ #04 ลิ้นจี่มาการอง MOOD C WHITE LIP LINER #04 LYCHEE MACARON,21-1-6800023996,68,ผลิต,อนุมัติ,31/7/2568,30/7/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000239961052013401C,
