ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,เบบี้ ลิปส์ แคร์ บาล์ม -เบอร์รี่ ครัช BABY LIPS CARE BALM -BERRY CRUSH,10-2-6800027277,68,นำเข้า,อนุมัติ,31/7/2568,30/7/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"YICHANG TIANMEI INTERNATIONAL COSMETICS CO.,LTD. 18# XIHU ROAD XI LING ECONOMIC DEVELOPMENT ZONE. YICHANG, HUBEI, YICHANG 443000, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000272771067021851C,
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,เบบี้ ลิปส์ แคร์ บาล์ม -พิงค์ โลลิต้า BABY LIPS CARE BALM -PINK LOLITA,10-2-6800027275,68,นำเข้า,อนุมัติ,31/7/2568,30/7/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"YICHANG TIANMEI INTERNATIONAL COSMETICS CO.,LTD. 18# XIHU ROAD XI LING ECONOMIC DEVELOPMENT ZONE. YICHANG, HUBEI, YICHANG 443000, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000272751067021851C,
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,คลาวด์โทเปีย ชีคแอนด์ลิป มูส CLOUDTOPIA CHEEK & LIP MOUSSE,10-2-6800029725,68,นำเข้า,อนุมัติ,19/8/2568,18/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"SHANGHAI BEUKAY COSMETICS CO., LTD. NO. 869, BEIHUAN ROAD, FENGXIAN DISTRICT, SHANGHAI CITY, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000297251067021854C,
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,คลาวด์โทเปีย ชีคแอนด์ลิป มูส -03 CLOUDTOPIA CHEEK & LIP MOUSSE -03,10-2-6800029726,68,นำเข้า,อนุมัติ,19/8/2568,18/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"SHANGHAI BEUKAY COSMETICS CO., LTD. NO. 869, BEIHUAN ROAD, FENGXIAN DISTRICT, SHANGHAI CITY, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000297261067021851C,
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,ฟิตมี ลูซ เซตติ้ง พาวเดอร์ FIT ME LOOSE SETTING POWDER,10-2-6800030065,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"SHANGHAI BEUKAY COSMETICS CO., LTD. NO. 869, BEIHUAN ROAD, FENGXIAN DISTRICT, SHANGHAI CITY, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000300651067021853C,
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,ฟิตมี แมททิไฟอิง เซตติ้ง พาวเดอร์ -01 FIT ME MATTIFYING SETTING POWDER -01,10-2-6800030063,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"SHANGHAI BEUKAY COSMETICS CO., LTD. NO. 869, BEIHUAN ROAD, FENGXIAN DISTRICT, SHANGHAI CITY, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000300631067021851C,
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,ฟิตมี สปอต เรสคิว - 001 FIT ME SPOT RESCUE - 001,10-2-6800028149,68,นำเข้า,ยกเลิก (28/8/2568),7/8/2568,28/8/2568,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,,U1CM00010268000281491067021851C,
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,ฟิตมี สปอตเรสคิว ฟูลคอเวอเรจ สกิน-อิมพรูฟวิง คอนซีลเลอร์+ซาลิซิลิก แอซิด FIT ME SPOT RESCUE FULL COVERAGE SKIN-IMPROVING CONCEALER+SALICYLIC ACID,10-2-6800030706,68,นำเข้า,อนุมัติ,25/8/2568,24/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"YICHANG TIANMEI INTERNATIONAL COSMETICS CO.,LTD. 18# XIHU ROAD XI LING ECONOMIC DEVELOPMENT ZONE. YICHANG, HUBEI, YICHANG 443000, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000307061067021856C,
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,ลิฟเตอร์ เกลซ LIFTER GLAZE,10-2-6800020167,68,นำเข้า,อนุมัติ,11/6/2568,10/6/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"YICHANG TIANMEI INTERNATIONAL COSMETICS CO.,LTD. 18# XIHU ROAD XI LING ECONOMIC DEVELOPMENT ZONE. YICHANG, HUBEI, YICHANG 443000, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000201671067021856C,
เมย์เบลลีน นิวยอร์ก MAYBELLINE NEW YORK,ลิฟเตอร์ เกลซ LIFTER GLAZE,10-2-6800020169,68,นำเข้า,อนุมัติ,11/6/2568,10/6/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"YICHANG TIANMEI INTERNATIONAL COSMETICS CO.,LTD. 18# XIHU ROAD XI LING ECONOMIC DEVELOPMENT ZONE. YICHANG, HUBEI, YICHANG 443000, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000201691067021853C,
