ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เมดิฮีล MEDIHEAL,เซราไมด์ เอสเซนเชียล มาส์ก มอยซ์เจอร์ แบร์ริเออร์ CERAMIDE ESSENTIAL MASK MOISTURE BARRIER,10-2-6800030184,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"LS COSMETIC CO., LTD. 176-8, DODAM-RO, SEO-GU INCHEON , KOREA, SOUTH",,U1CM00010268000301841064132431C,
เมดิฮีล MEDIHEAL,เซราไมด์ เอสเซนเชียล มาสก์_มอยซ์เจอร์ แบริเออร์ CERAMIDE ESSENTIAL MASK_MOISTURE BARRIER,12-2-6800019576,68,นำเข้า,อนุมัติ,6/6/2568,5/6/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"LS COSMETIC CO., LTD. 176-8, DODAM-RO, SEO-GU INCHEON , KOREA, SOUTH",,U1CM00012268000195761061114311C,
เมดิฮีล MEDIHEAL,เซราไมด์ เอสเซนเชียล มาสก์_มอยซ์เจอร์ แบริเออร์ CERAMIDE ESSENTIAL MASK_MOISTURE BARRIER,12-2-6800036345,68,นำเข้า,อนุมัติ,7/10/2568,6/10/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"LS COSMETIC CO., LTD. 31 NAMDONGSEO-RO 236BEON-GIL, NAMDONG-GU INCHEON , KOREA, SOUTH",,U1CM00012268000363451061114311C,
เมดิฮีล MEDIHEAL,ซิก้า เอซี คาล์มมิ่ง สลีปปิ้ง มาสก์ CICA AC CALMING SLEEPING MASK,12-2-6800036411,68,นำเข้า,อนุมัติ,8/10/2568,7/10/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"LS COSMETIC CO., LTD. 31 NAMDONGSEO-RO 236BEON-GIL, NAMDONG-GU INCHEON , KOREA, SOUTH",,U1CM00012268000364111061114311C,
เมดิฮีล MEDIHEAL,ซิก้า คาล์มมิ่ง แอมพูล มาสก์ CICA CALMING AMPOULE MASK,12-2-6800035906,68,นำเข้า,อนุมัติ,2/10/2568,1/10/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"LS COSMETIC CO., LTD. 31 NAMDONGSEO-RO 236BEON-GIL, NAMDONG-GU INCHEON , KOREA, SOUTH",,U1CM00012268000359061061114311C,
เมดิฮีล MEDIHEAL,คอลลาเจน แอนตี้-เอจจิ้ง สลีปปิ้ง มาสก์ COLLAGEN ANTI-AGING SLEEPING MASK,12-2-6800036410,68,นำเข้า,อนุมัติ,8/10/2568,7/10/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"LS COSMETIC CO., LTD. 31 NAMDONGSEO-RO 236BEON-GIL, NAMDONG-GU INCHEON , KOREA, SOUTH",,U1CM00012268000364101061114311C,
เมดิฮีล MEDIHEAL,คอลลาเจน เอสเซนเชียล มาส์ก คอร์ เฟิร์มมิ่ง COLLAGEN ESSENTIAL MASK CORE FIRMING,10-2-6800030175,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"LS COSMETIC CO., LTD. 176-8, DODAM-RO, SEO-GU INCHEON , KOREA, SOUTH",,U1CM00010268000301751064132431C,
เมดิฮีล MEDIHEAL,คอลลาเจน เอสเซนเชียล มาสก์_คอร์ เฟิร์มมิ่ง COLLAGEN ESSENTIAL MASK_CORE FIRMING,12-2-6800019608,68,นำเข้า,อนุมัติ,6/6/2568,5/6/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"LS COSMETIC CO., LTD. 176-8, DODAM-RO, SEO-GU INCHEON , KOREA, SOUTH",,U1CM00012268000196081061114311C,
เมดิฮีล MEDIHEAL,คอลลาเจน เอสเซนเชียล มาสก์_คอร์ เฟิร์มมิ่ง (เพลฟ แบมบี้ อิดิชั่น_มีมู) COLLAGEN ESSENTIAL MASK_CORE FIRMING (PLAVE BAMBY EDITION_MIIMU),12-2-6800030129,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"LS COSMETIC CO., LTD. 176-8, DODAM-RO, SEO-GU INCHEON , KOREA, SOUTH",,U1CM00012268000301291061114311C,
เมดิฮีล MEDIHEAL,คอลลาเจน เฟิร์มมิ่ง วอลลุ่ม เซรั่ม COLLAGEN FIRMING VOLUME SERUM,12-2-6800019577,68,นำเข้า,อนุมัติ,6/6/2568,5/6/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"COSMAX INC. 27, JEYAKGONGDAN 1-GIL, 46, JEYAKGONGDAN 2-GIL, HYANGNAM-EUP, HWASEONG-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00012268000195771061114311C,
เมดิฮีล MEDIHEAL,คอลลาเจน แรพพิง เซรั่ม มาส์ก_เฟิร์มมิ่ง วอลุ่ม COLLAGEN WRAPPING SERUM MASK_FIRMING VOLUME,10-2-6800030307,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"CNF CO., LTD. 29, GONGDAN-RO 140BEONAN-GIL, GUNPO-SI GYEONGGI-DO, 15845 , KOREA, SOUTH",,U1CM00010268000303071064132431C,
เมดิฮีล MEDIHEAL,เดอร์มา โมเดลลิ่ง แพ็ค 5เอ็กซ์ เมก้า เซต (มาเดแคสโซไซด์ เบลมิช) (ทอย สตอรี่ อิดิชั่น) DERMA MODELING PACK 5X MEGA SET (MADECASSOSIDE BLEMISH) (TOY STORY EDITION),12-2-6800006681,68,นำเข้า,อนุมัติ,27/2/2568,26/2/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"SLC CO., LTD. 59-9, BISEUL-RO 262-GIL, NONGONG-EUP, DALSEONG-GUN, DAEGU , KOREA, SOUTH",,U1CM00012268000066811061114311C,
เมดิฮีล MEDIHEAL,ไฮยาลูรอน ไฮเดรทติ้ง สลีปปิ้ง มาสก์ HYALURON HYDRATING SLEEPING MASK,12-2-6800036412,68,นำเข้า,อนุมัติ,8/10/2568,7/10/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"LS COSMETIC CO., LTD. 31 NAMDONGSEO-RO 236BEON-GIL, NAMDONG-GU INCHEON , KOREA, SOUTH",,U1CM00012268000364121061114311C,
เมดิฮีล MEDIHEAL,ไฮยาลูโรเนต เอสเซนเชียล มาส์ก อัลตร้า ไฮเดรชั่น HYALURONATE ESSENTIAL MASK ULTRA HYDRATION,10-2-6800030174,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"LS COSMETIC CO., LTD. 176-8, DODAM-RO, SEO-GU INCHEON , KOREA, SOUTH",,U1CM00010268000301741064132431C,
เมดิฮีล MEDIHEAL,ไฮยาลูโรเนต เอสเซนเชียล มาสก์_อัลตร้า ไฮเดรชั่น HYALURONATE ESSENTIAL MASK_ULTRA HYDRATION,12-2-6800014480,68,นำเข้า,อนุมัติ,30/4/2568,29/4/2571,บริษัท อินเตอร์ บิวตี้ จำกัด,"LS COSMETIC CO., LTD. 176-8, DODAM-RO, SEO-GU INCHEON , KOREA, SOUTH",,U1CM00012268000144801061114311C,
