ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
คอตตอนเมลโลว์ COTTONMELLOW,เดลี่ มอยส์เจอร์ ไวท์เทนนิ่ง เจล ครีม DAILY MOISTURE WHITENING GEL CREAM,74-1-6800031691,68,ผลิต,อนุมัติ,30/9/2568,29/9/2571,บริษัท อาร์ แอนด์ ดี อินเตอร์ แมนูแฟคเจอริ่ง จำกัด,-,นาง ฐิตาภา กระจ่างนิวัตร,U1CM00074168000316911059018561C,
เมลโล MELLO,เบลอ อัพ ไพรเมอร์ BLUR UP PRIMER,11-1-6800004553,68,ผลิต,อนุมัติ,11/2/2568,10/2/2571,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00011168000045531165000691C,
เมลโล MELLO,เบลอ อัพ ไพรเมอร์ เอสพีเอฟ 30 พีเอ+++ BLUR UP PRIMER SPF30 PA+++,11-1-6800006158,68,ผลิต,อนุมัติ,24/2/2568,23/2/2571,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00011168000061581165000691C,
เมลโล MELLO,บลัช คัลเลอร์ & โกลว์ BLUSH COLOR & GLOW,10-2-6800037068,68,นำเข้า,อนุมัติ,15/10/2568,14/10/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"ZHEJIANG ESHINE COSMETICS CO.,LTD. NO.1 XINGCHENG ROAD, MOCHENG INDUSTRIAL PARK, AOJIANG, PINGYANG, WENZHOU ZHEJIANG 325401, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000370681052016341C,
เมลโล MELLO,แคนดี้ บลอสซั่ม โลชั่น CANDY BLOSSOM LOTION,11-1-6800031278,68,ผลิต,ยกเลิก (30/9/2568),25/9/2568,30/9/2568,บริษัท เออีซี รีซอร์สเซส ดีเวลลอปเม้นท์ จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00011168000312781167003321C,
เมลโล MELLO,แคนดี้ บลอสซั่ม โลชั่น CANDY BLOSSOM LOTION,11-1-6800032497,68,ผลิต,อนุมัติ,7/10/2568,6/10/2571,บริษัท เออีซี รีซอร์สเซส ดีเวลลอปเม้นท์ จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00011168000324971167003321C,
เมลโล MELLO,อาย คัลเลอร์ พาเลท 01 สปริง นู้ด EYE COLOR PALETTE 01 SPRING NUDE,10-2-6800013359,68,นำเข้า,อนุมัติ,23/4/2568,22/4/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"ZHEJIANG DIEFEI COSMETIC CO., LTD. NO.21, JINGER ROAD, BEIYUAN INDUSTRIAL PARK, YIWU ZHEJIANG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000133591052016341C,
เมลโล MELLO,อาย คัลเลอร์ พาเลท 02 บราวน์ ชูการ์ EYE COLOR PALETTE 02 BROWN SUGAR,10-2-6800013360,68,นำเข้า,อนุมัติ,23/4/2568,22/4/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"ZHEJIANG DIEFEI COSMETIC CO., LTD. NO.21, JINGER ROAD, BEIYUAN INDUSTRIAL PARK, YIWU ZHEJIANG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000133601052016341C,
เมลโล MELLO,กลาสซี่ ลิป คลิก GLASSY LIP CLICK,13-1-6800004140,68,ผลิต,อนุมัติ,6/2/2568,5/2/2571,บริษัท ไอยู-คอสเมด กรุ๊ป จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00013168000041401364000185C,
เมลโล MELLO,กลิตเตอร์ กลอส ลิป 04 สวีทตี้ GLITTER GLOSS LIP 04 SWEETIE,74-1-6800028836,68,ผลิต,อนุมัติ,8/9/2568,7/9/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00074168000288367463000551C,
