ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
มิซึมิ MIZUMI,แอคเน่ สกิน ฟิต อินวิซิเบิล แพด ACNE SKIN FIT INVISIBLE PAD,11-1-6800019526,68,ผลิต,อนุมัติ,24/6/2568,23/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00011168000195261059030411C,
มิซึมิ MIZUMI,แบล็ก โนวา แพด พอร์ บาลานซิ่ง BLACK NOVA PAD PORE BALANCING,11-1-6800031858,68,ผลิต,อนุมัติ,1/10/2568,30/9/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00011168000318581163000281C,
มิซึมิ MIZUMI,แบล็ก โนวา แพด พอร์ แคลริฟายอิ้ง BLACK NOVA PAD PORE CLARIFYING,11-1-6800030862,68,ผลิต,อนุมัติ,23/9/2568,22/9/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00011168000308621163000281C,
มิซึมิ MIZUMI,แบล็ก โนวา แพด พอร์ ไทเทนนิ่ง BLACK NOVA PAD PORE TIGHTENING,11-1-6800030661,68,ผลิต,อนุมัติ,22/9/2568,21/9/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00011168000306611163000281C,
มิซึมิ MIZUMI,ไบรท์ สกิน ฟิต อินวิซิเบิล แพด BRIGHT SKIN FIT INVISIBLE PAD,11-1-6800019528,68,ผลิต,อนุมัติ,24/6/2568,23/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00011168000195281059030411C,
มิซึมิ MIZUMI,ซิก้าฟิวส์ คาร์มมิ่ง มาสก์ แอคเน่ CICAFUSE CALMING MASK ACNE,11-2-6800019198,68,นำเข้า,อนุมัติ,4/6/2568,3/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"NOX BELLCOW COSMETICS CO., LTD. NO.50 DONGFU NORTH ROAD, NANTOU TOWN, ZHONGSHAN CITY, GUANGDONG PROVINCE, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000191981060426281C,
มิซึมิ MIZUMI,ซิก้าฟิวส์ คาร์มมิ่ง มาสก์ อินสแตนท์ ไบรท์ CICAFUSE CALMING MASK INSTANT BRIGHT,11-2-6800019199,68,นำเข้า,อนุมัติ,4/6/2568,3/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"NOX BELLCOW COSMETICS CO., LTD. NO.50 DONGFU NORTH ROAD, NANTOU TOWN, ZHONGSHAN CITY, GUANGDONG PROVINCE, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000191991060426281C,
มิซึมิ MIZUMI,ซิก้าฟิวส์ คาร์มมิ่ง มาสก์ ซูททิง CICAFUSE CALMING MASK SOOTHING,11-2-6800019200,68,นำเข้า,อนุมัติ,4/6/2568,3/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"NOX BELLCOW COSMETICS CO., LTD. NO.50 DONGFU NORTH ROAD, NANTOU TOWN, ZHONGSHAN CITY, GUANGDONG PROVINCE, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000192001060426281C,
มิซึมิ MIZUMI,ซิก้าฟิวส์ คาร์มมิ่ง มาสก์ ไทรอัล เซต CICAFUSE CALMING MASK TRIAL SET,11-2-6800024875,68,นำเข้า,อนุมัติ,16/7/2568,15/7/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"NOX BELLCOW COSMETICS CO., LTD. NO.50 DONGFU NORTH ROAD, NANTOU TOWN, ZHONGSHAN CITY, GUANGDONG PROVINCE, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000248751060426281C,
มิซึมิ MIZUMI,ซิก้าฟิวส์ คาร์มมิ่ง มาสก์ ไวท์ CICAFUSE CALMING MASK WHITE,11-2-6800019201,68,นำเข้า,อนุมัติ,4/6/2568,3/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"NOX BELLCOW COSMETICS CO., LTD. NO.50 DONGFU NORTH ROAD, NANTOU TOWN, ZHONGSHAN CITY, GUANGDONG PROVINCE, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000192011060426281C,
มิซึมิ MIZUMI,ฟิลเตอร์ เอฟเฟกต์ แอรี่ สกินแคร์ คุชชั่น เอสพีเอฟ50+ พีเอ++++ 05 โกโก้ FILTER EFFECT AIRY SKINCARE CUSHION SPF50+ PA++++ 05 COCOA,11-1-6800005787,68,ผลิต,อนุมัติ,21/2/2568,20/2/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00011168000057871061227311C,
มิซึมิ MIZUMI,ลิป ออยล์ เซรั่ม LIP OIL SERUM,11-1-6800014630,68,ผลิต,อนุมัติ,14/5/2568,13/5/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00011168000146301163000281C,
มิซึมิ MIZUMI,มัลติ-ไมเซล่า โฟร์เอ็กซ์ สมูธ คลีนซิ่ง วอเตอร์ แอคเน่ MULTI-MICELLAR 4X SMOOTH CLEANSING WATER ACNE,20-1-6800027195,68,ผลิต,อนุมัติ,26/8/2568,25/8/2571,บริษัท เอฟซี ลาบอราทอรี่ จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00020168000271951061188321C,
มิซึมิ MIZUMI,มัลติ-ไมเซล่า โฟร์เอ็กซ์ สมูธ คลีนซิ่ง วอเตอร์ ไบรท์ MULTI-MICELLAR 4X SMOOTH CLEANSING WATER BRIGHT,20-1-6800027199,68,ผลิต,อนุมัติ,26/8/2568,25/8/2571,บริษัท เอฟซี ลาบอราทอรี่ จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00020168000271991061188321C,
มิซึมิ MIZUMI,มัลติ-ไมเซล่า โฟร์เอ็กซ์ สมูธ คลีนซิ่ง วอเตอร์ ไฮเดรทติ้ง MULTI-MICELLAR 4X SMOOTH CLEANSING WATER HYDRATING,20-1-6800027191,68,ผลิต,อนุมัติ,26/8/2568,25/8/2571,บริษัท เอฟซี ลาบอราทอรี่ จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00020168000271911061188321C,
มิซึมิ MIZUMI,พีเอช บาลานซิ่ง เฟเชียล คลีนเซอร์ PH BALANCING FACIAL CLEANSER,11-1-6800011642,68,ผลิต,อนุมัติ,11/4/2568,10/4/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,U1CM00011168000116421061227311C,
