ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
นีเวีย NIVEA,แอคเน่ แคร์ ไมเซลแอร์ ออกซิเจน บูสท์ ไมเซลล่าร์ วอเตอร์ ACNE CARE MICELLAIR OXYGEN BOOST MICELLAR WATER,11-1-6800030972,68,ผลิต,อนุมัติ,24/9/2568,23/9/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000309721052000441C,
นีเวีย NIVEA,แบล็ค แอนด์ ไวท์ อินวิซิเบิ้ล ออเทนติก แอนตี้-เพอร์สไพแรนท์ สเปรย์ BLACK & WHITE INVISIBLE AUTHENTIC ANTI-PERSPIRANT SPRAY,24-1-6800028408,68,ผลิต,อนุมัติ,4/9/2568,3/9/2571,บริษัท ไซเบอร์แพค จำกัด,-,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,U1CM00024168000284081052001891C,
นีเวีย NIVEA,แบล็ค แอนด์ ไวท์ อินวิซิเบิ้ล ออเทนติก โรลออน BLACK & WHITE INVISIBLE AUTHENTIC ROLL ON,11-1-6800022763,68,ผลิต,อนุมัติ,21/7/2568,20/7/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000227631052000441C,
นีเวีย NIVEA,แบล็ค แอนด์ ไวท์ อินวิซิเบิ้ล ออเทนติก สเปรย์ BLACK & WHITE INVISIBLE AUTHENTIC SPRAY,24-1-6800022914,68,ผลิต,อนุมัติ,22/7/2568,21/7/2571,บริษัท ไซเบอร์แพค จำกัด,-,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,U1CM00024168000229141052001891C,
นีเวีย NIVEA,แบล็ค แอนด์ ไวท์ อินวิซิเบิ้่ล เฟรช โรลออน BLACK & WHITE INVISIBLE FRESH ROLL ON,11-1-6800022765,68,ผลิต,อนุมัติ,21/7/2568,20/7/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000227651052000441C,
นีเวีย NIVEA,แบล็ค แอนด์ ไวท์ อินวิซิเบิ้ล ซิลกี้ สมูท โรลออน BLACK & WHITE INVISIBLE SILKY SMOOTH ROLL ON,11-1-6800023326,68,ผลิต,อนุมัติ,24/7/2568,23/7/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000233261052000441C,
นีเวีย NIVEA,แบล็คเบอร์รี่ ชายน์ แคริ่ง ลิป BLACKBERRY SHINE CARING LIP,11-1-6800008760,68,ผลิต,อนุมัติ,18/3/2568,17/3/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000087601052000441C,
นีเวีย NIVEA,บอดี้ อินเทนซีฟ มอยส์เจอร์ บอดี้ มิลค์ BODY INTENSIVE MOISTURE BODY MILK,11-1-6800020093,68,ผลิต,อนุมัติ,26/6/2568,25/6/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000200931052000441C,
นีเวีย NIVEA,บอดี้ โลชั่น แคร์ BODY LOTION CARE,11-1-6800013018,68,ผลิต,อนุมัติ,28/4/2568,27/4/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000130181052000441C,
นีเวีย NIVEA,บอดี้ โลชั่น เอ็กซ์ตร้า ไบรท์ ดับเบิ้ล มอยส์เจอร์ BODY LOTION EXTRA BRIGHT DOUBLE MOISTURE,11-1-6800018367,68,ผลิต,อนุมัติ,15/6/2568,14/6/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000183671052000441C,
นีเวีย NIVEA,บอดี้ โลชั่น เอ็กซ์ตร้า ไบรท์ ไนท์ นอร์ริช BODY LOTION EXTRA BRIGHT NIGHT NOURISH,11-1-6800018206,68,ผลิต,อนุมัติ,12/6/2568,11/6/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000182061052000441C,
นีเวีย NIVEA,บอดี้ โลชั่น เอ็กซ์ตร้า ไบรท์ เรเดียนท์ แอนด์ สมูท BODY LOTION EXTRA BRIGHT RADIANT & SMOOTH,11-1-6800018207,68,ผลิต,อนุมัติ,12/6/2568,11/6/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000182071052000441C,
นีเวีย NIVEA,บอดี้ โลชั่น เอ็กซ์ตร้า ไบรท์ รีแพร์ แอนด์ โพรเทค เอสพีเอฟ 30 พีเอ++ BODY LOTION EXTRA BRIGHT REPAIR & PROTECT SPF 30 PA++,11-1-6800018208,68,ผลิต,อนุมัติ,12/6/2568,11/6/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000182081052000441C,
นีเวีย NIVEA,บอดี้ โลชั่น ไฮเดรชั่น BODY LOTION HYDRATION,11-1-6800013021,68,ผลิต,อนุมัติ,28/4/2568,27/4/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000130211052000441C,
นีเวีย NIVEA,บอดี้ มิลค์ โลชั่น อินเทนซีฟ มอยส์เจอร์ เอสพีเอฟ15 BODY MILK LOTION INTENSIVE MOISTURE SPF15,11-1-6800020094,68,ผลิต,อนุมัติ,26/6/2568,25/6/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000200941052000441C,
นีเวีย NIVEA,บอดี้ มิลค์ ริช นอร์ริชชิ่ง BODY MILK RICH NOURISHING,11-1-6800020095,68,ผลิต,อนุมัติ,26/6/2568,25/6/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000200951052000441C,
นีเวีย NIVEA,บอดี้ เซรั่ม เอ็กซ์ตร้า ไบรท์ 10 ซูเปอร์ BODY SERUM EXTRA BRIGHT 10 SUPER,11-1-6800006710,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000067101052000441C,
นีเวีย NIVEA,บอดี้ เซรั่ม เอ็กซ์ตร้า ไบรท์ 10 ซูเปอร์ โกลว์ BODY SERUM EXTRA BRIGHT 10 SUPER GLOW,11-1-6800029290,68,ผลิต,อนุมัติ,11/9/2568,10/9/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000292901052000441C,
นีเวีย NIVEA,บอดี้ เซรั่ม เอ็กซ์ตร้า ไบรท์ 10 ซูเปอร์ ยูธ BODY SERUM EXTRA BRIGHT 10 SUPER YOUTH,11-1-6800029286,68,ผลิต,อนุมัติ,11/9/2568,10/9/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000292861052000441C,
นีเวีย NIVEA,บอดี้ สมูท เซนเซชั่น BODY SMOOTH SENSATION,11-1-6800013022,68,ผลิต,อนุมัติ,28/4/2568,27/4/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000130221052000441C,
นีเวีย NIVEA,ไบรท์ ไนท์ โลชั่น BRIGHT NIGHT LOTION,11-1-6800013354,68,ผลิต,อนุมัติ,30/4/2568,29/4/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000133541052000441C,
นีเวีย NIVEA,ไบร์ท ออยล์ เคลียร์ ไมเซลแอร์ ออกซิเจน บูสท์ ไมเซลล่าร์ วอเตอร์ BRIGHT OIL CLEAR MICELLAIR OXYGEN BOOST MICELLAR WATER,11-1-6800030973,68,ผลิต,อนุมัติ,24/9/2568,23/9/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000309731052000441C,
นีเวีย NIVEA,ไบรท์ เรเดียนท์ โลชั่น BRIGHT RADIANT LOTION,11-1-6800013019,68,ผลิต,อนุมัติ,28/4/2568,27/4/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000130191052000441C,
นีเวีย NIVEA,แคร์แอนด์คัลเลอร์ ลิป บาล์ม ครีม คอรัล CARE&COLOR LIP BALM CREAM CORAL,11-1-6800000451,68,ผลิต,อนุมัติ,7/1/2568,6/1/2571,บริษัท ไบเออร์สด๊อรฟ (ประเทศไทย) จำกัด,-,,U1CM00011168000004511052000441C,
