ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
แพลนท์เนอรี่ PLANTNERY,แอมเปิ้ล ไซเดอร์ เฟเชียล โกลว์ โทนเนอร์ AMPLE CIDER FACIAL GLOW TONER,10-1-6800026277,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท นิวตริโน คอสเมโทโลจี จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00010168000262771062068411C,
แพลนท์เนอรี่ PLANTNERY,แอนตี้-เมลาสม่า คอนเซนเทรด เซรั่ม ANTI-MELASMA CONCENTRATED SERUM,10-1-6800021196,68,ผลิต,อนุมัติ,8/7/2568,7/7/2571,บริษัท นิวตริโน คอสเมโทโลจี จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00010168000211961062068411C,
แพลนท์เนอรี่ PLANTNERY,บาคูชิออล เรตินอล อะมิโน เบส วิป โฟม BAKUCHIOL RETINOL AMINO BASED WHIP FOAM,74-1-6800021984,68,ผลิต,อนุมัติ,15/7/2568,14/7/2571,บริษัท อังกฤษตรางู (แอล.พี.) สาย5 จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00074168000219841052006361C,
แพลนท์เนอรี่ PLANTNERY,บาคูชิออล เรตินอล สกิน รีนิววัล มอยซ์เจอไรเซอร์ BAKUCHIOL RETINOL SKIN RENEWAL MOISTURIZER,24-1-6800014551,68,ผลิต,อนุมัติ,13/5/2568,12/5/2571,บริษัท นิวตริโน คอสเมโทโลจี จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00024168000145512467000251C,
แพลนท์เนอรี่ PLANTNERY,แบมบู ชาร์โคล ดีพ คลีนซิ่ง บาล์ม BAMBOO CHARCOAL DEEP CLEANSING BALM,11-1-6800016635,68,ผลิต,อนุมัติ,29/5/2568,28/5/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00011168000166351163000281C,
แพลนท์เนอรี่ PLANTNERY,เบอร์รี่ ฟิลเลอร์ แอนด์ รีแพร์ ยูวี วีแกน ลิป เซรั่ม BERRY FILLER & REPAIR UV VEGAN LIP SERUM,10-1-6800012237,68,ผลิต,อนุมัติ,22/4/2568,21/4/2571,บริษัท นิวตริโน คอสเมโทโลจี จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00010168000122371062068411C,
แพลนท์เนอรี่ PLANTNERY,เบอร์รี่ กลูต้า ไบร์ท แอนด์ โกลว์ ยูวี บอดี้ เซรั่ม BERRY GLUTA BRIGHT & GLOW UV BODY SERUM,24-1-6800015258,68,ผลิต,อนุมัติ,19/5/2568,18/5/2571,บริษัท นิวตริโน คอสเมโทโลจี จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00024168000152582466000021C,
แพลนท์เนอรี่ PLANTNERY,ไบโอ-เซราไมด์ ซุปเปอร์ ซูทติ้ง คอนเซนเทรด เซรั่ม BIO-CERAMIDE SUPER SOOTHING CONCENTRATED SERUM,10-1-6800018382,68,ผลิต,อนุมัติ,16/6/2568,15/6/2571,บริษัท นิวตริโน คอสเมโทโลจี จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00010168000183821062068411C,
แพลนท์เนอรี่ PLANTNERY,ไบโอ-เรตินอล แอดวานซ์ รีนิวอล คอนเซนเทรด เซรั่ม BIO-RETINOL ADVANCED RENEWAL CONCENTRATED SERUM,10-1-6800017746,68,ผลิต,อนุมัติ,10/6/2568,9/6/2571,บริษัท นิวตริโน คอสเมโทโลจี จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00010168000177461062068411C,
แพลนท์เนอรี่ PLANTNERY,บลู เซราไมด์ ดีพ มอยซ์ ยูวี วีแกน ลิป เซรั่ม BLUE CERAMIDE DEEP MOIST UV VEGAN LIP SERUM,10-1-6800012661,68,ผลิต,อนุมัติ,25/4/2568,24/4/2571,บริษัท นิวตริโน คอสเมโทโลจี จำกัด,-,บริษัท ทีเอที คอร์ปอเรชั่น จำกัด (มหาชน),U1CM00010168000126611062068411C,
