ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,เอ เอช เอ สาม พลัส บอดี้ บูสเตอร์ ไบรท์ เซรั่ม AHA 3 PLUS BODY BOOSTER BRIGHT SERUM,13-1-6800012878,68,ผลิต,อนุมัติ,28/4/2568,27/4/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000128781366000701C,
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,เอ เอช เอ บอดี้ บูสเตอร์ ครีม AHA BODY BOOSTER CREAM,13-1-6800011377,68,ผลิต,อนุมัติ,10/4/2568,9/4/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000113771366000701C,
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,เอ เอช เอ บอดี้ บูสเตอร์ โลชั่น AHA BODY BOOSTER LOTION,13-1-6800011378,68,ผลิต,อนุมัติ,10/4/2568,9/4/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000113781366000701C,
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,อโล เฟเชี่ยล เคลียร์ มาส์ก ALOE FACIAL CLEAR MASK,13-1-6800028942,68,ผลิต,อนุมัติ,9/9/2568,8/9/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000289421366000701C,
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,อัลฟ่า อาร์บูติน สาม พลัส คอลลาเจน บาธ ครีม ALPHA ARBUTIN 3 PLUS COLLAGEN BATH CREAM,13-1-6800023714,68,ผลิต,อนุมัติ,29/7/2568,28/7/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000237141366000701C,
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,อัลฟ่า อาร์บูติน สาม พลัส คอลลาเจน บูสเตอร์ เซรั่ม ALPHA ARBUTIN 3 PLUS COLLAGEN BOOSTER SERUM,13-1-6800027301,68,ผลิต,อนุมัติ,26/8/2568,25/8/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000273011366000701C,
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,อัลฟ่า อาร์บูติน สาม พลัส คอลลาเจน เฟเชี่ยล เซรั่ม ALPHA ARBUTIN 3 PLUS COLLAGEN FACIAL SERUM,13-1-6800018792,68,ผลิต,อนุมัติ,18/6/2568,17/6/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000187921366000701C,
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,อัลฟ่า อาร์บูติน สาม พลัส คอลลาเจน โลชั่น ยูวี โพรเทคท์ ALPHA ARBUTIN 3 PLUS COLLAGEN LOTION UV PROTECT,13-1-6800027967,68,ผลิต,อนุมัติ,1/9/2568,31/8/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000279671366000701C,
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,อัลฟ่า อาร์บูติน สาม พลัส คอลลาเจน สครับ ALPHA ARBUTIN 3 PLUS COLLAGEN SCRUB,13-1-6800017680,68,ผลิต,อนุมัติ,9/6/2568,8/6/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000176801366000701C,
เพรชเชิส สกิน ไทยแลนด์ PRECIOUS SKIN THAILAND,อัลฟ่า อาร์บูติน คอลลาเจน สาม พลัส บอดี้ เซรั่ม ALPHA ARBUTIN COLLAGEN 3 PLUS BODY SERUM,13-1-6800018791,68,ผลิต,อนุมัติ,18/6/2568,17/6/2571,บริษัท โทฟู สกินแคร์ จำกัด,-,,U1CM00013168000187911366000701C,
