ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
โปรวาเมด PROVAMED,อโล 4 เอ็กซ์ ไฮดราบูสท์ เจล ALOE 4X HYDRABOOST GEL,13-1-6800018777,68,ผลิต,อนุมัติ,18/6/2568,17/6/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000187771060412021C,
โปรวาเมด PROVAMED,ไบโอ-เปปไทด์ เรตินอล บี3 แอนตี้ แอคเน่ มอยส์เจอไรเซอร์ BIO-PEPTIDE RETINOL B3 ANTI ACNE MOISTURIZER,13-1-6800003709,68,ผลิต,ยกเลิก (21/3/2568),4/2/2568,21/3/2568,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000037091060412021C,
โปรวาเมด PROVAMED,ไบโอ-เปปไทด์ เรตินอล บี3 แอนตี้ แอคเน่ มอยส์เจอไรเซอร์ BIO-PEPTIDE RETINOL B3 ANTI ACNE MOISTURIZER,13-1-6800009617,68,ผลิต,อนุมัติ,25/3/2568,24/3/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000096171060412021C,
โปรวาเมด PROVAMED,เอส อัลตร้า โซน ครีม S ULTRA ZONE CREAM,13-1-6800006028,68,ผลิต,อนุมัติ,24/2/2568,23/2/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000060281060412021C,
โปรวาเมด PROVAMED,โซลาริส ยูวี ดีเฟนส์ บอดี้ ซันสกรีน เอสพีเอฟ 50+ พีเอ++++ SOLARIS UV DEFENSE BODY SUNSCREEN SPF50+ PA++++,13-1-6800012753,68,ผลิต,อนุมัติ,25/4/2568,24/4/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000127531060412021C,
โปรวาเมด PROVAMED,โซลาริส ยูวี ดีเฟนส์ เฟซ ซันสกรีน เอสพีเอฟ 50+ พีเอ++++ SOLARIS UV DEFENSE FACE SUNSCREEN SPF50+ PA++++,13-1-6800012752,68,ผลิต,อนุมัติ,25/4/2568,24/4/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000127521060412021C,
โปรวาเมด PROVAMED,สปอต คอร์เรคเตอร์ แอนตี้ เมลาสมา ครีม SPOT CORRECTOR ANTI MELASMA CREAM,13-1-6800003721,68,ผลิต,อนุมัติ,4/2/2568,3/2/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000037211060412021C,
โปรวาเมด PROVAMED,ซัน เฟซ ยูวี ฟลอเลส ดีเฟนส์ เอสพีเอฟ 50+ พีเอ++++ (สีเบจ) SUN FACE UV FLAWLESS DEFENSE SPF50+ PA++++ (BEIGE),13-1-6800018688,68,ผลิต,ยกเลิก (16/7/2568),17/6/2568,16/7/2568,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000186881060412021C,
โปรวาเมด PROVAMED,ซัน เฟซ ยูวี ฟลอเลส ดีเฟนส์ เอสพีเอฟ 50+ พีเอ++++ (สีเบจ) SUN FACE UV FLAWLESS DEFENSE SPF50+ PA++++ (BEIGE),13-1-6800022318,68,ผลิต,อนุมัติ,17/7/2568,16/7/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000223181060412021C,
โปรวาเมด PROVAMED,ซัน เฟซ ยูวี ฟลอเลส ดีเฟนส์ เอสพีเอฟ 50+ พีเอ++++ (สีขาว) SUN FACE UV FLAWLESS DEFENSE SPF50+ PA++++ (WHITE),13-1-6800026252,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000262521060412021C,
โปรวาเมด PROVAMED,ไทม์เลส ไบโอ-ยูธ แอนตี้ เอจจิ้ง เอสเซ้นส์ TIMELESS BIO-YOUTH ANTI AGING ESSENCE,13-1-6800000951,68,ผลิต,อนุมัติ,10/1/2568,9/1/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000009511060412021C,
โปรวาเมด PROVAMED,วิตามินอี เฟเชียล เซรั่ม VITAMIN E FACIAL SERUM,13-1-6800007625,68,ผลิต,อนุมัติ,7/3/2568,6/3/2571,บริษัท โปรโนวา แลบบอราทอรีส์ จำกัด,-,บริษัท เอ็นบีดี เฮลท์แคร์ จำกัด,U1CM00013168000076251060412021C,
