ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เพียวรี บาย เพียวริก้าส์ PEURRI BY PURICAS,แอนตี้ แอคเน่ เซรั่ม ANTI ACNE SERUM,11-1-6800000135,68,ผลิต,อนุมัติ,3/1/2568,2/1/2571,บริษัท อินโนคอสเมด จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000001351166000581C,
เพียวริก้าส์ PURICAS,แอดวานส์ เอสเธทิค ซิลิโคน เจล ADVANCE AESTHETIC SILICONE GEL,11-1-6800028723,68,ผลิต,อนุมัติ,8/9/2568,7/9/2571,บริษัท อินโนคอสเมด จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000287231166000581C,
เพียวริก้าส์ PURICAS,แอดวานซ์ เอสเธทิค ซิลิโคน เจล ADVANCED AESTHETIC SILICONE GEL,11-1-6800029285,68,ผลิต,อนุมัติ,11/9/2568,10/9/2571,บริษัท อินโนคอสเมด จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000292851166000581C,
เพียวริก้าส์ PURICAS,แอนตี้ แอคเน่ แอนด์ ออย คอนโทรล เซรั่ม ANTI ACNE & OIL CONTROL SERUM,11-1-6800001209,68,ผลิต,อนุมัติ,14/1/2568,13/1/2571,บริษัท อินโนคอสเมด จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000012091166000581C,
เพียวริก้าส์ PURICAS,ดับเบิ้ล ดราก้อนบลัด อินเทนซีฟ มอยส์เจอร์ไรซิ่ง เจล ครีม DOUBLE DRAGON'S BLOOD INTENSIVE MOISTURIZING GEL CREAM,11-1-6800028370,68,ผลิต,อนุมัติ,4/9/2568,3/9/2571,บริษัท อินโนคอสเมด จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000283701166000581C,
เพียวริก้าส์ PURICAS,ดราก้อนบลัด ไบรท์เทนนิ่ง สการ์ เคลียร์ โซป DRAGON’S BLOOD BRIGHTENING SCAR CLEAR SOAP,11-1-6800024185,68,ผลิต,อนุมัติ,1/8/2568,31/7/2571,บริษัท เอสพีซี คอสเมติก จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000241851060505351C,
เพียวริก้าส์ PURICAS,ดราก้อนบลัด แอคเน่ ซูธธิง โทนเนอร์ DRAGON'S BLOOD ACNE SOOTHING TONER,11-1-6800020948,68,ผลิต,อนุมัติ,4/7/2568,3/7/2571,บริษัท อินโนคอสเมด จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000209481166000581C,
เพียวริก้าส์ PURICAS,ดราก้อนบลัด มอยส์เจอร์ไรซิ่ง ครีม DRAGON'S BLOOD MOISTURIZING CREAM,11-1-6800023150,68,ผลิต,ยกเลิก (14/8/2568),23/7/2568,14/8/2568,บริษัท อินโนคอสเมด จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000231501166000581C,
เพียวริก้าส์ PURICAS,ดราก้อนบลัด มอยส์เจอร์ไรซิ่ง ครีม DRAGON'S BLOOD MOISTURIZING CREAM,11-1-6800026006,68,ผลิต,อนุมัติ,16/8/2568,15/8/2571,บริษัท อินโนคอสเมด จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000260061166000581C,
เพียวริก้าส์ PURICAS,ไวท์เทนนิ่ง บูสเตอร์ เซรั่ม WHITENING BOOSTER SERUM,11-1-6800003519,68,ผลิต,อนุมัติ,3/2/2568,2/2/2571,บริษัท อินโนคอสเมด จำกัด,-,บริษัท สยาม คอนโซลิเดท เทรดดิ้ง จำกัด,U1CM00011168000035191166000581C,
