ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
โรจูคิส ROJUKISS,แอคเน่ เซโร่ ไบโอม 10 เอ็กซ์ อินเทนซีฟ มาส์ก ACNE CERO BIOME 10X INTENSIVE MASK,10-2-6800012133,68,นำเข้า,อนุมัติ,9/4/2568,8/4/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"COSLEAGUER CO., LTD. 295, GONGDAN 1-DAERO, SIHEUNG-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000121331064207511C,
โรจูคิส ROJUKISS,แอคเน่ สปอตเลส เซรั่ม เจล ACNE SPOTLESS SERUM GEL,10-2-6800015163,68,นำเข้า,อนุมัติ,6/5/2568,5/5/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"COSLEAGUER CO., LTD. 295, GONGDAN 1-DAERO, SIHEUNG-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000151631064207511C,
โรจูคิส ROJUKISS,แอนติ-แอคเน่ สกินแม็ป มาส์ก ANTI-ACNE SKINMAP MASK,10-2-6800034595,68,นำเข้า,อนุมัติ,23/9/2568,22/9/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"COSLEAGUER CO., LTD. 295, GONGDAN 1-DAERO, SIHEUNG-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000345951064207511C,
โรจูคิส ROJUKISS,แอนตี้-แอคเน่ ซูทติ้ง ทรีทเมนท์ ครีม ANTI-ACNE SOOTHING TREATMENT CREAM,10-2-6800007229,68,นำเข้า,อนุมัติ,4/3/2568,3/3/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"FARMER'S GRAIN KOREA CO., LTD. 190, NAMGONGJUSANDAN-GIL, IIN-MYEON, GONGJU-SI, CHUNGCHEONGNAM-DO , KOREA, SOUTH",,U1CM00010268000072291064207511C,
โรจูคิส ROJUKISS,อะควา คูลลิ่ง เจลลี่ ยูวี สติ๊ก เอสพีเอฟ 50+ พีเอ++++ AQUA COOLING JELLY UV STICK SPF 50+ PA++++,10-2-6800024807,68,นำเข้า,อนุมัติ,15/7/2568,14/7/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"FARMER'S GRAIN KOREA CO., LTD. 190, NAMGONGJUSANDAN-GIL, IIN-MYEON, GONGJU-SI, CHUNGCHEONGNAM-DO , KOREA, SOUTH",,U1CM00010268000248071064207511C,
โรจูคิส ROJUKISS,อะควา เจลลี่ ยูวี สติ๊ก เอสพีเอฟ 50+ พีเอ++++ AQUA JELLY UV STICK SPF 50+ PA++++,10-2-6800024039,68,นำเข้า,อนุมัติ,9/7/2568,8/7/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"FARMER'S GRAIN KOREA CO., LTD. 190, NAMGONGJUSANDAN-GIL, IIN-MYEON, GONGJU-SI, CHUNGCHEONGNAM-DO , KOREA, SOUTH",,U1CM00010268000240391064207511C,
โรจูคิส ROJUKISS,บี12 พิงค์ วิตามิน เซรั่ม ทรีตเมนต์ แพด B12 PINK VITAMIN SERUM TREATMENT PAD,10-2-6800033915,68,นำเข้า,อนุมัติ,17/9/2568,16/9/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"ANCORS (SHANGHAI) COSMETICS CO., LTD. 891, QIANQIAO ROAD, FENGXIAN DISTRICT, SHANGHAI CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000339151064207511C,
โรจูคิส ROJUKISS,บี12 พิงค์ วิตามิน สกิน แบริเออร์ มอยเจอร์ไรเซอร์ B12 PINK VITAMIN SKIN BARRIER MOISTURIZER,10-2-6800000017,68,นำเข้า,อนุมัติ,2/1/2568,1/1/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"E.CIS COSMETIC CO., LTD. GA DONG, 179, GONGDAN 1-DAERO, SIHEUNG-SI, GYEONGGI-DO 15083, KOREA, SOUTH",,U1CM00010268000000171064207511C,
โรจูคิส ROJUKISS,บี12 พิงค์ วิตามิน สกิน แบริเออร์ มอยเจอร์ไรเซอร์ B12 PINK VITAMIN SKIN BARRIER MOISTURIZER,10-2-6800036944,68,นำเข้า,อนุมัติ,14/10/2568,13/10/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"COSLEAGUER CO., LTD. 295, GONGDAN 1-DAERO, SIHEUNG-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000369441064207511C,
โรจูคิส ROJUKISS,บีเอชเอ แอนติ-แอคเน่ 10 เอ็กซ์ ทรีตเมนต์ มาส์ก BHA ANTI-ACNE 10X TREATMENT MASK,10-2-6800012087,68,นำเข้า,อนุมัติ,9/4/2568,8/4/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"COSLEAGUER CO., LTD. 295, GONGDAN 1-DAERO, SIHEUNG-SI, GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000120871064207511C,
