ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
รอยัล บิวตี้ ROYAL BEAUTY,แอนตี้ เมลาสม่า เซรั่ม ANTI-MELASMA SERUM,11-1-6800012039,68,ผลิต,อนุมัติ,21/4/2568,20/4/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ไลฟ์สตอรี่ จำกัด,U1CM00011168000120391059030411C,
รอยัล บิวตี้ ROYAL BEAUTY,ไฮยา มอยส์เจอร์ไรเซอร์ HYA MOISTURIZER,11-1-6800001909,68,ผลิต,อนุมัติ,20/1/2568,19/1/2571,บริษัท เออีซี รีซอร์สเซส ดีเวลลอปเม้นท์ จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00011168000019091167003321C,
รอยัล บิวตี้ ROYAL BEAUTY,แมท ฟิต พาวเดอร์ เอสพีเอฟ 35 พีเอ+++ #01 MATTE FIT POWDER SPF 35 PA+++ #01,12-1-6800006445,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท ไลฟ์สตอรี่ จำกัด,U1CM00012168000064451052002581C,
รอยัล บิวตี้ ROYAL BEAUTY,แมท ฟิต พาวเดอร์ เอสพีเอฟ 35 พีเอ+++ 01 MATTE FIT POWDER SPF 35 PA+++ 01,12-1-6800006755,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00012168000067551052002581C,
รอยัล บิวตี้ ROYAL BEAUTY,เพอร์เฟค ไวท์ พลัส PERFECT WHITE PLUS,74-1-6800010792,68,ผลิต,อนุมัติ,4/4/2568,3/4/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00074168000107927463000551C,
รอยัล บิวตี้ ROYAL BEAUTY,เวลเวท ลิป โรซี่ ป๊อบ VELVET LIP ROSY POP,74-1-6800023811,68,ผลิต,อนุมัติ,30/7/2568,29/7/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00074168000238117463000551C,
รอยัล บิวตี้ ROYAL BEAUTY,เวลเวท ลิป รูบี้ เรด VELVET LIP RUBY RED,74-1-6800023813,68,ผลิต,อนุมัติ,30/7/2568,29/7/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00074168000238137463000551C,
รอยัล บิวตี้ ROYAL BEAUTY,วิตซี อินเทนซ์ เซรั่ม VIT C INTENSE SERUM,24-1-6800002389,68,ผลิต,อนุมัติ,23/1/2568,22/1/2571,บริษัท ศิริ แลบอราทอรีส์ จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00024168000023892463000181C,
รอยัล บิวตี้ ROYAL BEAUTY,วิตามินซี โกลว์ บูสเตอร์ เซรั่ม VITAMIN C GLOW BOOSTER SERUM,11-1-6800023016,68,ผลิต,อนุมัติ,22/7/2568,21/7/2571,บริษัท เออีซี รีซอร์สเซส ดีเวลลอปเม้นท์ จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00011168000230161167003321C,
รอยัล บิวตี้ ROYAL BEAUTY,วิตอี ฮันนี่ โซป VIT-E HONEY SOAP,74-1-6800006954,68,ผลิต,อนุมัติ,3/3/2568,2/3/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท สหไทยพัฒนภัณฑ์ จำกัด,U1CM00074168000069547463000551C,
