ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ซิสทูซิส SIS2SIS,ออล เดย์ เพอร์เฟค เบลอ คอนซีลเลอร์ ALL DAY PERFECT BLUR CONCEALER,11-1-6800021604,68,ผลิต,อนุมัติ,11/7/2568,10/7/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000216041163000281C,
ซิสทูซิส SIS2SIS,เบบี้ ลิป แคร์ 01 BABY LIP CARE 01,10-2-6800028125,68,นำเข้า,อนุมัติ,6/8/2568,5/8/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"ZHEJIANG ENCHANT COSMETIC CO., LTD. YIDONG INDUSTRIAL ZONE, YIWU CITY, ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000281251064207511C,
ซิสทูซิส SIS2SIS,เบบี้ ลิป แคร์ 02 BABY LIP CARE 02,10-2-6800028126,68,นำเข้า,อนุมัติ,6/8/2568,5/8/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"ZHEJIANG ENCHANT COSMETIC CO., LTD. YIDONG INDUSTRIAL ZONE, YIWU CITY, ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000281261064207511C,
ซิสทูซิส SIS2SIS,เบบี้ ลิป แคร์ 03 BABY LIP CARE 03,10-2-6800028127,68,นำเข้า,อนุมัติ,6/8/2568,5/8/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"ZHEJIANG ENCHANT COSMETIC CO., LTD. YIDONG INDUSTRIAL ZONE, YIWU CITY, ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000281271064207511C,
ซิสทูซิส SIS2SIS,ชีค ป๊อป ลิควิด บลัช 01 CHEEK POP LIQUID BLUSH 01,10-2-6800031986,68,นำเข้า,อนุมัติ,2/9/2568,1/9/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"GUANGZHOU KEMEISHI BIOTECHNOLOGY CO., LTD. 2/F, 3/F, NO. 8, NANYE SIHENG ROAD, NANLING INDUSTRIAL ZONE, TAIHE VILLAGE, BAIYUN DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000319861064207511C,
ซิสทูซิส SIS2SIS,ชีค ป๊อป ลิควิด บลัช 02 CHEEK POP LIQUID BLUSH 02,10-2-6800031987,68,นำเข้า,อนุมัติ,2/9/2568,1/9/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"GUANGZHOU KEMEISHI BIOTECHNOLOGY CO., LTD. 2/F, 3/F, NO. 8, NANYE SIHENG ROAD, NANLING INDUSTRIAL ZONE, TAIHE VILLAGE, BAIYUN DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000319871064207511C,
ซิสทูซิส SIS2SIS,ชีค ป๊อป ลิควิด บลัช 03 CHEEK POP LIQUID BLUSH 03,10-2-6800031988,68,นำเข้า,อนุมัติ,2/9/2568,1/9/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"GUANGZHOU KEMEISHI BIOTECHNOLOGY CO., LTD. 2/F, 3/F, NO. 8, NANYE SIHENG ROAD, NANLING INDUSTRIAL ZONE, TAIHE VILLAGE, BAIYUN DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000319881064207511C,
ซิสทูซิส SIS2SIS,ดูโอ้ โกลว์ & ไบร์ท คอมแพค พาวเดอร์ DUO GLOW & BRIGHT COMPACT POWDER,11-1-6800018218,68,ผลิต,อนุมัติ,13/6/2568,12/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000182181059030411C,
ซิสทูซิส SIS2SIS,กลอส & ไชน์ ลิป GLOSS & SHINE LIP,11-1-6800019450,68,ผลิต,อนุมัติ,23/6/2568,22/6/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000194501163000283C,
ซิสทูซิส SIS2SIS,กลอส & ไชน์ ลิป 03 GLOSS & SHINE LIP 03,11-1-6800019452,68,ผลิต,อนุมัติ,23/6/2568,22/6/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000194521163000281C,
ซิสทูซิส SIS2SIS,เพอร์เฟค ดูโอ้ อายโบรว์ PERFECT DUO EYEBROW,10-2-6800019824,68,นำเข้า,อนุมัติ,9/6/2568,8/6/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000198241052016341C,
ซิสทูซิส SIS2SIS,พอร์เลส & ไบร์ท สกิน ไพรเมอร์ เอสพีเอฟ25 พีเอ+++ PORELESS & BRIGHT SKIN PRIMER SPF25 PA+++,11-1-6800030331,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000303311163000281C,
ซิสทูซิส SIS2SIS,ชาร์ป & สเตย์ อายไลน์เนอร์ SHARP & STAY EYELINER,10-2-6800019822,68,นำเข้า,อนุมัติ,9/6/2568,8/6/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"ZHONGSHAN MAGNOLIA COSMETICS CO., LTD. 3/F, AREA 1-2/F, BUILDING 3, NO.4, PINGPU ROAD, SANXIANG TOWN, ZHONGSHAN CITY GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000198221052016341C,
ซิสทูซิส SIS2SIS,ชาร์ป & สเตย์ อายไลน์เนอร์ 02 SHARP & STAY EYELINER 02,10-2-6800034225,68,นำเข้า,อนุมัติ,19/9/2568,18/9/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"ZHONGSHAN MAGNOLIA COSMETICS CO., LTD. 3/F, AREA 1-2/F, BUILDING 3, NO.4, PINGPU ROAD, SANXIANG TOWN, ZHONGSHAN CITY GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000342251052016341C,
ซิสทูซิส SIS2SIS,สเตย์ ออล เดย์ พีล ออฟ ทินท์ STAY ALL DAY PEEL OFF TINT,10-2-6800034195,68,นำเข้า,อนุมัติ,19/9/2568,18/9/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"KAIYA (SHANTOU) COSMETICS CO., LTD. 5F & 6F, DASHENG PLANT, PUTOU INDUSTRIAL PARK, DALU, JINPING DISTRICT, SHANTOU CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000341951064207514C,
ซิสทูซิส SIS2SIS,วอลลุ่ม & เคอร์ลิ่ง มาสคาร่า 01 VOLUME & CURLING MASCARA 01,10-2-6800024818,68,นำเข้า,อนุมัติ,15/7/2568,14/7/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"COSMAX CHINA, INC. 529, XIAONAN ROAD, FENGXIAN DISTRICT, SHANGHAI CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000248181064207511C,
ซิสทูซิส SIS2SIS,วอลลุ่ม & ลิฟท์ มาสคาร่า 01 VOLUME & LIFT MASCARA 01,10-2-6800031226,68,นำเข้า,อนุมัติ,28/8/2568,27/8/2571,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),"COSMAX CHINA, INC. 529, XIAONAN ROAD, FENGXIAN DISTRICT, SHANGHAI CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000312261064207511C,
