ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,แอมเบอร์ คริสตัลลีน ลิป โมจิ AMBER CRYSTALLINE LIP MOCHI,12-2-6800014784,68,นำเข้า,อนุมัติ,2/5/2568,1/5/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"GUANGDONG JIULI COSMETICS CO., LTD. 1/F, NO.201 OF 2/F, 3-4/F, BUILDING 5, AREA D, WANYANG ZHONGCHUANG CITY, GUANGDEYUAN, YINGHONG TOWN, YINGDE CITY, QINGYUAN CITY, GUANGDONG PROVINCE, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000147841052019075C,
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,อควา ซัน ซันสกรีน สเปรย์ เอสพีเอฟ 50 พีเอ+++ AQUA SUN SUNSCREEN SPRAY SPF 50 PA+++,12-2-6800010160,68,นำเข้า,อนุมัติ,26/3/2568,25/3/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"ZHONGSHAN AOCHEN FINE CHEMICAL INDUSTRY CO., LTD. NO. 19, YANZHAN FIRST ALLEY, XIAOLAN TOWN, ZHONGSHAN CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000101601052019071C,
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,อควา-มิสต์ คูล วอเทอร์ พาวเดอร์ AQUA-MIST COOL WATER POWDER,12-2-6800009242,68,นำเข้า,อนุมัติ,19/3/2568,18/3/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"THAICOSMETIC (HANGZHOU)BIOTECH CO.,LTD. NO. 2 BUILDING, QINGBOCUN, HUANGHU INDUSTRIAL AREA, YUHANG DISTRICT, ZHEJIANG PROVINCE, HANGZHOU CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000092421052019071C,
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,อะโวคาโด เนอริชชิ่ง ลิป เกลซ AVOCADO NOURISHING LIP GLAZE,12-2-6800002644,68,นำเข้า,อนุมัติ,22/1/2568,21/1/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"THAICOSMETIC (HANGZHOU)BIOTECH CO.,LTD. NO. 2 BUILDING, QINGBOCUN, HUANGHU INDUSTRIAL AREA, YUHANG DISTRICT, ZHEJIANG PROVINCE, HANGZHOU CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000026441052019073C,
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,เบบี้ บลู สกาย มัลตี้ พาเลทท์ เบอร์ 05 BABY BLUE SKY MULTY PALETTE NO.05,12-2-6800020583,68,นำเข้า,อนุมัติ,13/6/2568,12/6/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"GUANGZHOU CAIYAN BIOLOGICAL TECHNOLOGY CO., LTD. 6/F, BUILDING 1, NO.2 QIYUAN AVENUE, HUASHAN TOWN, HUADU DISTRICT, GUANGZHOU CITY, GUANGDONG PROVINCE, GUANGZHOU CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000205831052019071C,
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,บัลเล่ต์ ดรีม อายไลเนอร์ BALLET DREAM EYELINER,12-2-6800023015,68,นำเข้า,อนุมัติ,1/7/2568,30/6/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"GUANGDONG LUOYA BIOTECHNOLOGY CO., LTD. FLOOR 1, 3 TO 5, BUILDING 2, NO.20, DAXING STREET, 1ST NEIGHBORHOOD COMMITTEE, GUICHENG STREET, DINGHU DISTRICT, ZHAOQING CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000230151052019072C,
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,บัลเล่ต์ ดรีม ลิป มัด BALLET DREAM LIP MUD,12-2-6800020954,68,นำเข้า,อนุมัติ,17/6/2568,16/6/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"GUANGDONG LUOYA BIOTECHNOLOGY CO., LTD. FLOOR 1, 3 TO 5, BUILDING 2, NO.20, DAXING STREET, 1ST NEIGHBORHOOD COMMITTEE, GUICHENG STREET, DINGHU DISTRICT, ZHAOQING CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000209541052019076C,
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,บัลเล่ต์ ดรีม มัลติ พาเลทท์ เบอร์ 01 BALLET DREAM MULTI PALETTE NO.01,12-2-6800021252,68,นำเข้า,อนุมัติ,18/6/2568,17/6/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"GUANGDONG LUOYA BIOTECHNOLOGY CO., LTD. FLOOR 1, 3 TO 5, BUILDING 2, NO.20, DAXING STREET, 1ST NEIGHBORHOOD COMMITTEE, GUICHENG STREET, DINGHU DISTRICT, ZHAOQING CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000212521052019071C,
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,บัลเล่ต์ ดรีม มัลติ พาเลทท์ เบอร์ 02 BALLET DREAM MULTI PALETTE NO.02,12-2-6800021255,68,นำเข้า,อนุมัติ,18/6/2568,17/6/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"GUANGDONG LUOYA BIOTECHNOLOGY CO., LTD. FLOOR 1, 3 TO 5, BUILDING 2, NO.20, DAXING STREET, 1ST NEIGHBORHOOD COMMITTEE, GUICHENG STREET, DINGHU DISTRICT, ZHAOQING CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000212551052019071C,
ซีเวนน่า คัลเลอร์ส SIVANNA COLORS,บัลเล่ต์ ดรีม มัลติ พาเลทท์ เบอร์ 03 BALLET DREAM MULTI PALETTE NO.03,12-2-6800021180,68,นำเข้า,อนุมัติ,18/6/2568,17/6/2571,บริษัท ฮอง ฟา อินเตอร์เนชั่นแนล จำกัด,"GUANGDONG LUOYA BIOTECHNOLOGY CO., LTD. FLOOR 1, 3 TO 5, BUILDING 2, NO.20, DAXING STREET, 1ST NEIGHBORHOOD COMMITTEE, GUICHENG STREET, DINGHU DISTRICT, ZHAOQING CITY, GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000211801052019071C,
