ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
สกินอ๊อกซี่ SKINOXY,ไบรท์ แอนด์ โกลว์ โทนเนอร์ แพด BRIGHT & GLOW TONER PAD,11-1-6800008148,68,ผลิต,อนุมัติ,12/3/2568,11/3/2571,บริษัท คอสโมเนชั่น จำกัด,-,บริษัท คิสออฟบิวตี้ จำกัด,U1CM00011168000081481058048761C,
สกินอ๊อกซี่ SKINOXY,ไบรท์ แอนด์ สมูท เอ็กซ์โฟลิเอติ้ง สครับ มาส์ก BRIGHT & SMOOTH EXFOLIATING SCRUB MASK,11-1-6800008000,68,ผลิต,อนุมัติ,11/3/2568,10/3/2571,บริษัท คอสโมเนชั่น จำกัด,-,บริษัท คิสออฟบิวตี้ จำกัด,U1CM00011168000080001058048761C,
สกินอ๊อกซี่ SKINOXY,ดิวอี้ แอนด์ ไฮเดรติ้ง โทนเนอร์ แพด DEWY & HYDRATING TONER PAD,11-1-6800008150,68,ผลิต,อนุมัติ,12/3/2568,11/3/2571,บริษัท คอสโมเนชั่น จำกัด,-,บริษัท คิสออฟบิวตี้ จำกัด,U1CM00011168000081501058048761C,
สกินอ๊อกซี่ SKINOXY,กลอสซี่ โกลว์ ไฮโดรเจล มาส์ก GLOSSY GLOW HYDROGEL MASK,11-2-6800030712,68,นำเข้า,ยกเลิก (26/8/2568),25/8/2568,26/8/2568,บริษัท คิสออฟบิวตี้ จำกัด,-,,U1CM00011268000307121164001021C,
สกินอ๊อกซี่ SKINOXY,กลอสซี่ โกลว์ ไฮโดรเจล มาส์ก GLOSSY GLOW HYDROGEL MASK,11-2-6800030868,68,นำเข้า,อนุมัติ,26/8/2568,25/8/2571,บริษัท คิสออฟบิวตี้ จำกัด,"ANCORS (SHANGHAI) COSMETICS CO., LTD. 891, QIANQIAO ROAD, FENGXIAN DISTRICT, SHANGHAI CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000308681164001021C,
สกินอ๊อกซี่ SKINOXY,ลิฟติ้ง เฟิร์ม ไฮโดรเจล มาส์ก LIFTING FIRM HYDROGEL MASK,11-2-6800030713,68,นำเข้า,อนุมัติ,25/8/2568,24/8/2571,บริษัท คิสออฟบิวตี้ จำกัด,"ANCORS (SHANGHAI) COSMETICS CO., LTD. 891, QIANQIAO ROAD, FENGXIAN DISTRICT, SHANGHAI CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000307131164001021C,
สกินอ๊อกซี่ SKINOXY,พีเอช 5.5 ไบรท์เทนนิ่ง บอดี้ วอช PH 5.5 BRIGHTENING BODY WASH,11-1-6800026249,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท คอสโมเนชั่น จำกัด,-,บริษัท คิสออฟบิวตี้ จำกัด,U1CM00011168000262491058048761C,
สกินอ๊อกซี่ SKINOXY,พีเอช 5.5 ไฮเดรติ้ง บอดี้ วอช PH 5.5 HYDRATING BODY WASH,11-1-6800026250,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท คอสโมเนชั่น จำกัด,-,บริษัท คิสออฟบิวตี้ จำกัด,U1CM00011168000262501058048761C,
สกินอ๊อกซี่ SKINOXY,โปร ซัน โพรเทคชั่น บอดี้ โลชั่น เอสพีเอฟ50+ พีเอ++++ PRO SUN PROTECTION BODY LOTION SPF50+ PA++++,11-1-6800000039,68,ผลิต,ยกเลิก (7/1/2568),2/1/2568,7/1/2568,บริษัท คอสโมเนชั่น จำกัด,-,บริษัท คิสออฟบิวตี้ จำกัด,U1CM00011168000000391058048761C,
สกินอ๊อกซี่ SKINOXY,โปร ซัน โพรเทคชั่น บอดี้ โลชั่น เอสพีเอฟ50+ พีเอ++++ PRO SUN PROTECTION BODY LOTION SPF50+ PA++++,11-1-6800000428,68,ผลิต,อนุมัติ,7/1/2568,6/1/2571,บริษัท คอสโมเนชั่น จำกัด,-,บริษัท คิสออฟบิวตี้ จำกัด,U1CM00011168000004281058048761C,
