ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
สกินซิสต้า SKINSISTA,แอคเน่ แอนด์ ออยล์ คอนโทรล ซันบล็อก เอสพีเอฟ 50+ พีเอ++++ (สูตรอัพเกรด) ACNE & OIL CONTROL SUNBLOCK SPF 50+ PA++++ (UPGRADE),10-1-6800023423,68,ผลิต,อนุมัติ,25/7/2568,24/7/2571,บริษัท นีโอ เคมีคอล อินดัสตรี้ จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00010168000234231053003481C,
สกินซิสต้า SKINSISTA,แอคเน่ แอนด์ ออยล์ คอนโทรล ซันบล็อก เอสพีเอฟ 50+ พีเอ++++ 3 ACNE & OIL CONTROL SUNBLOCK SPF 50+ PA++++ 3,10-1-6800023426,68,ผลิต,อนุมัติ,25/7/2568,24/7/2571,บริษัท นีโอ เคมีคอล อินดัสตรี้ จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00010168000234261053003481C,
สกินซิสต้า SKINSISTA,บ๊าย บาย แอคเน่ บูสเตอร์ แอนด์ มอยส์เจล BYE BYE ACNE BOOSTER & MOIST GEL,10-1-6800025173,68,ผลิต,อนุมัติ,7/8/2568,6/8/2571,บริษัท นีโอ เคมีคอล อินดัสตรี้ จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00010168000251731053003481C,
สกินซิสต้า SKINSISTA,บ๊าย บาย แอคเน่ เจล BYE BYE ACNE GEL,10-1-6800026547,68,ผลิต,อนุมัติ,20/8/2568,19/8/2571,บริษัท นีโอ เคมีคอล อินดัสตรี้ จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00010168000265471053003481C,
สกินซิสต้า SKINSISTA,บ๊าย บาย แอคเน่ เจล ทู โฟม คลีนเซอร์ BYE BYE ACNE GEL-TO-FOAM CLEANSER,74-1-6800029564,68,ผลิต,อนุมัติ,12/9/2568,11/9/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00074168000295647463000551C,
สกินซิสต้า SKINSISTA,เดียร์ เซนซิทีฟ เจล ทู โฟม คลีนเซอร์ DEAR SENSITIVE GEL-TO-FOAM CLEANSER,74-1-6800029567,68,ผลิต,อนุมัติ,12/9/2568,11/9/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00074168000295677463000551C,
สกินซิสต้า SKINSISTA,เฮลโล โกลว์ สกิน บูสเตอร์ แอนด์ มอยส์เจล HELLO GLOW SKIN BOOSTER & MOIST GEL,10-1-6800025227,68,ผลิต,อนุมัติ,8/8/2568,7/8/2571,บริษัท นีโอ เคมีคอล อินดัสตรี้ จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00010168000252271053003481C,
สกินซิสต้า SKINSISTA,เฮลโล โกลว์ สกิน ดาร์ก สปอต เจล HELLO GLOW SKIN DARK SPOT GEL,10-1-6800025232,68,ผลิต,ยกเลิก (18/8/2568),8/8/2568,18/8/2568,บริษัท นีโอ เคมีคอล อินดัสตรี้ จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00010168000252321053003481C,
สกินซิสต้า SKINSISTA,เฮลโล โกลว์ สกิน ดาร์ก สปอต เจล HELLO GLOW SKIN DARK SPOT GEL,10-1-6800026054,68,ผลิต,อนุมัติ,18/8/2568,17/8/2571,บริษัท นีโอ เคมีคอล อินดัสตรี้ จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00010168000260541053003481C,
สกินซิสต้า SKINSISTA,ลูน่า โกลว์ แอมพูล บลัช LUNAR GLOW AMPOULE BLUSH,24-1-6800006633,68,ผลิต,อนุมัติ,27/2/2568,26/2/2571,บริษัท ศิริ แลบอราทอรีส์ จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00024168000066332463000185C,
สกินซิสต้า SKINSISTA,ลูน่า โกลว์ บลัช LUNAR GLOW BLUSH,24-1-6800006925,68,ผลิต,อนุมัติ,3/3/2568,2/3/2571,บริษัท ศิริ แลบอราทอรีส์ จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00024168000069252463000185C,
สกินซิสต้า SKINSISTA,ซอฟท์ เบลอริ่ง แมทต์ ไออาร์แอล ฟิลเตอร์ คุชชั่น SOFT BLURRING MATTE IRL FILTER CUSHION,20-1-6800030032,68,ผลิต,ยกเลิก (18/9/2568),17/9/2568,18/9/2568,บริษัท ท็อปเท็น บิวตี้ เทรดดิ้ง จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด,U1CM00020168000300322062000343C,
สกินซิสต้า SKINSISTA,ซอฟต์ เบลอริ่ง แมตต์ ไออาร์แอล ฟิลเตอร์ คุชชั่น SOFT BLURRING MATTE IRL FILTER CUSHION,20-1-6800030242,68,ผลิต,อนุมัติ,18/9/2568,17/9/2571,บริษัท ท็อปเท็น บิวตี้ เทรดดิ้ง จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00020168000302422062000343C,
สกินซิสต้า SKINSISTA,สเตลล่าร์ คีส ลิป ออยล์ ทู อิน วัน 01 STELLAR KISS LIP OIL 2 IN 1 01,11-1-6800012890,68,ผลิต,ยกเลิก (13/5/2568),28/4/2568,13/5/2568,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00011168000128901165000691C,
สกินซิสต้า SKINSISTA,สเตลล่าร์ คิส ลิป ออยล์ ทู อิน วัน 01 STELLAR KISS LIP OIL 2 IN 1 01,11-1-6800014492,68,ผลิต,อนุมัติ,13/5/2568,12/5/2571,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00011168000144921165000691C,
สกินซิสต้า SKINSISTA,สเตลล่าร์ คีส ลิป ออยล์ ทู อิน วัน 02 STELLAR KISS LIP OIL 2 IN 1 02,11-1-6800012891,68,ผลิต,ยกเลิก (13/5/2568),28/4/2568,13/5/2568,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00011168000128911165000691C,
สกินซิสต้า SKINSISTA,สเตลล่าร์ คิส ลิป ออยล์ ทู อิน วัน 02 STELLAR KISS LIP OIL 2 IN 1 02,11-1-6800014495,68,ผลิต,อนุมัติ,13/5/2568,12/5/2571,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00011168000144951165000691C,
สกินซิสต้า SKINSISTA,สเตลล่าร์ คีส ลิป ออยล์ ทู อิน วัน 03 STELLAR KISS LIP OIL 2 IN 1 03,11-1-6800012990,68,ผลิต,ยกเลิก (13/5/2568),28/4/2568,13/5/2568,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00011168000129901165000691C,
สกินซิสต้า SKINSISTA,สเตลล่าร์ คิส ลิป ออยล์ ทู อิน วัน 03 STELLAR KISS LIP OIL 2 IN 1 03,11-1-6800014498,68,ผลิต,อนุมัติ,13/5/2568,12/5/2571,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),U1CM00011168000144981165000691C,
