ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
สมูทโตะ SMOOTO,4ดี ไวท์ แอนด์ สมูท แคร์ อันเดอร์อาร์ม ครีม 4D WHITE & SMOOTH CARE UNDERARM CREAM,10-1-6800019994,68,ผลิต,อนุมัติ,26/6/2568,25/6/2571,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,-,,U1CM00010168000199941062070961C,
สมูทโตะ SMOOTO,ไบร์ท โกลว์ ไฮโดรเจลลี่ มาส์ก แอนด์ โทนเนอร์ เเพด BRIGHT GLOW HYDROJELLY MASK & TONER PAD,10-1-6800029262,68,ผลิต,อนุมัติ,11/9/2568,10/9/2571,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,-,,U1CM00010168000292621062070961C,
สมูทโตะ SMOOTO,เคลียร์ โกลว์ ไฮโดรเจลลี่ มาส์ก แอนด์ โทนเนอร์ เเพด CLEAR GLOW HYDROJELLY MASK & TONER PAD,10-1-6800029347,68,ผลิต,อนุมัติ,11/9/2568,10/9/2571,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,-,,U1CM00010168000293471062070961C,
สมูทโตะ SMOOTO,ดีพ เพียวริฟายอิ้ง โนส สตริป DEEP PURIFYING NOSE STRIP,10-2-6800021307,68,นำเข้า,ยกเลิก (24/6/2568),18/6/2568,24/6/2568,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,-,,U1CM00010268000213071062061421C,
สมูทโตะ SMOOTO,ดีพ เพียวริฟายอิ้ง โนส สตริป DEEP PURIFYING NOSE STRIP,10-2-6800022099,68,นำเข้า,อนุมัติ,25/6/2568,24/6/2571,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,"GUANGZHOU SHIFEI BIO- TECH CO.,LTD NO. 168, XIUSHENG ROAD, HETING VILLAGE, RENHE TOWN, BAIYUN DISTRICT GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000220991062061421C,
สมูทโตะ SMOOTO,ดีพ เพียวริฟายอิ้ง โนส สตริป DEEP PURIFYING NOSE STRIP,10-4-6800000306,68,ผลิตแบบแบ่งบรรจุ,ยกเลิก (26/6/2568),20/6/2568,26/6/2568,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,-,,U1CM00010468000003061062070961C,
สมูทโตะ SMOOTO,ดีพ เพียวริฟายอิ้ง โนส สตริป DEEP PURIFYING NOSE STRIP,10-4-6800000315,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,26/6/2568,25/6/2571,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,-,,U1CM00010468000003151062070961C,
สมูทโตะ SMOOTO,ดราก้อน บลัด แอคเน่ ไบร์ท บูสเตอร์ เจล DRAGON'S BLOOD ACNE BRIGHT BOOSTER GEL,10-1-6800017949,68,ผลิต,อนุมัติ,11/6/2568,10/6/2571,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,-,,U1CM00010168000179491062070961C,
สมูทโตะ SMOOTO,เอ็กซ์ตร้า ไบร์ท แอนด์ สมูท แคร์ อันเดอร์อาร์ม ครีม EXTRA BRIGHT & SMOOTH CARE UNDERARM CREAM,10-1-6800021146,68,ผลิต,อนุมัติ,8/7/2568,7/7/2571,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,-,,U1CM00010168000211461062070961C,
สมูทโตะ SMOOTO,มอยส์ โกลว์ ไฮโดรเจลลี่ มาส์ก แอนด์ โทนเนอร์ เเพด MOIST GLOW HYDROJELLY MASK & TONER PAD,10-1-6800029486,68,ผลิต,อนุมัติ,12/9/2568,11/9/2571,บริษัท โกลบอล เมดดิคัล (ประเทศไทย) จำกัด,-,,U1CM00010168000294861062070961C,
