ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
สโนว์เกิร์ล SNOWGIRL,เบบี้ คิ้วท์ ออล เดย์ เพอร์ฟูม ดีโอ สเปรย์ BABY CUTE ALL DAY PERFUME DEO SPRAY,14-1-6800030723,68,ผลิต,อนุมัติ,22/9/2568,21/9/2571,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000307231056009271C,
สโนว์เกิร์ล SNOWGIRL,เบบี้ คิ้วท์ เพอร์ฟูม ครีม BABY CUTE PERFUME CREAM,14-1-6800020144,68,ผลิต,อนุมัติ,27/6/2568,26/6/2571,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000201441056009271C,
สโนว์เกิร์ล SNOWGIRL,เบบี้ คิส ออล เดย์ เพอร์ฟูม ดีโอ สเปรย์ BABY KISS ALL DAY PERFUME DEO SPRAY,14-1-6800030075,68,ผลิต,อนุมัติ,17/9/2568,16/9/2571,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000300751056009271C,
สโนว์เกิร์ล SNOWGIRL,เบบี้ คิส เพอร์ฟูม ครีม BABY KISS PERFUME CREAM,14-1-6800020186,68,ผลิต,อนุมัติ,27/6/2568,26/6/2571,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000201861056009271C,
สโนว์เกิร์ล SNOWGIRL,เบบี้ เลิฟ ออล เดย์ เพอร์ฟูม ดีโอ สเปรย์ BABY LOVE ALL DAY PERFUME DEO SPRAY,14-1-6800029720,68,ผลิต,ยกเลิก (19/9/2568),15/9/2568,19/9/2568,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000297201056009271C,
สโนว์เกิร์ล SNOWGIRL,เบบี้ เลิฟ ออล เดย์ เพอร์ฟูม ดีโอ สเปรย์ BABY LOVE ALL DAY PERFUME DEO SPRAY,14-1-6800030340,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000303401056009271C,
สโนว์เกิร์ล SNOWGIRL,โกลว์ อัพ เฟส & บอดี้ ยูวี ฟิลเตอร์ GLOW UP FACE & BODY UV FILTER,14-1-6800009719,68,ผลิต,อนุมัติ,25/3/2568,24/3/2571,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000097191056009271C,
สโนว์เกิร์ล SNOWGIRL,กัมมี่ ลิป กลอส (พีช) GUMMY LIP GLOSS (PEACH),14-1-6800031950,68,ผลิต,อนุมัติ,1/10/2568,30/9/2571,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000319501056009271C,
สโนว์เกิร์ล SNOWGIRL,กัมมี่ ลิป กลอส (วอเตอร์เมล่อน) GUMMY LIP GLOSS (WATERMELON),14-1-6800033618,68,ผลิต,อนุมัติ,16/10/2568,15/10/2571,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000336181056009271C,
สโนว์เกิร์ล SNOWGIRL,สวีท พิ้งค์ เพอร์ฟูม ครีม SWEET PINK PERFUME CREAM,14-1-6800026031,68,ผลิต,ยกเลิก (18/8/2568),18/8/2568,18/8/2568,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000260311056009271C,
สโนว์เกิร์ล SNOWGIRL,สวีท พิ้งค์ เพอร์ฟูม ครีม SWEET PINK PERFUME CREAM,14-1-6800026317,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท สยาม เนเชอรัล โปรดักซ์ จำกัด,-,,U1CM00014168000263171056009271C,
