ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ซัม บาย มิ SOME BY MI,เอเอชเอ.บีเอชเอ.พีเอชเอ 30 เดย์ส มิราเคิล เอซี เอสโอเอส คิท - อีดิชั่น AHA.BHA.PHA 30 DAYS MIRACLE AC SOS KIT - EDITION,10-2-6800015096,68,นำเข้า,อนุมัติ,6/5/2568,5/5/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"REBOM COSMETICS CO., LTD 6 MYEONGHAKSANDANSEO-RO, YEONDONG-MYEON SEJONG SPECIAL SELF-GOVERNING CITY , KOREA, SOUTH",,U1CM00010268000150961064132431C,
ซัม บาย มี SOME BY MI,เอเอชเอ.บีเอชเอ.พีเอชเอ เทอร์ตี้เดย์ส มิราเคิล ครีม. AHA.BHA.PHA 30 DAYS MIRACLE CREAM.,11-1-6800005208,68,ผลิต,อนุมัติ,18/2/2568,17/2/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,,U1CM00011168000052081161000011C,
ซัม บาย มิ SOME BY MI,เอเอชเอ.บีเอชเอ.พีเอชเอ 30 เดย์ส มิราเคิล เซรั่ม ไลท์ AHA.BHA.PHA 30 DAYS MIRACLE SERUM LIGHT,10-2-6800034751,68,นำเข้า,อนุมัติ,24/9/2568,23/9/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"REBOM COSMETICS CO., LTD 6 MYEONGHAKSANDANSEO-RO, YEONDONG-MYEON SEJONG SPECIAL SELF-GOVERNING CITY , KOREA, SOUTH",,U1CM00010268000347511064132431C,
ซัม บาย มี SOME BY MI,เอเอชเอ.บีเอชเอ.พีเอชเอ เทอร์ตี้เดย์ส มิราเคิล โทนเนอร์. AHA.BHA.PHA 30 DAYS MIRACLE TONER.,11-1-6800005209,68,ผลิต,อนุมัติ,18/2/2568,17/2/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,,U1CM00011168000052091161000011C,
ซัม บาย มิ SOME BY MI,เอเอชเอ.บีเอชเอ.พีเอชเอ 30 เดย์ส มิราเคิล ทรูซิก้า เคลียร์ แพด AHA.BHA.PHA 30 DAYS MIRACLE TRUECICA CLEAR PAD,10-2-6800014323,68,นำเข้า,อนุมัติ,29/4/2568,28/4/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"REBOM COSMETICS CO., LTD 6 MYEONGHAKSANDANSEO-RO, YEONDONG-MYEON SEJONG SPECIAL SELF-GOVERNING CITY , KOREA, SOUTH",,U1CM00010268000143231064132431C,
ซัมบายมี SOME BY MI,เอเอชเอ-บีเอชเอ-พีเอชเอ 30 เดย์ มิราเคิล แอคเน่ เคลียร์ บอดี้ คลีนเซอร์ AHA-BHA-PHA 30 DAYS MIRACLE ACNE CLEAR BODY CLEANSER,10-2-6800029542,68,นำเข้า,อนุมัติ,18/8/2568,17/8/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"WOOSIN COSMETICS CO.,LTD 33,SUDO-RO 125 BEON-GIL,GYEONGGI-DO BUCHEON-SI , KOREA, SOUTH",,U1CM00010268000295421067096451C,
ซัมบายมี SOME BY MI,เอเอชเอ-บีเอชเอ-พีเอชเอ 30 เดย์ มิราเคิล แอคเน่ เคลียร์ โฟม AHA-BHA-PHA 30 DAYS MIRACLE ACNE CLEAR FOAM,10-2-6800012602,68,นำเข้า,อนุมัติ,17/4/2568,16/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"NOWCOS CO., LTD. 37, AYAMOK-GIL, SOJEONG-MYEON, SEJONG-SI, , KOREA, SOUTH",,U1CM00010268000126021067096451C,
ซัมบายมี SOME BY MI,เอเอชเอ-บีเอชเอ-พีเอชเอ 30 เดย์ มิราเคิล ครีม AHA-BHA-PHA 30 DAYS MIRACLE CREAM,10-2-6800012604,68,นำเข้า,อนุมัติ,17/4/2568,16/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"REBOM COSMETICS CO., LTD. 6, MYEONGHAKSANDANSEO-RO, YEONDONG-MYEON, SEJONG SPECIAL SELF-GOVERNING CITY, 30068, KOREA, SOUTH",,U1CM00010268000126041067096451C,
ซัมบายมี SOME BY MI,เอเอชเอ-บีเอชเอ-พีเอชเอ 30 เดย์ มิราเคิล เซรั่ม AHA-BHA-PHA 30 DAYS MIRACLE SERUM,10-2-6800012601,68,นำเข้า,อนุมัติ,17/4/2568,16/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"COSMECCA KOREA CO., LTD. 17-12, DAEGEUM-RO 196BEON-GIL, DAESO-MYEON, EUMSEONG-GUN, CHUNGCHEONGBUK-DO, , KOREA, SOUTH",,U1CM00010268000126011067096451C,
ซัมบายมี SOME BY MI,เอเอชเอ-บีเอชเอ-พีเอชเอ 30 เดย์ มิราเคิล เซรั่ม ไลท์ AHA-BHA-PHA 30 DAYS MIRACLE SERUM LIGHT,10-2-6800012780,68,นำเข้า,อนุมัติ,17/4/2568,16/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"REBOM COSMETICS CO., LTD. 6, MYEONGHAKSANDANSEO-RO, YEONDONG-MYEON, SEJONG SPECIAL SELF-GOVERNING CITY, 30068, KOREA, SOUTH",,U1CM00010268000127801067096451C,
ซัมบายมี SOME BY MI,เอเอชเอ-บีเอชเอ-พีเอชเอ 30 เดย์ มิราเคิล โทนเนอร์ AHA-BHA-PHA 30 DAYS MIRACLE TONER,10-2-6800013258,68,นำเข้า,อนุมัติ,22/4/2568,21/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"REBOM COSMETICS CO., LTD. 6, MYEONGHAKSANDANSEO-RO, YEONDONG-MYEON, SEJONG SPECIAL SELF-GOVERNING CITY, 30068, KOREA, SOUTH",,U1CM00010268000132581067096451C,
ซัมบายมี SOME BY MI,เอเอชเอ-บีเอชเอ-พีเอชเอ 30 เดย์ มิราเคิล ทรูซิก้า เคลียร์ แพด AHA-BHA-PHA 30 DAYS MIRACLE TRUECICA CLEAR PAD,10-2-6800012781,68,นำเข้า,อนุมัติ,17/4/2568,16/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"REBOM COSMETICS CO., LTD. 6, MYEONGHAKSANDANSEO-RO, YEONDONG-MYEON, SEJONG SPECIAL SELF-GOVERNING CITY, 30068, KOREA, SOUTH",,U1CM00010268000127811067096451C,
ซัมบายมี SOME BY MI,เบต้า แพนทีนอล รีแพร์ ครีม BETA PANTHENOL REPAIR CREAM,10-2-6800012505,68,นำเข้า,อนุมัติ,13/4/2568,12/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"INTERCOS KOREA INC. 40-38, GAJANGSANEOPSEOBUK-RO, OSAN-SI, GYEONGGI-DO, , KOREA, SOUTH",,U1CM00010268000125051067096451C,
ซัมบายมี SOME BY MI,เบต้า แพนทีนอล รีแพร์ เดลี่ มาส์ก BETA PANTHENOL REPAIR DAILY MASK,10-2-6800012549,68,นำเข้า,อนุมัติ,16/4/2568,15/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"IMINE CO., LTD. 40-37, GAJANGSANEOPSEOBUK-RO, OSAN-SI, GYEONGGI-DO, , KOREA, SOUTH",,U1CM00010268000125491067096451C,
ซัม บาย มิ SOME BY MI,เบต้า แพนทีนอล รีแพร์ เจล คลีนเซอร์ BETA PANTHENOL REPAIR GEL CLEANSER,10-2-6800034549,68,นำเข้า,อนุมัติ,23/9/2568,22/9/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"INTERCOS KOREA INC. 40-38, GAJANGSANEOPSEOBUK-RO, OSAN-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000345491064132431C,
ซัม บาย มิ SOME BY MI,เบต้า แพนทีนอล รีแพร์ เซรั่ม BETA PANTHENOL REPAIR SERUM,10-2-6800034720,68,นำเข้า,อนุมัติ,24/9/2568,23/9/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"INTERCOS KOREA INC. 40-38, GAJANGSANEOPSEOBUK-RO, OSAN-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000347201064132431C,
ซัมบายมี SOME BY MI,เบต้า แพนทีนอล รีแพร์ เซรั่ม BETA PANTHENOL REPAIR SERUM,10-2-6800012506,68,นำเข้า,อนุมัติ,13/4/2568,12/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"INTERCOS KOREA INC. 40-38, GAJANGSANEOPSEOBUK-RO, OSAN-SI, GYEONGGI-DO, , KOREA, SOUTH",,U1CM00010268000125061067096451C,
ซัม บาย มิ SOME BY MI,เบต้า แพนทีนอล รีแพร์ สตาร์เตอร์ คิท - อิดิชั่น BETA PANTHENOL REPAIR STARTER KIT - EDITION,10-2-6800035152,68,นำเข้า,อนุมัติ,26/9/2568,25/9/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"INTERCOS KOREA INC. 40-38, GAJANGSANEOPSEOBUK-RO, OSAN-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000351521064132431C,
ซัม บาย มิ SOME BY MI,เบต้า แพนทีนอล รีแพร์ โทนเนอร์ BETA PANTHENOL REPAIR TONER,10-2-6800034550,68,นำเข้า,อนุมัติ,23/9/2568,22/9/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"INTERCOS KOREA INC. 40-38, GAJANGSANEOPSEOBUK-RO, OSAN-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00010268000345501064132431C,
ซัมบายมี SOME BY MI,บาย บาย เเบล็คเฮด 30 เดย์ มิราเคิล กรีนที ท็อกซ์ บับเบิล คลีนเซอร์ BYE BYE BLACKHEAD 30 DAYS MIRACLE GREEN TEA TOX BUBBLE CLEANSER,10-2-6800012556,68,นำเข้า,อนุมัติ,16/4/2568,15/4/2571,บริษัท คอนเน็ต อินเตอร์เนชั่นแนล จำกัด,"REBOM COSMETICS CO., LTD. 6, MYEONGHAKSANDANSEO-RO, YEONDONG-MYEON, SEJONG SPECIAL SELF-GOVERNING CITY, 30068, KOREA, SOUTH",,U1CM00010268000125561067096451C,
ซัม บาย มิ SOME BY MI,ซิก้า เปปไทด์ แอนตี้ แฮร์ ลอส เดอร์มา สแคลพ แชมพู CICA PEPTIDE ANTI HAIR LOSS DERMA SCALP SHAMPOO,10-2-6800032816,68,นำเข้า,อนุมัติ,10/9/2568,9/9/2571,บริษัท กู้ด พีเพิล เทรดดิ้ง จำกัด,"SEOUL COSMETICS CO., LTD. 12, 15 NAMDONGDONG-RO 63BEON-GIL, NAMDONG-GU INCHEON , KOREA, SOUTH",,U1CM00010268000328161064132431C,
