ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
สวีท ฮาร์ท SWEET HEART,แอคเน่ เคลียร์ สมูท พาวเดอร์ เอสพีเอฟ30 พีเอ+++ ACNE CLEAR SMOOTH POWDER SPF30 PA+++,74-1-6800005259,68,ผลิต,ยกเลิก (12/9/2568),18/2/2568,12/9/2568,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,บริษัท เอ็ม ซี ไอ อินเตอร์เนชั่นแนล จำกัด,U1CM00074168000052591061054433C,
สวีท ฮาร์ท SWEET HEART,แอคเน่ เคลียร์ สมูท พาวเดอร์ เอสพีเอฟ30 พีเอ+++ ACNE CLEAR SMOOTH POWDER SPF30 PA+++,74-1-6800029985,68,ผลิต,อนุมัติ,17/9/2568,16/9/2571,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,บริษัท เอ็ม ซี ไอ อินเตอร์เนชั่นแนล จำกัด,U1CM00074168000299851061054433C,
สวีท ฮาร์ท SWEET HEART,บาลานซ์ คอมเพลคชั่น พาวเดอร์ BALANCED COMPLEXION POWDER,74-1-6800028513,68,ผลิต,อนุมัติ,5/9/2568,4/9/2571,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,,U1CM000741680002851310610544316C,
สวีท ฮาร์ท SWEET HEART,กลอส อัพ ลิป GLOSS UP LIP,73-1-6800032769,68,ผลิต,อนุมัติ,9/10/2568,8/10/2571,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,,U1CM000731680003276973660005248C,
สวีท ฮาร์ท SWEET HEART,ลิควิด ฟาวเดชั่น ครีม LIQUID FOUNDATION CREAM,73-1-6800028515,68,ผลิต,ยกเลิก (11/9/2568),5/9/2568,11/9/2568,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,,U1CM000731680002851573660005214C,
สวีท ฮาร์ท SWEET HEART,ลิควิด ฟาวเดชั่น ครีม LIQUID FOUNDATION CREAM,73-1-6800029341,68,ผลิต,อนุมัติ,11/9/2568,10/9/2571,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,,U1CM000731680002934173660005214C,
สวีท ฮาร์ท SWEET HEART,ลูส พาวเดอร์ LOOSE POWDER,74-1-6800026788,68,ผลิต,ยกเลิก (26/8/2568),22/8/2568,26/8/2568,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,,U1CM000741680002678810610544315C,
สวีท ฮาร์ท SWEET HEART,ลูส พาวเดอร์ LOOSE POWDER,74-1-6800027421,68,ผลิต,อนุมัติ,27/8/2568,26/8/2571,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,,U1CM000741680002742110610544315C,
สวีท ฮาร์ท SWEET HEART,เลิฟ มาย แลช มาสคาร่า 2 อิน 1 LOVE MY LASH MASCARA 2 IN 1,73-1-6800026647,68,ผลิต,อนุมัติ,21/8/2568,20/8/2571,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,,U1CM00073168000266477366000521C,
สวีท ฮาร์ท SWEET HEART,เลิฟ มาย แลช มาสคาร่า เอ็กซ์เทนเดอร์ LOVE MY LASH MASCARA EXTENDER,73-1-6800026648,68,ผลิต,อนุมัติ,21/8/2568,20/8/2571,บริษัท คริสโก้ (ประเทศไทย) จำกัด,-,,U1CM00073168000266487366000521C,
