ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ฑาบายน้องฉัตร THA BY NONGCHAT,แอคเน่ซันสกรีน เอสพีเอฟ50+ พีเอ++++ ACNE SUNSCREEN SPF50+ PA++++,10-2-6800019516,68,นำเข้า,อนุมัติ,6/6/2568,5/6/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"SEOUL COSMETICS CO.,LTD (143B-9L) NAMDONG IND , 718-8 GOJAN-DONG , NAMDONG-KU , INCHEON , KOREA, SOUTH",,U1CM00010268000195161052015521C,
ฑาบายน้องฉัตร THA BY NONGCHAT,แอคเน่ซันสกรีน เอสพีเอฟ50+ พีเอ++++ ACNE SUNSCREEN SPF50+ PA++++,21-1-6800018023,68,ผลิต,อนุมัติ,11/6/2568,10/6/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000180231052013401C,
ฑาบายน้องฉัตร THA BY NONGCHAT,แอคเน่ซันสกรีน เอสพีเอฟ50+ พีเอ++++ ACNE SUNSCREEN SPF50+ PA++++,21-4-6800000300,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,11/6/2568,10/6/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021468000003001052013401C,
ฑา บาย น้องฉัตร THA BY NONGCHAT,บลิง บลิง ชิมเมอร์ ดับเบิ้ล ลิป วอลลุ่ม BLING BLING SHIMMER DOUBLE LIP VOLUME,21-1-6800024466,68,ผลิต,อนุมัติ,4/8/2568,3/8/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000244661052013403C,
ฑา บาย น้องฉัตร THA BY NONGCHAT,แคนดี้มูสแมทท์ลิป CANDY MOUSSE MATTE LIP,21-1-6800015404,68,ผลิต,อนุมัติ,20/5/2568,19/5/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000154041052013407C,
ฑาบายน้องฉัตร THA BY NONGCHAT,กลาสซี่ลิปทินท์ GLASSY LIP TINT,10-2-6800033477,68,นำเข้า,อนุมัติ,15/9/2568,14/9/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"GUANGDONG KAMELLIA INTERNATIONAL COMPANY LIMITED. STOREY 5-6, BLOCK 3, NO.1, HUANGPU ROAD, GUANGQING INDUSTRIAL ESTATE, GUANGQING SPECIAL ECONOMIC COOPERATION ZONE, SHIJIAO TOWN, QINGCHENG DISTRICT, QINGYUAN CITY, GUANGDONG PROVINCE, -, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000334771052015526C,
ฑา บาย น้องฉัตร THA BY NONGCHAT,ไอดอนท์แคร์ลิปแอนด์ชีคพอต I DON'T CARE LIP & CHEEK POT,10-2-6800007323,68,นำเข้า,อนุมัติ,5/3/2568,4/3/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"KARMARTS INTERNATIONAL COMPANY LIMITED 8 , BANG SHENG ROAD, JINGHU , HUADU DISTRICT , GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000073231052015526C,
ฑา บาย น้องฉัตร THA BY NONGCHAT,ไอดอนท์แคร์โมจิคัลเลอร์ #01 แฟรี่เทล I DON'T CARE MOCHI COLOR #01 FAIRY TALE,10-2-6800012284,68,นำเข้า,อนุมัติ,10/4/2568,9/4/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"KARMARTS INTERNATIONAL COMPANY LIMITED 8 , BANG SHENG ROAD, JINGHU , HUADU DISTRICT , GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000122841052015521C,
ฑา บาย น้องฉัตร THA BY NONGCHAT,ไอดอนท์แคร์โมจิพอต I DON'T CARE MOCHI POT,10-2-6800007733,68,นำเข้า,อนุมัติ,7/3/2568,6/3/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),"KARMARTS INTERNATIONAL COMPANY LIMITED 8 , BANG SHENG ROAD, JINGHU , HUADU DISTRICT , GUANGZHOU , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000077331052015526C,
ฑาบายน้องฉัตร THA BY NONGCHAT,โลลิป๊อปบาล์ม #01 ราสเบอร์รี่ LOLLIPOP BALM #01 RASPBERRY,21-1-6800024605,68,ผลิต,อนุมัติ,5/8/2568,4/8/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000246051052013401C,
ฑาบายน้องฉัตร THA BY NONGCHAT,โลลิป๊อปบาล์ม #02 พีช LOLLIPOP BALM #02 PEACH,21-1-6800024604,68,ผลิต,อนุมัติ,5/8/2568,4/8/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000246041052013401C,
ฑา บาย น้องฉัตร THA BY NONGCHAT,นู้ดดี้ ดับเบิ้ล ลิป วอลลุ่ม NUDY DOUBLE LIP VOLUME,21-1-6800024467,68,ผลิต,อนุมัติ,4/8/2568,3/8/2571,บริษัท คาร์มาร์ท จำกัด (มหาชน),-,,U1CM00021168000244671052013404C,
