ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ดิ อินกรีเดียนส์ THE INGREDIENTS,แอนตี้-เอจจิ้ง บลู คอลลาเจน เซรั่ม ANTI-AGING BLUE COLLAGEN SERUM,11-1-6800016713,68,ผลิต,อนุมัติ,29/5/2568,28/5/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ดีพลัส อินเตอร์เทรด จำกัด,U1CM00011168000167131059030411C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,อควา คาล์ม แอนด์ คูลลิ่ง เซรั่ม แพด AQUA CALM & COOLING SERUM PAD,10-2-6800035758,68,นำเข้า,อนุมัติ,1/10/2568,30/9/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"DERMAL KOREA CO.,LTD. 105, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN, CHUNGCHEONGBUK-DO , KOREA, SOUTH",,U1CM00010268000357581052016341C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,ซิก้า เบลมมิช มอยส์เจอร์ เซรั่ม แพด CICA BLEMISH MOISTURE SERUM PAD,10-2-6800036880,68,นำเข้า,อนุมัติ,13/10/2568,12/10/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"DERMAL KOREA CO.,LTD. 105, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN, CHUNGCHEONGBUK-DO , KOREA, SOUTH",,U1CM00010268000368801052016341C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,คอลลาเจน เปปไทด์ เซรั่ม แพด COLLAGEN PEPTIDE SERUM PAD,10-2-6800034992,68,นำเข้า,อนุมัติ,26/9/2568,25/9/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"DERMAL KOREA CO.,LTD. 105, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN, CHUNGCHEONGBUK-DO , KOREA, SOUTH",,U1CM00010268000349921052016341C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,คูล แอนด์ คลาวด์ มอยเจอร์ไรเซอร์ COOL & CLOUD MOISTURIZER,12-1-6800023155,68,ผลิต,อนุมัติ,23/7/2568,22/7/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ดีพลัส อินเตอร์เทรด จำกัด,U1CM00012168000231551266001121C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,กลาส สกิน ไฮโดร โกลว์ มาสก์ GLASS SKIN HYDRO GLOW MASK,11-1-6800005219,68,ผลิต,อนุมัติ,18/2/2568,17/2/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ดีพลัส อินเตอร์เทรด จำกัด,U1CM00011168000052191163000281C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,กลาส สกิน วิตามิน คอมเพล็กซ์ เซรั่ม แพด GLASS SKIN VITAMIN COMPLEX SERUM PAD,10-2-6800036528,68,นำเข้า,อนุมัติ,9/10/2568,8/10/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"DERMAL KOREA CO.,LTD. 105, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN, CHUNGCHEONGBUK-DO , KOREA, SOUTH",,U1CM00010268000365281052016341C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,กลาส สกิน ไวท์ แอนด์ เฟิร์ม โกลว์ มาสก์ GLASS SKIN WHITE & FIRM GLOW MASK,11-1-6800026088,68,ผลิต,อนุมัติ,18/8/2568,17/8/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัท ดีพลัส อินเตอร์เทรด จำกัด,U1CM00011168000260881163000281C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,เรตินอล เฟิร์มมิ่ง & ลิฟติ้ง เซรั่ม แพด RETINOL FIRMING & LIFTING SERUM PAD,10-2-6800036426,68,นำเข้า,อนุมัติ,8/10/2568,7/10/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"DERMAL KOREA CO.,LTD. 105, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN, CHUNGCHEONGBUK-DO , KOREA, SOUTH",,U1CM00010268000364261052016341C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,วิตามินซี ไวท์ แอนด์ เฟิร์ม เซรั่ม VITAMIN C WHITE AND FIRM SERUM,12-1-6800018860,68,ผลิต,ยกเลิก (15/7/2568),18/6/2568,15/7/2568,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ดีพลัส อินเตอร์เทรด จำกัด,U1CM00012168000188601266001121C,
ดิ อินกรีเดียนส์ THE INGREDIENTS,วิตามินซี ไวท์ แอนด์ เฟิร์ม เซรั่ม VITAMIN C WHITE AND FIRM SERUM,12-1-6800023274,68,ผลิต,อนุมัติ,24/7/2568,23/7/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท ดีพลัส อินเตอร์เทรด จำกัด,U1CM00012168000232741266001121C,
