ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ยูสตาร์ U STAR,ทู อิน วัน สลิม คอนทัวร์ แอนด์ ลิป ไลเนอร์ 2 IN 1 SLIM CONTOUR & LIP LINER,11-1-6800016260,68,ผลิต,อนุมัติ,26/5/2568,25/5/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000162601059030412C,
ยูสตาร์ U STAR,ออร่า ไบร์ท เพอร์ฟูม โลชั่น # ชาร์มมิ่ง มี AURA BRIGHT PERFUME LOTION # CHARMING ME,11-1-6800028336,68,ผลิต,อนุมัติ,3/9/2568,2/9/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000283361059030411C,
ยูสตาร์ U STAR,ออร่า ไบร์ท เพอร์ฟูม โลชั่น # เพลย์ฟูล คิส AURA BRIGHT PERFUME LOTION # PLAYFUL KISS,11-1-6800028337,68,ผลิต,อนุมัติ,3/9/2568,2/9/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000283371059030411C,
ยูสตาร์ U STAR,ออร่า ไบร์ท เพอร์ฟูม โลชั่น # สวีท โมเม้นท์ AURA BRIGHT PERFUME LOTION # SWEET MOMENT,11-1-6800028335,68,ผลิต,อนุมัติ,3/9/2568,2/9/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000283351059030411C,
ยูสตาร์ U STAR,บอลลูน ทินท์ BALLOON TINT,11-1-6800030813,68,ผลิต,อนุมัติ,23/9/2568,22/9/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000308131059030412C,
ยูสตาร์ U STAR,เบสตี้ ฟิกซิ่ง สเปรย์ BESTIES FIXING SPRAY,11-1-6800030840,68,ผลิต,อนุมัติ,23/9/2568,22/9/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000308401059030411C,
ยูสตาร์ U STAR,เบลนดิ้ง พาเลท BLENDING PALETTE,11-1-6800020206,68,ผลิต,อนุมัติ,27/6/2568,26/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000202061059030411C,
ยูสตาร์ U STAR,บลัชไลท์เตอร์ # ฮอพส์ BLUSHLIGHTER # HOPPS,11-1-6800030815,68,ผลิต,อนุมัติ,23/9/2568,22/9/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000308151059030411C,
ยูสตาร์ U STAR,บราว ดีไฟเนอร์ เพ็นซิล BROW DEFINER PENCIL,11-1-6800026092,68,ผลิต,อนุมัติ,18/8/2568,17/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000260921059030412C,
ยูสตาร์ U STAR,ดิวอี้ แกรม ทิ้นท์ DEWY GLAM TINT,11-1-6800004280,68,ผลิต,อนุมัติ,7/2/2568,6/2/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยู สตาร์ (ประเทศไทย) จำกัด,U1CM00011168000042801059030415C,
