ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
วาสลีน VASELINE,เอมิลี อิน ปารีส เบอร์รี บีซู ทินต์ ลิปออยล์ EMILY IN PARIS BERRY BISOUS TINTED LIP OIL,11-1-6800014078,68,ผลิต,อนุมัติ,8/5/2568,7/5/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000140781059030411C,
วาสลีน VASELINE,เอมิลี อิน ปารีส นู้ดครีม ทินต์ ลิปออยล์ EMILY IN PARIS NUDE CREME TINTED LIP OIL,11-1-6800014077,68,ผลิต,อนุมัติ,8/5/2568,7/5/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000140771059030411C,
วาสลีน VASELINE,เอมิลี อิน ปารีส โรส อามูร์ ทินต์ ลิปออยล์ EMILY IN PARIS ROSE AMOUR TINTED LIP OIL,11-1-6800014076,68,ผลิต,อนุมัติ,8/5/2568,7/5/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000140761059030411C,
VASELINE,EXPERT CARE DRY SKIN RESCUE ADVANCED STRENGTH BODY LOTION,10-3-6800000400,68,,อนุมัติ,13/4/2568,12/4/2571,บริษัท ยูนิลีเวอร์ ไทย โฮลดิ้งส์ จำกัด,-,,U1CM00010368000004001054008281C,
วาสลีน VASELINE,กลูต้า ไฮยา ลิป เซรั่ม กลอส เชอร์รี่ ครัช GLUTA HYA LIP SERUM GLOSS CHERRY CRUSH,11-1-6800017050,68,ผลิต,อนุมัติ,3/6/2568,2/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000170501059030411C,
วาสลีน VASELINE,กลูต้า ไฮยา ลิป เซรั่ม กลอส จูซี่ พีช GLUTA HYA LIP SERUM GLOSS JUICY PEACH,11-1-6800017049,68,ผลิต,อนุมัติ,3/6/2568,2/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000170491059030411C,
วาสลีน VASELINE,กลูต้า ไฮยา ลิป เซรั่ม กลอส โรซี่ พิงค์ GLUTA HYA LIP SERUM GLOSS ROSY PINK,11-1-6800017048,68,ผลิต,อนุมัติ,3/6/2568,2/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000170481059030411C,
วาสลีน VASELINE,กลูต้า ไฮยา ลิป เซรั่ม กลอส รอยัล พลัม GLUTA HYA LIP SERUM GLOSS ROYAL PLUM,11-1-6800017047,68,ผลิต,อนุมัติ,3/6/2568,2/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000170471059030411C,
วาสลีน VASELINE,กลูต้า ไฮยา เซรั่ม กลอส ลิปแคร์ เชอร์รี่ ครัช GLUTA HYA SERUM GLOSS LIP CARE CHERRY CRUSH,11-1-6800011291,68,ผลิต,อนุมัติ,9/4/2568,8/4/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000112911059030411C,
วาสลีน VASELINE,กลูต้า ไฮยา เซรั่ม กลอส ลิปแคร์ จูซี่ พีช GLUTA HYA SERUM GLOSS LIP CARE JUICY PEACH,11-1-6800011289,68,ผลิต,อนุมัติ,9/4/2568,8/4/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000112891059030411C,
วาสลีน VASELINE,กลูต้า ไฮยา เซรั่ม กลอส ลิปแคร์ โรซี่ พิงค์ GLUTA HYA SERUM GLOSS LIP CARE ROSY PINK,11-1-6800011288,68,ผลิต,อนุมัติ,9/4/2568,8/4/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000112881059030411C,
วาสลีน VASELINE,กลูต้า ไฮยา เซรั่ม กลอส ลิปแคร์ รอยัล พลัม GLUTA HYA SERUM GLOSS LIP CARE ROYAL PLUM,11-1-6800011287,68,ผลิต,อนุมัติ,9/4/2568,8/4/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000112871059030411C,
วาสลีน VASELINE,กลูต้า-ไฮยา ดิวอี้ เรเดียนซ์ เซรั่ม เบิสท์ โลชั่น GLUTA-HYA DEWY RADIANCE SERUM BURST LOTION,11-1-6800021249,68,ผลิต,อนุมัติ,8/7/2568,7/7/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000212491059030411C,
วาสลีน VASELINE,กลูต้า-ไฮยา ดิวอี้ เรเดียนซ์ เซรั่ม เบิสท์ โลชั่น GLUTA-HYA DEWY RADIANCE SERUM BURST LOTION,10-1-6800022310,68,ผลิต,อนุมัติ,17/7/2568,16/7/2571,บริษัท ยูนิลีเวอร์ ไทย โฮลดิ้งส์ จำกัด,-,,U1CM00010168000223101054008281C,
วาสลีน VASELINE,กลูต้า-ไฮยา ฟลอเลส ไบรท์ เซรั่ม เบิสท์ โลชั่น GLUTA-HYA FLAWLESS BRIGHT SERUM BURST LOTION,10-1-6800030005,68,ผลิต,อนุมัติ,17/9/2568,16/9/2571,บริษัท ยูนิลีเวอร์ ไทย โฮลดิ้งส์ จำกัด,-,,U1CM00010168000300051054008281C,
วาสลีน VASELINE,กลูต้า-ไฮยา ฟลอเลส โกลว์ เซรั่ม เบิสท์ โลชั่น GLUTA-HYA FLAWLESS GLOW SERUM BURST LOTION,11-1-6800023017,68,ผลิต,อนุมัติ,22/7/2568,21/7/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ยูนิลีเวอร์ ไทย เทรดดิ้ง จำกัด,U1CM00011168000230171059030411C,
วาสลีน VASELINE,กลูต้า-ไฮยา โอเวอร์ไนท์ เรเดียนซ์ รีแพร์ เซรั่ม เบิสท์ โลชั่น GLUTA-HYA OVERNIGHT RADIANCE REPAIR SERUM BURST LOTION,10-1-6800022471,68,ผลิต,อนุมัติ,18/7/2568,17/7/2571,บริษัท ยูนิลีเวอร์ ไทย โฮลดิ้งส์ จำกัด,-,,U1CM00010168000224711054008281C,
วาสลีน VASELINE,กลูต้า-ไฮยา โฟโต เอจ ดีเฟนซ์ ยูวี เซรั่ม เอสพีเอฟ50+ พีเอ++++ GLUTA-HYA PHOTO AGE DEFENSE UV SERUM SPF50+ PA++++,10-1-6800029396,68,ผลิต,ยกเลิก (16/9/2568),11/9/2568,16/9/2568,บริษัท ยูนิลีเวอร์ ไทย โฮลดิ้งส์ จำกัด,-,,U1CM00010168000293961054008281C,
วาสลีน VASELINE,กลูต้า-ไฮยา โปร-เอจ รีสโตร์ เซรั่ม เบิสท์ โลชั่น GLUTA-HYA PRO-AGE RESTORE SERUM BURST LOTION,10-1-6800022470,68,ผลิต,อนุมัติ,18/7/2568,17/7/2571,บริษัท ยูนิลีเวอร์ ไทย โฮลดิ้งส์ จำกัด,-,,U1CM00010168000224701054008281C,
