ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
วูเน่ WOONAE,อโล ซูทติ้ง เจล ALOE SOOTHING GEL,74-1-6800016890,68,ผลิต,ยกเลิก (6/6/2568),30/5/2568,6/6/2568,บริษัท อาร์ แอนด์ ดี อินเตอร์ แมนูแฟคเจอริ่ง จำกัด,-,บริษัท เนเจอร์อินอัส จำกัด,U1CM00074168000168901059018561C,
วูเน่ WOONAE,อโล ซูทติ้ง เจล ALOE SOOTHING GEL,74-1-6800017851,68,ผลิต,อนุมัติ,10/6/2568,9/6/2571,บริษัท อาร์ แอนด์ ดี อินเตอร์ แมนูแฟคเจอริ่ง จำกัด,-,บริษัท เนเจอร์อินอัส จำกัด,U1CM00074168000178511059018561C,
วูเน่ WOONAE,แอนตี้-เมลาสม่า สลีปปิ้ง มาส์ก ANTI-MELASMA SLEEPING MASK,12-1-6800008818,68,ผลิต,อนุมัติ,18/3/2568,17/3/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท เนเจอร์อินอัส จำกัด,U1CM00012168000088181266001121C,
วูเน่ WOONAE,บาร์บี้ ยัง พรี-เซรั่ม พลัส มาสก์ BARBIE YUNG PRE-SERUM + MASK,12-1-6800007505,68,ผลิต,อนุมัติ,6/3/2568,5/3/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท เนเจอร์อินอัส จำกัด,U1CM00012168000075051266001121C,
วูเน่ WOONAE,บิงซู ซอฟท์ ทิ้นท์ ลิป BINGSU SOFT TINT LIP,11-1-6800028133,68,ผลิต,ยกเลิก (29/9/2568),2/9/2568,29/9/2568,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท เนเจอร์อินอัส จำกัด,U1CM00011168000281331059030413C,
วูเน่ WOONAE,บิงซู ซอฟท์ ทิ้นท์ ลิป BINGSU SOFT TINT LIP,11-1-6800031744,68,ผลิต,อนุมัติ,30/9/2568,29/9/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท เนเจอร์อินอัส จำกัด,U1CM00011168000317441059030413C,
วูเน่ WOONAE,แบล็ค โอนิกซ์ แมทท์ อายไลเนอร์ BLACK ONYX MATTE EYELINER,73-2-6800015400,68,นำเข้า,อนุมัติ,8/5/2568,7/5/2571,บริษัท เนเจอร์อินอัส จำกัด,"YIWU SAINT DAVIA COSMETICS CO.,LTD NO.1117,YONGJUN RD,HOUZHAI INDUSTRIAL ZONE, YIWU CITY, , PEOPLE’S REPUBLIC OF CHINA",,U1CM00073268000154007367000641C,
วูเน่ WOONAE,แบล็คกี้ ยัง เคิร์ล มาสแคร์ BLACKY YUNG CURL MASCARE,11-1-6800022938,68,ผลิต,อนุมัติ,22/7/2568,21/7/2571,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท เนเจอร์อินอัส จำกัด,U1CM00011168000229381165000691C,
วูเน่ WOONAE,แบล็คกี้ ยัง อายแลช มาสแคร์ BLACKY YUNG EYELASH MASCARE,11-1-6800001252,68,ผลิต,อนุมัติ,14/1/2568,13/1/2571,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท เนเจอร์อินอัส จำกัด,U1CM00011168000012521165000691C,
วูเน่ WOONAE,บราวนี่ ยัง อายแลช มาสแคร์ BROWNIE YUNG EYELASH MASCARE,11-1-6800001258,68,ผลิต,อนุมัติ,14/1/2568,13/1/2571,บริษัท เวก้าเนเจอรัล จำกัด,-,บริษัท เนเจอร์อินอัส จำกัด,U1CM00011168000012581165000691C,
