ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
นามิ NAMI,เบบี้ เว็ท ไวพส์ BABY WET WIPES,10-2-6800019149,68,นำเข้า,อนุมัติ,4/6/2568,3/6/2571,บริษัท ดีพลัส อินเตอร์เทรด จำกัด,"LINGHAI ZHANWANG BIOTECHNOLOGY CO., LTD. NO. 7-2, DALINGHE INDUSTRIAL PARK, LINGHAI CITY, JINZHOU CITY, LIAONING PROVINCE LIAONING PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000191491063127191C,
นามิ NAMI,บิวตี้ ซีเครท ไวท์ บีบี.ซีซี ครีม BEAUTY SECRET WHITE BB.CC CREAM,74-1-6800003857,68,ผลิต,อนุมัติ,5/2/2568,4/2/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000038577463000551C,
นามิ NAMI,บิวตี้ ซีเครท ไวท์ เซรั่ม BEAUTY SECRET WHITE SERUM,74-1-6800003873,68,ผลิต,อนุมัติ,5/2/2568,4/2/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000038737463000551C,
นามิ NAMI,น้ำหอมซีอีโอนามิ CEO NAMI PERFUME,52-1-6800033503,68,ผลิต,อนุมัติ,16/10/2568,15/10/2571,นาง กัลยา บุญแปง,-,บริษัท นามิ คอสเมติก สกินแคร์ จำกัด,U1CM00052168000335035262000141C,
นามิ NAMI,คลีนซิ่ง วอเตอร์ นามิ CLEANSING WATER NAMI,26-1-6800009078,68,ผลิต,อนุมัติ,19/3/2568,18/3/2571,นางสาว มัณฑนา บุญอินทร์,-,นางสาว จุฑามาศ หนูเกตุ,U1CM00026168000090782662000021C,
นามิ NAMI,แอม เฟรช แมงโกสทีน แอคเน่ เจล I'M FRESH MANGOSTEEN ACNE GEL,74-1-6800007555,68,ผลิต,อนุมัติ,7/3/2568,6/3/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000075557463000551C,
นามิ NAMI,เมค อัพ โปร เบทเทอร์ สกิน คุชชั่น เอสพีเอฟ50+ พีเอ++++ 01 บัทเทอร์ ครีม MAKE UP PRO BETTER SKIN CUSHION SPF50+ PA++++ 01 BUTTER CREAM,74-1-6800030125,68,ผลิต,อนุมัติ,18/9/2568,17/9/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000301257463000551C,
นามิ NAMI,เมค อัพ โปร เบทเทอร์ สกิน คุชชั่น เอสพีเอฟ50+ พีเอ++++ 02 บัทเทอร์ วานิลลา MAKE UP PRO BETTER SKIN CUSHION SPF50+ PA++++ 02 BUTTER VANILLA,74-1-6800022014,68,ผลิต,อนุมัติ,15/7/2568,14/7/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000220147463000551C,
นามิ NAMI,เมค อัพ โปร เบทเทอร์ สกิน คุชชั่น เอสพีเอฟ50+ พีเอ++++ 03 บัทเทอร์ คาราเมล MAKE UP PRO BETTER SKIN CUSHION SPF50+ PA++++ 03 BUTTER CARAMEL,74-1-6800030126,68,ผลิต,อนุมัติ,18/9/2568,17/9/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000301267463000551C,
นามิ NAMI,เมค อัพ โปร แมตต์ ล็อค สกิน ทิ้นท์ 01 ไลท์ MAKE UP PRO MATTE LOCK SKIN TINT 01 LIGHT,74-1-6800028018,68,ผลิต,อนุมัติ,1/9/2568,31/8/2571,บริษัท บิวตี้ครีเอทีฟ จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000280187466000171C,
นามิ NAMI,เมค อัพ โปร แมตต์ ล็อค สกิน ทิ้นท์ 02 นู้ด MAKE UP PRO MATTE LOCK SKIN TINT 02 NUDE,74-1-6800018499,68,ผลิต,อนุมัติ,16/6/2568,15/6/2571,บริษัท บิวตี้ครีเอทีฟ จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000184997466000171C,
นามิ NAMI,เมค อัพ โปร แมตต์ ล็อค สกิน ทิ้นท์ 03 วอร์ม MAKE UP PRO MATTE LOCK SKIN TINT 03 WARM,74-1-6800028020,68,ผลิต,อนุมัติ,1/9/2568,31/8/2571,บริษัท บิวตี้ครีเอทีฟ จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000280207466000171C,
นามิ NAMI,เมค อัพ โปร โซล ยูวี ซันสกรีน คุชชั่น เอสพีเอฟ50+ พีเอ++++ 01 ครีม MAKE UP PRO SEOUL UV SUNSCREEN CUSHION SPF50+ PA++++ 01 CREAM,74-1-6800005992,68,ผลิต,อนุมัติ,24/2/2568,23/2/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000059927463000551C,
นามิ NAMI,เมค อัพ โปร โซล ยูวี ซันสกรีน คุชชั่น เอสพีเอฟ50+ พีเอ++++ 03 อัลมอนด์ MAKE UP PRO SEOUL UV SUNSCREEN CUSHION SPF50+ PA++++ 03 ALMOND,74-1-6800005994,68,ผลิต,อนุมัติ,24/2/2568,23/2/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000059947463000551C,
นามิ NAMI,เมค อัพ โปร สตูดิโอ เอเอบีบี ซุปเปอร์ แมตต์ มูส MAKE UP PRO STUDIO AABB SUPER MATTE MOUSSE,74-1-6800007408,68,ผลิต,อนุมัติ,6/3/2568,5/3/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000074087463000551C,
นามิ NAMI,เมค อัพ โปร สตูดิโอ ฟูล คัฟเวอร์ ฟิลเตอร์ ฟาวน์เดชั่น MAKE UP PRO STUDIO FULL COVER FILTER FOUNDATION,74-1-6800007406,68,ผลิต,อนุมัติ,6/3/2568,5/3/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000074067463000551C,
นามิ NAMI,แชมพูเมอร์เมด MERMAID SHAMPOO,52-1-6800020864,68,ผลิต,อนุมัติ,4/7/2568,3/7/2571,นาง กัลยา บุญแปง,-,บริษัท นามิ คอสเมติก สกินแคร์ จำกัด,U1CM00052168000208645262000141C,
นามิ NAMI,ทรีทเม้นท์เมอร์เมด MERMAID TREATMENT,52-1-6800026687,68,ผลิต,อนุมัติ,21/8/2568,20/8/2571,นาง กัลยา บุญแปง,-,บริษัท นามิ คอสเมติก สกินแคร์ จำกัด,U1CM00052168000266875262000141C,
นามิ NAMI,นามิ ทูเมอริค เจล NAMI TURMERIC GEL,26-1-6800009077,68,ผลิต,อนุมัติ,19/3/2568,18/3/2571,นางสาว มัณฑนา บุญอินทร์,-,นางสาว จุฑามาศ หนูเกตุ,U1CM00026168000090772662000021C,
นามิ NAMI,นามิ ทูเมอริค มิ้นท์ ฮันนี่ โซป NAMI TURMERIC MINT HONEY SOAP,26-1-6800028664,68,ผลิต,อนุมัติ,5/9/2568,4/9/2571,นางสาว มัณฑนา บุญอินทร์,-,นางสาว จุฑามาศ หนูเกตุ,U1CM00026168000286642662000021C,
นามิ NAMI,ไวท์ สกิน ดริป เบทเทอร์ ไบรท์ เซรั่ม WHITE SKIN DRIP BETTER BRIGHT SERUM,74-1-6800008254,68,ผลิต,อนุมัติ,13/3/2568,12/3/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท เค แอนด์ บี คอสเมติก จำกัด,U1CM00074168000082547463000551C,
