ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
บีเอสซี BSC,5 อิน 1 แอคเน่ เคลียร์ เซรั่ม 5 IN 1 ACNE CLEAR SERUM,20-1-6800027133,68,ผลิต,อนุมัติ,25/8/2568,24/8/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00020168000271331061178041C,
บีเอสซี BSC,อควา ไฮบริด ซันสกรีน เอสพีเอฟ50+ พีเอ++++ AQUA HYBRID SUNSCREEN SPF50+ PA++++,11-1-6800014315,68,ผลิต,อนุมัติ,12/5/2568,11/5/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000143151061227311C,
บีเอสซี BSC,ออเธนทิค ไบโอ คอมพลีทมี คอนซีลเลอร์ AUTHENTIQ BIO COMPLETE ME CONCEALER,11-1-6800017899,68,ผลิต,อนุมัติ,10/6/2568,9/6/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000178991061227313C,
บีเอสซี BSC,ออเธนทิค ไบโอ โกลว์ฟลูอิด ฟาวเดชั่น เอสพีเอฟ 50 พีเอ++++ #ซี4 AUTHENTIQ BIO GLOW FLUID FOUNDATION SPF 50 PA++++ #C4,11-1-6800023124,68,ผลิต,อนุมัติ,23/7/2568,22/7/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000231241061227311C,
บีเอสซี BSC,ออเธนทิค ไบโอ โกลว์ ทรานสลูเซนท์ ลูซ พาวเดอร์ AUTHENTIQ BIO GLOW TRANSLUCENT LOOSE POWDER,11-1-6800022773,68,ผลิต,อนุมัติ,21/7/2568,20/7/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000227731061227313C,
บีเอสซี BSC,ออเธนทิค ไบโอ โกลว์ อัพ กลอสซี่ ลิป AUTHENTIQ BIO GLOW UP GLOSSY LIP,11-1-6800023123,68,ผลิต,อนุมัติ,23/7/2568,22/7/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000231231061227314C,
บีเอสซี BSC,ออเธนทิค ไบโอ โกลว์อัพ มอยซ์เจอร์ลิป AUTHENTIQ BIO GLOW UP MOISTURE LIP,11-1-6800021542,68,ผลิต,ยกเลิก (24/7/2568),10/7/2568,24/7/2568,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000215421061227314C,
บีเอสซี BSC,ออเธนทิค ไบโอ ไลท์&เฉด เฟส พาเล็ท #เอ็กซ์1 : ซันลิท AUTHENTIQ BIO LIGHT&SHADE FACE PALETTE #X1 : SUNLIT,11-1-6800006889,68,ผลิต,อนุมัติ,3/3/2568,2/3/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000068891061227311C,
บีเอสซี BSC,ออเธนทิค ไบโอ แมทท์ ลิควิด ฟาวเดชั่น เอสพีเอฟ 15 พีเอ++ # ซี4 AUTHENTIQ BIO MATTE LIQUID FOUNDATION SPF 15 PA++ # C4,11-1-6800023128,68,ผลิต,อนุมัติ,23/7/2568,22/7/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000231281061227311C,
บีเอสซี BSC,ออเธนทิค ไบโอเพอร์เฟ็คท์ เฟส คัลเลอร์ คิท AUTHENTIQ BIO PERFECT FACE COLOR KIT,11-1-6800016547,68,ผลิต,อนุมัติ,28/5/2568,27/5/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000165471061227311C,
บีเอสซี BSC,ออเธนทิค ไบโอเพอร์เฟ็คท์ สกินฟาวเดชั่น พาวเดอร์ คิท AUTHENTIQ BIO PERFECT SKIN FOUNDATION POWDER KIT,11-1-6800016548,68,ผลิต,อนุมัติ,28/5/2568,27/5/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000165481061227311C,
บีเอสซี BSC,ออเธนทิค ไบโอ เพอร์เฟ็คท์ลีย์ เซ็ท AUTHENTIQ BIO PERFECTLY SET,11-1-6800030939,68,ผลิต,อนุมัติ,24/9/2568,23/9/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),U1CM00011168000309391061227311C,
