ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
มิลเล่ MILLE,แอคเน่ พาวเวอร์ ชอต อินเทนซิฟ เซรั่ม ACNE POWER SHOT INTENSIVE SERUM,74-4-6800000483,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,16/9/2568,15/9/2571,บริษัท จันวาณิชย์ ซีเคียวริตี้ พริ้นท์ติ้ง จำกัด,-,บริษัท มิลเล่ (ไทยแลนด์) จำกัด,U1CM00074468000004837463000241C,
มิลเล่ MILLE,แอคเน่ พาวเวอร์ ชอต อินเทนซิฟ เซรั่ม ACNE POWER SHOT INTENSIVE SERUM,10-2-6800032226,68,นำเข้า,อนุมัติ,4/9/2568,3/9/2571,บริษัท มิลเล่ (ไทยแลนด์) จำกัด,"NOWCOS CO., LTD. 37, AYAMOK-GIL, SOJEONG-MYEON, SEJONG-SI, , KOREA, SOUTH",,U1CM00010268000322261059008671C,
มิลเล่ MILLE,อเดป โทน ฟิซิคอล ยูวี ซันสกรีน เอสพีเอฟ50+ พีเอ++++ ADAPT TONE PHYSICAL UV SUNSCREEN SPF50+ PA++++,21-2-6800034354,68,นำเข้า,อนุมัติ,20/9/2568,19/9/2571,บริษัท โตโย ฟิลลิ่ง อินเตอร์เนชั่นแนล จำกัด,"BEAUTIST CO., LTD. 18, CHEONGHO-GIL, JINWI-MYEON, PYEONGTAEK-SI GYEONGGI-DO , KOREA, SOUTH",,U1CM00021268000343541053006791C,
มิลเล่ MILLE,เบลอ ลาสติ้ง ไพรเมอร์ BLUR LASTING PRIMER,74-4-6800000165,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,31/3/2568,30/3/2571,บริษัท จันวาณิชย์ ซีเคียวริตี้ พริ้นท์ติ้ง จำกัด,-,บริษัท มิลเล่ (ไทยแลนด์) จำกัด,U1CM00074468000001657463000241C,
มิลเล่ MILLE,เบลอ ลาสติ้ง ไพรเมอร์ BLUR LASTING PRIMER,10-2-6800009107,68,นำเข้า,อนุมัติ,18/3/2568,17/3/2571,บริษัท มิลเล่ (ไทยแลนด์) จำกัด,"COSMECCAKOREA.CO.,LTD. (1, DAEPOONG-RI) 17-12,196 BEON-GIL DAEGEUM-RO DAESO-MYEON, EUMSEONG-GUN, CHUNGCHEONGBUK-DO , KOREA, SOUTH",,U1CM00010268000091071059008671C,
มิลเล่ MILLE,ซี-โอ-ดี สกิน แบริเออร์ บูสติ้ง เจล ครีม C-O-D SKIN BARRIER BOOSTING GEL CREAM,10-2-6800035635,68,นำเข้า,อนุมัติ,30/9/2568,29/9/2571,บริษัท มิลเล่ (ไทยแลนด์) จำกัด,"KOLMAR KOREA CO., LTD. 61 HEOLLEUNG-RO 8-GIL, SEOCHO-GU, SEOUL, , KOREA, SOUTH",,U1CM00010268000356351059008671C,
มิลเล่ MILLE,ดูโอ คอลลาเจน ซันสกรีน แอนด์ ไบร์ท ไพรเมอร์ DUO COLLAGEN SUNSCREEN & BRIGHT PRIMER,11-1-6800006114,68,ผลิต,อนุมัติ,24/2/2568,23/2/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท มิลเล่ (ไทยแลนด์) จำกัด,U1CM00011168000061141161000011C,
มิลเล่ MILLE,ดูโอ ไพรเมอร์ แอนด์ โกล์ว คุชชั่น 01 ไลท์ DUO PRIMER & GLOW CUSHION 01 LIGHT,11-1-6800002325,68,ผลิต,อนุมัติ,22/1/2568,21/1/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท มิลเล่ (ไทยแลนด์) จำกัด,U1CM00011168000023251161000011C,
มิลเล่ MILLE,ดูโอ ไพรเมอร์ แอนด์ โกล์ว คุชชั่น 02 เนเชอรัล DUO PRIMER & GLOW CUSHION 02 NATURAL,11-1-6800002327,68,ผลิต,อนุมัติ,22/1/2568,21/1/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท มิลเล่ (ไทยแลนด์) จำกัด,U1CM00011168000023271161000011C,
มิลเล่ MILLE,ดูโอ ไพรเมอร์ แอนด์ โกล์ว คุชชั่น 2.5 เบจ DUO PRIMER & GLOW CUSHION 2.5 BEIGE,11-1-6800002328,68,ผลิต,อนุมัติ,22/1/2568,21/1/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท มิลเล่ (ไทยแลนด์) จำกัด,U1CM00011168000023281161000011C,
