ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
มิสทีน MISTINE,เจนเทิล คลีน เมคอัพ รีมูฟเวอร์ ไวปส์ GENTLE CLEAN MAKEUP REMOVER WIPES,10-2-6800034860,68,นำเข้า,อนุมัติ,25/9/2568,24/9/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"SHANGHAI YINONG BIO. TECHNOLOGY CO.,LTD. NO.889, GUANGTAI ROAD, FENGXIAN DISTRICT, SHANGHAI CITY, CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000348601068057561C,
มิสทีน MISTINE,เจลลี่ ลิป กลอส 01 สวีท เอบบะนี ที JELLY LIP GLOSS 01 SWEET EBONY TEA,10-2-6800034699,68,นำเข้า,อนุมัติ,24/9/2568,23/9/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"B.C. BIOTECH (ZHUHAI) CO.,LTD. BUILDING 1, NO.81, DINGYE ROAD, TANGJIAWAN TOWN, HIGH-TECH DISTRICT, ZHUHAI CITY, GUANGDONG PROVINCE, P.R. CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000346991068057561C,
มิสทีน MISTINE,ไลท์ แมตต์ เอสเซนส์ ซันสกรีน แอร์ คุชชั่น แอลเอฟ100 LIGHT MATTE ESSENCE SUNSCREEN AIR CUSHION LF100,10-2-6800027404,68,นำเข้า,อนุมัติ,1/8/2568,31/7/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"KOLMAR COSMETICS (WUXI) CO., LTD. NO.95, XIMEI ROAD, XINWU DISTRICT, WUXI CITY, JIANGSU PROVINCE, P.R. CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000274041068057561C,
มิสทีน MISTINE,ไลท์ แมท เอสเซนส์ ซันสกรีน แอร์ คุชชั่น แอลเอฟ110 LIGHT MATTE ESSENCE SUNSCREEN AIR CUSHION LF110,10-2-6800028743,68,นำเข้า,ยกเลิก (20/8/2568),13/8/2568,20/8/2568,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,-,,U1CM00010268000287431068057561C,
มิสทีน MISTINE,ไลท์ แมตต์ เอสเซนส์ ซันสกรีน แอร์ คุชชั่น แอลเอฟ110 LIGHT MATTE ESSENCE SUNSCREEN AIR CUSHION LF110,10-2-6800030084,68,นำเข้า,อนุมัติ,21/8/2568,20/8/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"KOLMAR COSMETICS (WUXI) CO., LTD. NO.95, XIMEI ROAD, XINWU DISTRICT, WUXI CITY, JIANGSU PROVINCE, P.R. CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000300841068057561C,
มิสทีน MISTINE,ไลท์ แมตต์ เอสเซนส์ ซันสกรีน แอร์ คุชชั่น เอ็นเอ็น120 LIGHT MATTE ESSENCE SUNSCREEN AIR CUSHION NN120,10-2-6800028155,68,นำเข้า,อนุมัติ,7/8/2568,6/8/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"KOLMAR COSMETICS (WUXI) CO., LTD. NO.95, XIMEI ROAD, XINWU DISTRICT, WUXI CITY, JIANGSU PROVINCE, P.R. CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000281551068057561C,
มิสทีน MISTINE,แม็กฟิต ซอฟต์ แมตต์ เพรสส์ พาวเดอร์ แอลเอฟ110 MAGFIT SOFT MATT PRESSED POWDER LF110,10-2-6800029394,68,นำเข้า,อนุมัติ,15/8/2568,14/8/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"GOTHA TECHNOLOGY (SUZHOU) CO., LTD. NO.1, TONGSHENG ROAD, SUZHOU INDUSTRIAL PARK, JIANGSU PROVINCE, CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000293941068057561C,
มิสทีน MISTINE,แม็กฟิต ซอฟต์ แมตต์ เพรสส์ พาวเดอร์ แอลพี110 MAGFIT SOFT MATT PRESSED POWDER LP110,10-2-6800029696,68,นำเข้า,อนุมัติ,19/8/2568,18/8/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"GOTHA TECHNOLOGY (SUZHOU) CO., LTD. NO.1, TONGSHENG ROAD, SUZHOU INDUSTRIAL PARK, JIANGSU PROVINCE, CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000296961068057561C,
มิสทีน MISTINE,แม็กฟิต ซอฟต์ แมตต์ เพรสส์ พาวเดอร์ เอ็นเอ็น120 MAGFIT SOFT MATT PRESSED POWDER NN120,10-2-6800029372,68,นำเข้า,อนุมัติ,15/8/2568,14/8/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"GOTHA TECHNOLOGY (SUZHOU) CO., LTD. NO.1, TONGSHENG ROAD, SUZHOU INDUSTRIAL PARK, JIANGSU PROVINCE, CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000293721068057561C,
มิสทีน MISTINE,ซอฟต์ แมตต์ เอสเซนส์ แอร์ คุชชั่น #แอลเอฟ100 SOFT MATTE ESSENCE AIR CUSHION #LF100,10-2-6800035262,68,นำเข้า,อนุมัติ,29/9/2568,28/9/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"COSMAX CHINA, INC. NO.529,XIAONAN ROAD, FENGXIAN DISTRICT, SHANGHAI CITY, CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000352621068057561C,
มิสทีน MISTINE,ซอฟต์ แมตต์ เอสเซนส์ แอร์ คุชชั่น #แอลเอฟ110 SOFT MATTE ESSENCE AIR CUSHION #LF110,10-2-6800035214,68,นำเข้า,อนุมัติ,29/9/2568,28/9/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"COSMAX CHINA, INC. NO.529,XIAONAN ROAD, FENGXIAN DISTRICT, SHANGHAI CITY, CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000352141068057561C,
มิสทีน MISTINE,ซอฟต์ แมตต์ เอสเซนส์ แอร์ คุชชั่น #เอ็นเอ็น120 SOFT MATTE ESSENCE AIR CUSHION #NN120,10-2-6800035261,68,นำเข้า,อนุมัติ,29/9/2568,28/9/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"COSMAX CHINA, INC. NO.529,XIAONAN ROAD, FENGXIAN DISTRICT, SHANGHAI CITY, CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000352611068057561C,
มิสทีน MISTINE,ซันคิส เฟเธอร์ เซ็ตติ้ง ลูส พาวเดอร์ แอลเอฟ110 เนเชอรัล เบจ SUNKISS FEATHER SETTING LOOSE POWDER LF110 NATURAL BEIGE,10-2-6800028291,68,นำเข้า,อนุมัติ,7/8/2568,6/8/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"GUANGDONG B.C. BIOTECH CO.,LTD. 2ND BUILDING,NO.11 SIMIAO ROAD,SOUTHEM CHINA MODEM CHINESE MEDICINE CITY,NANLANG STREET, ZHONGSHAN CITY,GUANGDONG PROVINCE,P.R. CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000282911068057561C,
มิสทีน MISTINE,ซันคิส เฟเธอร์ เซ็ตติ้ง ลูส พาวเดอร์ แอลเอฟ110 เนเชอรัล เบจ SUNKISS FEATHER SETTING LOOSE POWDER LF110 NATURAL BEIGE,10-2-6800029598,68,นำเข้า,อนุมัติ,18/8/2568,17/8/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"GUANGDONG B.C. BIOTECH CO., LTD. 2ND FLOOR AREA A, 3RD FLOOR AND 4TH FLOOR, NO.6 MAONAN ROAD, SOUTHERN CHINA MODERN CHINESE MEDICINE CITY, NANLANG STREET, ZHONGSHAN CITY, GUANGDONG PROVINCE, P.R. CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000295981068057561C,
มิสทีน MISTINE,ซันคิส เฟเธอร์ เซ็ตติ้ง ลูส พาวเดอร์ ที01 โคลด์ ซีไซด์ SUNKISS FEATHER SETTING LOOSE POWDER T01 COLD SEASIDE,10-2-6800029600,68,นำเข้า,อนุมัติ,18/8/2568,17/8/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"GUANGDONG B.C. BIOTECH CO., LTD. 2ND FLOOR AREA A, 3RD FLOOR AND 4TH FLOOR, NO.6 MAONAN ROAD, SOUTHERN CHINA MODERN CHINESE MEDICINE CITY, NANLANG STREET, ZHONGSHAN CITY, GUANGDONG PROVINCE, P.R. CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000296001068057561C,
มิสทีน MISTINE,ซันคิส เฟเธอร์ เซ็ตติ้ง ลูส พาวเดอร์ ที02 วอร์ม โรส SUNKISS FEATHER SETTING LOOSE POWDER T02 WARM ROSE,10-2-6800029602,68,นำเข้า,อนุมัติ,18/8/2568,17/8/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"GUANGDONG B.C. BIOTECH CO., LTD. 2ND FLOOR AREA A, 3RD FLOOR AND 4TH FLOOR, NO.6 MAONAN ROAD, SOUTHERN CHINA MODERN CHINESE MEDICINE CITY, NANLANG STREET, ZHONGSHAN CITY, GUANGDONG PROVINCE, P.R. CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000296021068057561C,
มิสทีน MISTINE,ซันคิส อัลตร้า ลองแวร์ สกิน ทินต์ แอลเอฟ110 SUNKISS ULTRA LONGWEAR SKIN TINT LF110,10-2-6800027373,68,นำเข้า,อนุมัติ,1/8/2568,31/7/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"GOTHA TECHNOLOGY (SUZHOU) CO., LTD. NO.1, TONGSHENG ROAD, SUZHOU INDUSTRIAL PARK, JIANGSU PROVINCE, CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000273731068057561C,
มิสทีน MISTINE,ซันคิส อัลตร้า ลองแวร์ สกิน ทินต์ แอลเอฟ110 เนเชอรัล เบจ SUNKISS ULTRA LONGWEAR SKIN TINT LF110 NATURAL BEIGE,10-2-6800027465,68,นำเข้า,อนุมัติ,1/8/2568,31/7/2571,บริษัท เบทเตอร์ อินเวนชั่น (ประเทศไทย) จำกัด,"GOTHA TECHNOLOGY (SUZHOU) CO., LTD. NO.1, TONGSHENG ROAD, SUZHOU INDUSTRIAL PARK, JIANGSU PROVINCE, CHINA , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000274651068057561C,
