ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ลอรีอัล ปารีส L’OREAL PARIS,ยูธ โค้ด แอดวานซ์ สกิน คัลติเวติ้ง เอสเซนส์ YOUTH CODE ADVANCED SKIN CULTIVATING ESSENCE,10-2-6800035722,68,นำเข้า,อนุมัติ,1/10/2568,30/9/2571,บริษัท คิง เพาเวอร์ คอร์ปอเรชั่น จำกัด,"P.T. YASULOR INDONESIA JI. JABABEKA IV BLOK V 10-30 & V 44-63, KAWASAN INDUSTRI JABABEKA-CIKARANG DESA PASIRGOMBONG, KECAMATAN CIKARANG UTARA - BEKASI , INDONESIA",,U1CM00010268000357221065196521C,
ลอรีอัล ปารีส L’OREAL PARIS,ยูธ โค้ด แอดวานซ์ สกิน คัลติเวติ้ง เอสเซนส์ ดูโอ YOUTH CODE ADVANCED SKIN CULTIVATING ESSENCE DUO,10-2-6800036061,68,นำเข้า,อนุมัติ,3/10/2568,2/10/2571,บริษัท คิง เพาเวอร์ คอร์ปอเรชั่น จำกัด,"CEVA LOGISTICS SOLUTIONS SINGAPORE PTE. LTD. 10 SUNVIEW ROAD #05-01 627617, SINGAPORE",,U1CM00010268000360611065196521C,
ลอรีอัล ปารีส L'OREAL PARIS,เอจ เพอร์เฟค เอจ ดีฟายอิ้ง เซรั่ม เลอ ดูโอ้ AGE PERFECT AGE DEFYING SERUM LE DUO,10-2-6800017030,68,นำเข้า,อนุมัติ,20/5/2568,19/5/2571,บริษัท คิง เพาเวอร์ คอร์ปอเรชั่น จำกัด,"L'OREAL PRODUKTION DEUTSCHLAND GMBH & CO. KG. HERTZSTRASSE, 175 - D 76187 KARLSRUHE, , GERMANY",,U1CM00010268000170301065196521C,
ลอรีอัล ปารีส L'OREAL PARIS,คัลเลอร์ ริช ครีม แมท - 202 COLOR RICHE CREME MATTE - 202,10-2-6800029277,68,นำเข้า,อนุมัติ,15/8/2568,14/8/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"YICHANG TIANMEI INTERNATIONAL COSMETICS CO.,LTD. 18# XIHU ROAD XI LING ECONOMIC DEVELOPMENT ZONE. YICHANG, HUBEI, YICHANG 443000, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000292771067021851C,
ลอรีอัล ปารีส L'OREAL PARIS,คัลเลอร์ ริช อินเทนซ์ วอลุ่ม แมท COLOR RICHE INTENSE VOLUME MATTE,10-2-6800011939,68,นำเข้า,อนุมัติ,8/4/2568,7/4/2571,บริษัท คิง เพาเวอร์ คอร์ปอเรชั่น จำกัด,"YICHANG TIANMEI INTERNATIONAL COSMETICS CO., LTD XI LING ECONOMIC AND TECHNOLOGY DEVELOPMENT ZONE YICHANG HUBEI 443000, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000119391065196522C,
ลอรีอัล ปารีส L'OREAL PARIS,คัลเลอร์ ริช อินเทนซ์ วอลุ่ม แมท COLOR RICHE INTENSE VOLUME MATTE,10-2-6800011966,68,นำเข้า,อนุมัติ,8/4/2568,7/4/2571,บริษัท คิง เพาเวอร์ คอร์ปอเรชั่น จำกัด,"YICHANG TIANMEI INTERNATIONAL COSMETICS CO., LTD XI LING ECONOMIC AND TECHNOLOGY DEVELOPMENT ZONE YICHANG HUBEI 443000, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000119661065196522C,
ลอรีอัล ปารีส L'OREAL PARIS,คัลเลอร์ ริช อินเทนซ์ วอลุ่ม แมท (666/275/129/614) COLOR RICHE INTENSE VOLUME MATTE (666/275/129/614),10-2-6800012233,68,นำเข้า,อนุมัติ,10/4/2568,9/4/2571,บริษัท คิง เพาเวอร์ คอร์ปอเรชั่น จำกัด,"BOLLORE LOGISTICS SINGAPORE PTE LTD 1,BUROH CRESCENT, #03-01 627545, SINGAPORE",,U1CM00010268000122331065196521C,
ลอรีอัล ปารีส L'OREAL PARIS,คัลเลอร์ ริช เลอ ลิป เครยอน COLOR RICHE LE LIP CRAYON,10-2-6800031584,68,นำเข้า,อนุมัติ,29/8/2568,28/8/2571,บริษัท คิง เพาเวอร์ คอร์ปอเรชั่น จำกัด,"INTERFILA COSMETICS (SHANGHAI) CO.,LTD. NO.1898, DAYE HIGHWAY, ZHUANGHANG TOWN, FENGXIAN DISTRICT, SHANGHAI CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000315841065196522C,
ลอรีอัล ปารีส L'OREAL PARIS,เอลแซฟ คัลเลอร์ โปรเท็ค 7 วีค โปรเท็คติ้ง แชมพู ELSEVE COLOR PROTECT 7 WEEKS PROTECTING SHAMPOO,10-2-6800004129,68,นำเข้า,อนุมัติ,4/2/2568,3/2/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L'OREAL INDIA PVT. LTD. GAT NO.426, MAHALUNGE INGLE, CHAKAN-TALEGAON ROAD, CHAKAN, AL-KHED PUNE 410501, INDIA",,U1CM00010268000041291067021851C,
ลอรีอัล ปารีส L'OREAL PARIS,เอลแซฟ เอ็กซ์ตรอว์ดินารี่ ออยล์ แฮร์ มาส์ก ELSEVE EXTRAORDINARY OIL HAIR MASK,10-2-6800032972,68,นำเข้า,อนุมัติ,10/9/2568,9/9/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"BEAUTYCOS INTERNATIONAL CO., LTD. 22, ZI TENG STREET,SIP SUZHOU 215021, PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000329721067021851C,
ลอรีอัล ปารีส L'OREAL PARIS,เอลแซฟ ฟอล รีซิสท์ 3เอ็กซ์ แอนไท-แฮร์ฟอล คอนดิชันเนอร์-สคาลพ์+แฮร์ ELSEVE FALL RESIST 3X ANTI-HAIRFALL CONDITIONER-SCALP+HAIR,10-2-6800004649,68,นำเข้า,อนุมัติ,10/2/2568,9/2/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L'OREAL INDIA PVT. LTD. GAT NO.426, MAHALUNGE INGLE, CHAKAN-TALEGAON ROAD, CHAKAN, AL-KHED PUNE 410501, INDIA",,U1CM00010268000046491067021851C,
ลอรีอัล ปารีส L'OREAL PARIS,เอลแซฟ ฟอล รีซิสท์ 3เอ็กซ์ แอนไท-แฮร์ฟอล แชมพู-สคาลพ์+แฮร์ ELSEVE FALL RESIST 3X ANTI-HAIRFALL SHAMPOO-SCALP+HAIR,10-2-6800004119,68,นำเข้า,อนุมัติ,4/2/2568,3/2/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"L'OREAL INDIA PVT. LTD. GAT NO.426, MAHALUNGE INGLE, CHAKAN-TALEGAON ROAD, CHAKAN, AL-KHED PUNE 410501, INDIA",,U1CM00010268000041191067021851C,
ลอรีอัล ปารีส L'OREAL PARIS,เอลแซฟ ไกลโคลิค กลอส เอ็กซ์ตร้า กลอส แชมพู ELSEVE GLYCOLIC GLOSS EXTRA GLOSS SHAMPOO,10-2-6800005849,68,นำเข้า,อนุมัติ,21/2/2568,20/2/2571,บริษัท ลอรีอัล (ประเทศไทย) จำกัด,"PT. YASULOR INDONESIA KAWASAN INDUSTRI JABABEKA I JL. JABABEKA IV, BLOK V NO. 10-33 & 44-63 PASIR GOMBONG, CIKARANG UTARA, JAWA BARAT BEKASI 17530, INDONESIA",,U1CM00010268000058491067021851C,
