ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
วี V,มาสคาร่า MASCARA,10-2-6800008428,68,นำเข้า,อนุมัติ,13/3/2568,12/3/2571,บริษัท เอ็ม.เอส.ยูเนียน เอ็นเตอร์ไพร์ส จำกัด,"L&COCHINEAL (ZHONGSHAN) BIOTECHNOLOGY LLC 2F BONGWER CLOTHING, NO.76 XINGONG ROAD, SHAXI TOWN ZHONGSHANG CITY , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000084281052004771C,
วี V,ทินท์ สีชมพู TINT PINK,24-1-6800001567,68,ผลิต,อนุมัติ,16/1/2568,15/1/2571,บริษัท ศิริ แลบอราทอรีส์ จำกัด,-,บริษัท บี-อินสไพร์ จำกัด,U1CM00024168000015672463000181C,
วี VIE,ทเว็นตี้โฟ/เซเว่น เฮลตี้ โกลว ฟาวเดชั่น เอสพีเอฟ 50+ พีเอ++++ 24/7 HEALTHY GLOW FOUNDATION SPF 50+ PA++++,11-1-6800027800,68,ผลิต,อนุมัติ,29/8/2568,28/8/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอเดียล แอพโพรช จำกัด,U1CM00011168000278001061227313C,
วี VIE,ทเว็นตี้โฟ/เซเว่น สกิน เพอเฟคชั่น พาวเดอร์ เอสพีเอฟ40 พีเอ+++ 24/7 SKIN PERFECTION POWDER SPF40 PA+++,11-1-6800003989,68,ผลิต,อนุมัติ,6/2/2568,5/2/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ไอเดียล แอพโพรช จำกัด,U1CM00011168000039891059030412C,
วี VIE,5 อิน 1 ไบโอ-คอลลาเจน อินเทนซ์ ไฮเดรเตอร์ 5 IN 1 BIO-COLLAGEN INTENSE HYDRATOR,74-1-6800009177,68,ผลิต,อนุมัติ,20/3/2568,19/3/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท ไอเดียล แอพโพรช จำกัด,U1CM00074168000091777463000551C,
วี VIE,ไบโอ-คอลลาเจน ฟลอเลส สกิน คลีนเซอร์ BIO-COLLAGEN FLAWLESS SKIN CLEANSER,74-1-6800008849,68,ผลิต,อนุมัติ,18/3/2568,17/3/2571,บริษัท คอสเมด อินโนเวชั่น จำกัด,-,บริษัท ไอเดียล แอพโพรช จำกัด,U1CM00074168000088497463000551C,
วี VIE,บราว แอนด์ บีม ดูโอ พาเลท (เชพ เพล) BROW & BEAM DUO PALETTE (SHAPE PLAY),10-2-6800003526,68,นำเข้า,อนุมัติ,29/1/2568,28/1/2571,บริษัท ไอเดียล แอพโพรช จำกัด,"FUQING JIANING COSMETICS CO., LTD. NO.258, XITOU VILLAGE, YANGXIA TOWN, FUQING CITY, FUJIAN PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000035261061133191C,
วี VIE,บราว แอนด์ บีม ดูโอ พาเลท (ชายน์ บลิส) BROW & BEAM DUO PALETTE (SHINE BLISS),10-2-6800003527,68,นำเข้า,อนุมัติ,29/1/2568,28/1/2571,บริษัท ไอเดียล แอพโพรช จำกัด,"FUQING JIANING COSMETICS CO., LTD. NO.258, XITOU VILLAGE, YANGXIA TOWN, FUQING CITY, FUJIAN PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000035271061133191C,
วี VIE,ดูโอ้ บลัช ฟิวชั่น DUO BLUSH FUSION,10-2-6800012092,68,นำเข้า,อนุมัติ,9/4/2568,8/4/2571,บริษัท ไอเดียล แอพโพรช จำกัด,"FUQING JIANING COSMETICS CO., LTD. NO.258, XITOU VILLAGE, YANGXIA TOWN, FUQING CITY, FUJIAN PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000120921061133191C,
วี VIE,ลูมิลิฟ 3เอ็กซ์ แอมพูล LUMILIFT 3X AMPOULE,11-1-6800008181,68,ผลิต,อนุมัติ,12/3/2568,11/3/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอเดียล แอพโพรช จำกัด,U1CM00011168000081811061227311C,
วี VIE,ไตร-เรตินอล เดอร์มาลิฟท์ TRI-RETINOL DERMALIFT,11-1-6800024070,68,ผลิต,อนุมัติ,31/7/2568,30/7/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ไอเดียล แอพโพรช จำกัด,U1CM00011168000240701061227311C,
