ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ศรีจันทร์ SRICHAND,แอดวานซ์ แอนตี้ เมลาสม่า เซรั่ม ADVANCED ANTI MELASMA SERUM,20-1-6800001062,68,ผลิต,อนุมัติ,13/1/2568,12/1/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00020168000010621061178041C,
ศรีจันทร์ SRICHAND,แบมแบม เอ็กซ์ ศรีจันทร์ เฟิสต์ คิส พลัมปิ้ง ลิป บาล์ม BAMBAM X SRICHAND FIRST KISS PLUMPING LIP BALM,11-1-6800003169,68,ผลิต,อนุมัติ,29/1/2568,28/1/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000031691161000011C,
ศรีจันทร์ SRICHAND,แบมแบม เอ็กซ์ ศรีจันทร์ เพียว คิส ไบรท์เทนนิ่ง ลิป บาล์ม BAMBAM X SRICHAND PURE KISS BRIGHTENING LIP BALM,11-1-6800003170,68,ผลิต,อนุมัติ,29/1/2568,28/1/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000031701161000011C,
ศรีจันทร์ SRICHAND,แบร์ ทู เพอร์เฟคท์ ไบรท์เทนนิ่ง ยูวี คอมแพค พาวเดอร์ เอสพีเอฟ50+ พีเอ++++ BARE TO PERFECT BRIGHTENING UV COMPACT POWDER SPF50+ PA++++,11-1-6800017208,68,ผลิต,อนุมัติ,4/6/2568,3/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000172081059030411C,
ศรีจันทร์ SRICHAND,แบร์ ทู เพอร์เฟคท์ คอร์เรคติ้ง คอมแพค พาวเดอร์ - 01 ซอฟท์ พิงค์ BARE TO PERFECT CORRECTING COMPACT POWDER - 01 SOFT PINK,11-1-6800006670,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000066701059030411C,
ศรีจันทร์ SRICHAND,แบร์ ทู เพอร์เฟคท์ คอร์เรคติ้ง คอมแพค พาวเดอร์ - 02 โกลเด้น เบจ BARE TO PERFECT CORRECTING COMPACT POWDER - 02 GOLDEN BEIGE,11-1-6800006672,68,ผลิต,อนุมัติ,28/2/2568,27/2/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000066721059030411C,
ศรีจันทร์ SRICHAND,แบร์ ทู เพอร์เฟคท์ คอร์เรคติ้ง ลูส พาวเดอร์ BARE TO PERFECT CORRECTING LOOSE POWDER,11-1-6800008224,68,ผลิต,อนุมัติ,13/3/2568,12/3/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000082241059030411C,
ศรีจันทร์ SRICHAND,แบริเออร์ บูสต์ คลีนซิ่ง เจล โฟม BARRIER BOOST CLEANSING GEL FOAM,20-1-6800000465,68,ผลิต,อนุมัติ,8/1/2568,7/1/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00020168000004651061178041C,
ศรีจันทร์ SRICHAND,เอ็นชานเท็ด ชาร์มมิง ซาติน แมตต์ ลิปสติก ENCHANTED CHARMING SATIN MATTE LIPSTICK,11-1-6800017589,68,ผลิต,อนุมัติ,9/6/2568,8/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000175891059030419C,
ศรีจันทร์ SRICHAND,เอ็นชานเท็ด ชาร์มมิง ซาติน แมตต์ ลิปสติก - 04 บลัชชิ่ง เทียร่า ENCHANTED CHARMING SATIN MATTE LIPSTICK - 04 BLUSHING TIARA,11-1-6800017587,68,ผลิต,อนุมัติ,9/6/2568,8/6/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000175871059030411C,
