ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ศศิ SASI,แอคเน่ โซล ทู-อิน-วัน ดับเบิล คลีนซิ่ง เจล ACNE SOL 2-IN-1 DOUBLE CLEANSING GEL,11-1-6800000024,68,ผลิต,อนุมัติ,2/1/2568,1/1/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000000241061227311C,
ศศิ SASI,ออล เดย์ ฟิกซ์ ฟิกซิ่ง สเปรย์ ALL-DAY FIXED FIXING SPRAY,11-1-6800021977,68,ผลิต,อนุมัติ,15/7/2568,14/7/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000219771059030411C,
ศศิ SASI,ออล เดย์ ฟิกซ์ ทรานส์ลูเซนท์ เซ็ตติ้ง คอมแพค พาวเดอร์ ALL-DAY FIXED TRANSLUCENT SETTING COMPACT POWDER,11-1-6800022775,68,ผลิต,อนุมัติ,21/7/2568,20/7/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000227751059030411C,
ศศิ SASI,บีบี เพอร์เฟค คอมแพค พาวเดอร์ BB PERFECT COMPACT POWDER,11-1-6800026301,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000263011059030411C,
ศศิ SASI,เดลี่ ทินท์เต็ด ลิป บาล์ม DAILY TINTED LIP BALM,11-1-6800022772,68,ผลิต,อนุมัติ,21/7/2568,20/7/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000227721061227316C,
ศศิ SASI,กู๊ด เดย์ คัลเลอร์ แอนด์ แคร์ เอสพีเอฟ 30 พีเอ+++ ลิป เซรั่ม GOOD DAY COLOR & CARE SPF 30 PA+++ LIP SERUM,11-1-6800009660,68,ผลิต,อนุมัติ,25/3/2568,24/3/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000096601061227311C,
ศศิ SASI,กู๊ด ไนท์ เดลี่ ลิป สครับ GOOD NIGHT DAILY LIP SCRUB,11-1-6800008437,68,ผลิต,อนุมัติ,14/3/2568,13/3/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000084371061227311C,
ศศิ SASI,เมจิก แมท คอนซีลเลอร์ MAGIC MATTE CONCEALER,11-1-6800010970,68,ผลิต,อนุมัติ,7/4/2568,6/4/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000109701059030413C,
ศศิ SASI,เมจิก แมท ฟาวน์เดชั่น ลูส พาวเดอร์ MAGIC MATTE FOUNDATION LOOSE POWDER,11-1-6800011643,68,ผลิต,ยกเลิก (24/4/2568),11/4/2568,24/4/2568,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000116431061227312C,
ศศิ SASI,เมจิก แมท ฟาวน์เดชั่น ลูส พาวเดอร์ MAGIC MATTE FOUNDATION LOOSE POWDER,11-1-6800012230,68,ผลิต,อนุมัติ,22/4/2568,21/4/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000122301061227312C,
ศศิ SASI,เมจิก แมท ลิควิด ฟาวน์เดชั่น MAGIC MATTE LIQUID FOUNDATION,11-1-6800014314,68,ผลิต,อนุมัติ,12/5/2568,11/5/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000143141061227314C,
ศศิ SASI,เพอร์เฟกต์ เพอร์ซันนอล คัลเลอร์ บลัช PERFECT PERSONAL COLOR BLUSH,11-1-6800005790,68,ผลิต,อนุมัติ,21/2/2568,20/2/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000057901059030413C,
ศศิ SASI,เพอร์เฟกต์ เพอร์ซันนอล คัลเลอร์ บลัช - 01 สปริง บลัช PERFECT PERSONAL COLOR BLUSH - 01 SPRING BLUSH,11-1-6800005789,68,ผลิต,อนุมัติ,21/2/2568,20/2/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000057891059030411C,
ศศิ SASI,เพอร์เฟกต์ เพอร์ซันนอล คัลเลอร์ อายแชโดว์ พาเลต - 01 สปริง อายแชโดว์ พาเลต PERFECT PERSONAL COLOR EYESHADOW PALETTE - 01 SPRING EYESHADOW PALETT,11-1-6800007250,68,ผลิต,ยกเลิก (10/3/2568),5/3/2568,10/3/2568,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000072501059030411C,
ศศิ SASI,เพอร์เฟกต์ เพอร์ซันนอล คัลเลอร์ อายแชโดว์ พาเลต - 01 สปริง อายแชโดว์ พาเลต PERFECT PERSONAL COLOR EYESHADOW PALETTE - 01 SPRING EYESHADOW PALETTE,11-1-6800007852,68,ผลิต,อนุมัติ,10/3/2568,9/3/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,บริษัท ศรีจันทร์สหโอสถ จำกัด,U1CM00011168000078521059030411C,
