ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
สมูท อี SMOOTH E,แอคเน่ - ไฮโดรเจล พลัส ACNE - HYDROGEL PLUS,13-1-6800032872,68,ผลิต,อนุมัติ,9/10/2568,8/10/2571,บริษัท ดอกเตอร์ คอสเมติค แลบ จำกัด,-,,U1CM00013168000328721052001131C,
สมูท อี SMOOTH E,แอนตี้ แอคเน่ ไฮโดรเจล ANTI ACNE HYDROGEL,13-1-6800025761,68,ผลิต,อนุมัติ,14/8/2568,13/8/2571,บริษัท ดอกเตอร์ คอสเมติค แลบ จำกัด,-,,U1CM00013168000257611052001131C,
สมูท อี SMOOTH E,แอนตี้ แอคเน่ ไฮโดรเจล ANTI ACNE HYDROGEL,10-1-6800019610,68,ผลิต,อนุมัติ,24/6/2568,23/6/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000196101052009601C,
สมูท อี SMOOTH E,ดราย สกิน รีแพร์ DRY SKIN REPAIR,13-1-6800006643,68,ผลิต,อนุมัติ,27/2/2568,26/2/2571,บริษัท ดอกเตอร์ คอสเมติค แลบ จำกัด,-,,U1CM00013168000066431052001131C,
สมูท อี SMOOTH E,ฟอเรสต์ เรน ชาวเวอร์ เจล FOREST RAIN SHOWER GEL,10-1-6800006434,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000064341052009601C,
สมูท อี SMOOTH E,กลูต้า บี3 เซลลูลาร์ ไบรท์ GLUTA B3 CELLULAR BRIGHT,10-1-6800000353,68,ผลิต,อนุมัติ,7/1/2568,6/1/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000003531052009601C,
สมูท อี SMOOTH E,อินเทนซีฟ 1.5 ไฮยา ลิฟท์ ฟิลเลอร์ ซีรั่ม INTENSIVE 1.5 HYA LIFT FILLER SERUM,13-1-6800014470,68,ผลิต,ยกเลิก (3/7/2568),13/5/2568,3/7/2568,บริษัท ดอกเตอร์ คอสเมติค แลบ จำกัด,-,,U1CM00013168000144701052001131C,
สมูท อี SMOOTH E,อินเทนซีฟ 1.5 ไฮยา ลิฟท์ ฟิลเลอร์ ซีรั่ม INTENSIVE 1.5 HYA LIFT FILLER SERUM,13-1-6800021914,68,ผลิต,อนุมัติ,15/7/2568,14/7/2571,บริษัท ดอกเตอร์ คอสเมติค แลบ จำกัด,-,,U1CM00013168000219141052001131C,
สมูท อี SMOOTH E,อินเทนซีฟ 1.5 ไฮยา ลิฟท์ ไวท์ ซีรั่ม INTENSIVE 1.5 HYA LIFT WHITE SERUM,13-1-6800014471,68,ผลิต,ยกเลิก (3/7/2568),13/5/2568,3/7/2568,บริษัท ดอกเตอร์ คอสเมติค แลบ จำกัด,-,,U1CM00013168000144711052001131C,
สมูท อี SMOOTH E,ไมเซลลาร์-อิน-แพด MICELLAR-IN-PAD,73-1-6800028022,68,ผลิต,อนุมัติ,1/9/2568,31/8/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,U1CM00073168000280227362000251C,
สมูท อี SMOOTH E,เอ็น เอ ดี แอนตี้-เอจ คอนโทรล ซีรั่ม NAD ANTI-AGE CONTROL SERUM,13-1-6800001910,68,ผลิต,อนุมัติ,20/1/2568,19/1/2571,บริษัท ดอกเตอร์ คอสเมติค แลบ จำกัด,-,,U1CM00013168000019101052001131C,
สมูท อี SMOOTH E,เอ็น เอ ดี ครีม NAD CREAM,10-1-6800001307,68,ผลิต,อนุมัติ,14/1/2568,13/1/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000013071052009601C,
สมูท อี SMOOTH E,เอ็น เอ ดี ซัน NAD SUN,10-1-6800001922,68,ผลิต,อนุมัติ,20/1/2568,19/1/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000019221052009601C,
สมูท อี SMOOTH E,เอ็น เอ ดี พลัส ครีม NAD+ CREAM,10-1-6800006429,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000064291052009601C,
สมูท อี SMOOTH E,เอ็น เอ ดี พลัส ซัน NAD+ SUN,10-1-6800006430,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000064301052009601C,
สมูท อี SMOOTH E,พีเอชเอ-เอเอชเอ แอคเน่ สปอต แอนด์ พอร์ สมูท PHA-AHA ACNE SPOT AND PORE SMOOTH,10-1-6800002992,68,ผลิต,อนุมัติ,28/1/2568,27/1/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000029921052009601C,
สมูท อี SMOOTH E,โปรสกิน แคปซูล PROSKIN CAPSULE,10-2-6800037170,68,นำเข้า,อนุมัติ,15/10/2568,14/10/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,"MARLYN NUTRACEUTICALS, INC. 4404 ELWOOD ST., PHOENIX AZ 85040, UNITED STATES OF AMERICA",,U1CM00010268000371701052009601C,
สมูท อี SMOOTH E,เรตินอล พลัส ดีพ ริงเคิล รีแพร์ RETINOL PLUS DEEP WRINKLE REPAIR,10-1-6800004106,68,ผลิต,อนุมัติ,6/2/2568,5/2/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000041061052009601C,
สมูท อี SMOOTH E,เซรั่ม-อิน-แพด SERUM-IN-PAD,73-1-6800026885,68,ผลิต,อนุมัติ,22/8/2568,21/8/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,U1CM00073168000268857362000251C,
สมูท อี SMOOTH E,สกิน เทอร์ราพี ไวท์ บอดี้ มอยซ์เจอร์ไรท์ซิ่ง โลชั่น SKIN THERAPIE WHITE BODY MOISTURIZING LOTION,13-1-6800010398,68,ผลิต,อนุมัติ,1/4/2568,31/3/2571,บริษัท ดอกเตอร์ คอสเมติค แลบ จำกัด,-,,U1CM00013168000103981052001131C,
สมูท อี SMOOTH E,ซัน ไบรท์เทนนิ่ง ออยล์ คอนโทรล SUN BRIGHTENING OIL CONTROL,10-1-6800022214,68,ผลิต,อนุมัติ,16/7/2568,15/7/2571,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,-,,U1CM00010168000222141052009601C,
สมูท อี SMOOTH E,ไวท์ เบบี้เฟซ ครีม WHITE BABYFACE CREAM,13-1-6800010200,68,ผลิต,อนุมัติ,31/3/2568,30/3/2571,บริษัท ดอกเตอร์ คอสเมติค แลบ จำกัด,-,,U1CM00013168000102001052001131C,
