ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
อิทส์สกิน IT’S SKIN,ด็อกเตอร์ เซฟเวอร์ส ไบฟิดา ซิลกี้ เซรั่ม DR.SAVERS BIFIDA SILKY SERUM,10-2-6800027439,68,นำเข้า,อนุมัติ,1/8/2568,31/7/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"NEOPHARM CO.LTD 62, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN CHUNGCHEONBUK-DO , KOREA, SOUTH",,U1CM00010268000274391060521981C,
อิทส์สกิน IT’S SKIN,เซฟเวอร์ส ไบฟิดา ซิลกี้ เซรั่ม SAVERS BIFIDA SILKY SERUM,10-2-6800027449,68,นำเข้า,อนุมัติ,1/8/2568,31/7/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"NEOPHARM CO.LTD 62, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN CHUNGCHEONBUK-DO , KOREA, SOUTH",,U1CM00010268000274491060521981C,
อิทส์สกิน IT'S SKIN,บลู สเนล มอยส์เจอไรเซอร์ BLUE SNAIL MOISTURIZER,10-2-6800017336,68,นำเข้า,อนุมัติ,21/5/2568,20/5/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"NEOPHARM CO.LTD 62, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN CHUNGCHEONBUK-DO , KOREA, SOUTH",,U1CM00010268000173361060521981C,
อิทส์สกิน IT'S SKIN,บลู สเนล เซรั่ม BLUE SNAIL SERUM,10-2-6800017335,68,นำเข้า,อนุมัติ,21/5/2568,20/5/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"NEOPHARM CO.LTD 62, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN CHUNGCHEONBUK-DO , KOREA, SOUTH",,U1CM00010268000173351060521981C,
อิทส์สกิน IT'S SKIN,คอลลาเจน นิวทริชั่น มาส์ก ชีท COLLAGEN NUTRITION MASK SHEET,10-2-6800017002,68,นำเข้า,อนุมัติ,19/5/2568,18/5/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"CNF CO.,LTD 7, GONGDAN-RO 140BEON-GIL, GUNPO-SI GYEONGGI-DO, KOREA , KOREA, SOUTH",,U1CM00010268000170021060521981C,
อิทส์สกิน IT'S SKIN,ด็อกเตอร์ เซฟเวอร์ส ซิก้า คอมฟอร์ท เซรั่ม DR.SAVERS CICA COMFORT SERUM,10-2-6800027359,68,นำเข้า,อนุมัติ,1/8/2568,31/7/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"NEOPHARM CO.LTD 62, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN CHUNGCHEONBUK-DO , KOREA, SOUTH",,U1CM00010268000273591060521981C,
อิทส์สกิน IT'S SKIN,ด็อกเตอร์ เซฟเวอร์ส ไฮยาลูรอนิค ไฮโดร เซรั่ม DR.SAVERS HYALURONIC HYDRO SERUM,10-2-6800027360,68,นำเข้า,อนุมัติ,1/8/2568,31/7/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"NEOPHARM CO.LTD 62, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN CHUNGCHEONBUK-DO , KOREA, SOUTH",,U1CM00010268000273601060521981C,
อิทส์สกิน IT'S SKIN,ด็อกเตอร์ เซฟเวอร์ส พีดีอาร์เอ็น รีไวทอล เซรั่ม DR.SAVERS PDRN REVITAL SERUM,10-2-6800026954,68,นำเข้า,อนุมัติ,30/7/2568,29/7/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"NEOPHARM CO.LTD 62, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN CHUNGCHEONBUK-DO , KOREA, SOUTH",,U1CM00010268000269541060521981C,
อิทส์สกิน IT'S SKIN,ด็อกเตอร์ เซฟเวอร์ส วิตา โกลว์ เซรั่ม DR.SAVERS VITA GLOW SERUM,10-2-6800026580,68,นำเข้า,อนุมัติ,29/7/2568,28/7/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"NEOPHARM CO.LTD 62, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN CHUNGCHEONBUK-DO , KOREA, SOUTH",,U1CM00010268000265801060521981C,
อิทส์สกิน IT'S SKIN,กลูตาไธโอน ช็อต บี3 แอนดี้ ดิสคัลเลอร์เทชั่น เซรั่ม GLUTATHIONE SHOT B3 ANTI DISCOLORATION SERUM,10-2-6800029569,68,นำเข้า,อนุมัติ,18/8/2568,17/8/2571,บริษัท โคเรีย กู๊ดส์ จำกัด,"NEOPHARM CO.LTD 62, DAESEONG-RO 547 BEON-GIL, SAMSEONG-MYEON, EUMSEONG-GUN CHUNGCHEONBUK-DO , KOREA, SOUTH",,U1CM00010268000295691060521981C,
