ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เคเอ็มเอ KMA,คลาสสิค แบล็ก เพนซิล ไลน์เนอร์ CLASSIC BLACK PENCIL LINER,10-2-6800010564,68,นำเข้า,อนุมัติ,28/3/2568,27/3/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000105641052016341C,
เคเอ็มเอ KMA,คอร์เรคเตอร์ คัลเลอร์ เมคอัพ เบส CORRECTOR COLOR MAKEUP BASE,11-1-6800030109,68,ผลิต,อนุมัติ,18/9/2568,17/9/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท โอ ซี ซี จำกัด (มหาชน),U1CM00011168000301091061227313C,
เคเอ็มเอ KMA,ดรีมมี่ โกลว์ คุชชั่น #00 พอร์ซเลน DREAMY GLOW CUSHION #00 PORCELAIN,10-2-6800012045,68,นำเข้า,อนุมัติ,9/4/2568,8/4/2571,บริษัท โอ ซี ซี จำกัด (มหาชน),"COSMECCA KOREA CO., LTD. 17-12, DAEGEUM-RO 196 BEON-GIL, DAESO MYEON, EUMSUNG GUN CHUNGCHEONG BUK DO , KOREA, SOUTH",,U1CM00010268000120451052002411C,
เคเอ็มเอ KMA,อายโบรว์ ฟิกซ์ เพนซิล (อัลมอนด์) EYEBROW FIX PENCIL (ALMOND),10-2-6800024210,68,นำเข้า,อนุมัติ,10/7/2568,9/7/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000242101052016341C,
เคเอ็มเอ KMA,จูซี่ ลัช ทินท์ บาล์ม JUICY LUSH TINT BALM,13-1-6800000802,68,ผลิต,อนุมัติ,10/1/2568,9/1/2571,บริษัท ไอยู-คอสเมด กรุ๊ป จำกัด,-,บริษัทโอซีซี จำกัด (มหาชน),U1CM00013168000008021364000182C,
เคเอ็มเอ KMA,ลิท กลิต ลิป ไลน์เนอร์ LIT GLIT LIP LINER,10-2-6800031704,68,นำเข้า,อนุมัติ,1/9/2568,31/8/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000317041052016343C,
เคเอ็มเอ KMA,ลิท กลิต ลิควิด บลัช LIT GLIT LIQUID BLUSH,13-1-6800027300,68,ผลิต,อนุมัติ,26/8/2568,25/8/2571,บริษัท ไอยู-คอสเมด กรุ๊ป จำกัด,-,บริษัทโอซีซี จำกัด (มหาชน),U1CM00013168000273001364000188C,
เคเอ็มเอ KMA,เมค อิท ดอลลี่ #เอ็น0 โกลเด้น โกลว์ MAKE IT DOLLY #N0 GOLDEN GLOW,10-2-6800015294,68,นำเข้า,อนุมัติ,7/5/2568,6/5/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000152941052016341C,
เคเอ็มเอ KMA,เมค อิท ดอลลี่ #พี0 โรซี่ ทวิงเคิล MAKE IT DOLLY #P0 ROSY TWINKLE,10-2-6800015295,68,นำเข้า,อนุมัติ,7/5/2568,6/5/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"NINGBO EYECOS COSMETIC CO., LTD. NO. 1-1, EXPRESSWAY LINK, XINDONGWU VILLAGE, MOUSHAN TOWN, YUYAO CITY, NINGBO CITY ZHEJIANG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000152951052016341C,
เคเอ็มเอ KMA,แม็กซ์ คัฟเวอร์ เค้ก พาวเดอร์ MAX COVER CAKE POWDER,11-1-6800020473,68,ผลิต,อนุมัติ,1/7/2568,30/6/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท โอ ซี ซี จำกัด (มหาชน),U1CM00011168000204731061227312C,
เคเอ็มเอ KMA,เพอร์เฟค เฟซ เอสเซนส์ ฟาวเดชั่น PERFECT FACE ESSENCE FOUNDATION,11-1-6800026866,68,ผลิต,อนุมัติ,22/8/2568,21/8/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท โอ ซี ซี จำกัด (มหาชน),U1CM00011168000268661061227315C,
เคเอ็มเอ KMA,เพอร์เฟกต์ แมช พาเลตต์ (มอคค่า พีช) PERFECT MATCH PALETTE (MOCHA PEACH),10-2-6800008602,68,นำเข้า,อนุมัติ,14/3/2568,13/3/2571,บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด,"ZHEJIANG DIEFEI COSMETIC CO., LTD. NO.21, JINGER ROAD, BEIYUAN INDUSTRIAL PARK, YIWU ZHEJIANG , PEOPLE’S REPUBLIC OF CHINA",,U1CM00010268000086021052016341C,
เคเอ็มเอ KMA,เชียร์ ซอฟต์ สกิน ลิควิด ฟาวเดชั่น SHEER SOFT SKIN LIQUID FOUNDATION,11-1-6800013196,68,ผลิต,อนุมัติ,29/4/2568,28/4/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท โอ ซี ซี จำกัด (มหาชน),U1CM00011168000131961061227318C,
เคเอ็มเอ KMA,ซอฟต์ ทัช แมทท์ ลิป เอ็กซ์ SOFT TOUCH MATTE LIPS EX,13-1-6800008764,68,ผลิต,อนุมัติ,18/3/2568,17/3/2571,บริษัท ไอยู-คอสเมด กรุ๊ป จำกัด,-,บริษัทโอซีซี จำกัด (มหาชน),U1CM00013168000087641364000186C,
เคเอ็มเอ KMA,ซูธธิง เฟเชียล ล็อค มิสต์ SOOTHING FACIAL LOCK MIST,11-1-6800006516,68,ผลิต,อนุมัติ,27/2/2568,26/2/2571,บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด,-,บริษัทโอซีซี จำกัด (มหาชน),U1CM00011168000065161163000281C,
