ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เซนกะ SENKA,ออล เคลียร์ ดับเบิ้ล วอช เอ A.L.L. CLEAR DOUBLE WASH A,10-2-6800015215,68,นำเข้า,อนุมัติ,6/5/2568,5/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000152151065168771C,
เซนกะ SENKA,ออล เคลียร์ ดับเบิ้ล วอช โฟม A.L.L. CLEAR DOUBLE WASH FOAM,10-2-6800024387,68,นำเข้า,อนุมัติ,11/7/2568,10/7/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000243871065168771C,
เซนกะ SENKA,ออล เคลียร์ ชีท เฟรช A.L.L. CLEAR SHEET FRESH,10-2-6800018347,68,นำเข้า,อนุมัติ,27/5/2568,26/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FINE TODAY INDUSTRIES CO., LTD. 5 KIYOKU-CHO, KUKI-SHI SAITAMA , JAPAN",,U1CM00010268000183471065168771C,
เซนกะ SENKA,ออล เคลียร์ วอเทอร์ ไมเซลล่า + โทนเนอร์ ฟอร์มูล่า แอคเน่ แคร์ A.L.L. CLEAR WATER MICELLAR + TONER FORMULA ACNE CARE,10-2-6800000439,68,นำเข้า,อนุมัติ,7/1/2568,6/1/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000004391065168771C,
เซนกะ SENKA,แอคเน่ แคร์ 3เอกซ์ รีแพร์ เซรั่ม ACNE CARE 3X REPAIR SERUM,10-2-6800000440,68,นำเข้า,อนุมัติ,7/1/2568,6/1/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000004401065168771C,
เซนกะ SENKA,เพอร์เฟ็ค อควา ลิป บาล์ม เอ็น PERFECT AQUA LIP BALM N,10-2-6800017022,68,นำเข้า,อนุมัติ,19/5/2568,18/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"TAIWAN SHISEIDO CO., LTD. HSINCHU FACTORY NO.60, GUANGFU N. RD., HUKOU TOWNSHIP HSINCHU , TAIWAN",,U1CM00010268000170221065168771C,
เซนกะ SENKA,เพอร์เฟ็ค อควา ลิป เอสเซ้นส์ PERFECT AQUA LIP ESSENCE,10-2-6800017021,68,นำเข้า,อนุมัติ,19/5/2568,18/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"TAIWAN SHISEIDO CO., LTD. HSINCHU FACTORY NO.60, GUANGFU N. RD., HUKOU TOWNSHIP HSINCHU , TAIWAN",,U1CM00010268000170211065168771C,
เซนกะ SENKA,เพอร์เฟ็ค บับเบิ้ล ฟอร์ บอดี้ ฟลอรัล พลัส เอ็น PERFECT BUBBLE FOR BODY FLORAL PLUS N,10-2-6800015216,68,นำเข้า,อนุมัติ,6/5/2568,5/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000152161065168771C,
เซนกะ SENKA,เพอร์เฟ็ค บับเบิ้ล ฟอร์ บอดี้ สวีท ฟลอรัล เอ็น PERFECT BUBBLE FOR BODY SWEET FLORAL N,10-2-6800015214,68,นำเข้า,อนุมัติ,6/5/2568,5/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000152141065168771C,
เซนกะ SENKA,เพอร์เฟ็ค วิป เอ PERFECT WHIP A,10-2-6800015213,68,นำเข้า,อนุมัติ,6/5/2568,5/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000152131065168771C,
เซนกะ SENKA,เพอร์เฟ็ค วิป เอ PERFECT WHIP A,10-2-6800022539,68,นำเข้า,อนุมัติ,27/6/2568,26/6/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FINE TODAY INDUSTRIES CO., LTD. 5 KIYOKU-CHO, KUKI-SHI SAITAMA , JAPAN",,U1CM00010268000225391065168771C,
เซนกะ SENKA,เพอร์เฟ็ค วิป อะมิโน ชาร์จ อิน PERFECT WHIP AMINO CHARGE IN,10-2-6800024386,68,นำเข้า,อนุมัติ,11/7/2568,10/7/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000243861065168771C,
เซนกะ SENKA,เพอร์เฟ็ค วิป ไบรท์ แอนด์ บาลานซ์ PERFECT WHIP BRIGHT & BALANCED,10-2-6800027996,68,นำเข้า,อนุมัติ,5/8/2568,4/8/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD DONG NAI , VIETNAM",,U1CM00010268000279961065168771C,
เซนกะ SENKA,เพอร์เฟ็ค วิป คอลลาเจน อิน เอ PERFECT WHIP COLLAGEN IN A,10-2-6800015061,68,นำเข้า,อนุมัติ,5/5/2568,4/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000150611065168771C,
เซนกะ SENKA,เพอร์เฟ็ค วิป คอลลาเจน อิน เอ PERFECT WHIP COLLAGEN IN A,10-2-6800017157,68,นำเข้า,อนุมัติ,20/5/2568,19/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FINE TODAY INDUSTRIES CO., LTD. 5 KIYOKU-CHO, KUKI-SHI SAITAMA , JAPAN",,U1CM00010268000171571065168771C,
เซนกะ SENKA,เพอร์เฟ็ค วิป เอสพี PERFECT WHIP SP,10-2-6800015217,68,นำเข้า,อนุมัติ,6/5/2568,5/5/2571,บริษัท ไฟน์ ทูเดย์ (ไทยแลนด์) จำกัด,"FT INDUSTRIES VIETNAM CO., LTD. LOT 231-233-235-237, AMATA ROAD, LONG BINH INDUSTRIAL PARK (AMATA), LONG BINH WARD, BIEN HOA CITY DONG NAI , VIETNAM",,U1CM00010268000152171065168771C,
