ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เอ อาร์ AR,ออล คัฟเวอเรจ ฟาวน์เดชั่น เอสพีเอฟ50 พีเอ+++ ALL COVERAGE FOUNDATION SPF50 PA+++,12-1-6800000641,68,ผลิต,อนุมัติ,9/1/2568,8/1/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000006411052002581C,
เอ อาร์ AR,อควา สกิน คุชชั่น เอสพีเอฟ50 พีเอ+++ AQUA SKIN CUSHION SPF50 PA+++,12-1-6800013705,68,ผลิต,อนุมัติ,5/5/2568,4/5/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000137051052002581C,
เอ อาร์ AR,ดาร์ก สปอต คอร์เรคติ้ง เซรั่ม ครีม เอสพีเอฟ50 DARK SPOT CORRECTING SERUM CREAM SPF50,12-1-6800000732,68,ผลิต,อนุมัติ,9/1/2568,8/1/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000007321052002581C,
เอ อาร์ AR,ดาร์ก สปอต คอร์เรคติ้ง เซรั่ม ครีม เอสพีเอฟ50+ พีเอ++++ DARK SPOT CORRECTING SERUM CREAM SPF50+ PA++++,12-1-6800008364,68,ผลิต,อนุมัติ,14/3/2568,13/3/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000083641052002581C,
เอ อาร์ AR,ดูโอ้ เพอร์เฟค ฟาวน์เดชั่น พาวเดอร์ DUO PERFECT FOUNDATION POWDER,12-1-6800007116,68,ผลิต,อนุมัติ,4/3/2568,3/3/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000071161052002581C,
เอ อาร์ AR,เกลซ & ทินท์ ดิวอี้ ลิป GLAZE & TINT DEWY LIP,12-1-6800020760,68,ผลิต,อนุมัติ,3/7/2568,2/7/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000207601052002581C,
เอ อาร์ AR,ไฮยา คอลลาเจน มอยส์เจอร์ไรเซอร์ เซรั่ม ครีม เอสพีเอฟ50+ พีเอ++++ HYA COLLAGEN MOISTURIZER SERUM CREAM SPF50+ PA++++,12-1-6800006560,68,ผลิต,อนุมัติ,27/2/2568,26/2/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000065601052002581C,
เอ อาร์ AR,อินเทนซีฟ เซราไมด์ สกิน รีลีฟ เจนเทิล โฟม INTENSIVE CERAMIDE SKIN RELIEF GENTLE FOAM,12-1-6800027986,68,ผลิต,ยกเลิก (12/9/2568),1/9/2568,12/9/2568,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000279861052002581C,
เอ อาร์ AR,อินเทนซีฟ เซราไมด์ สกิน รีลีฟ เจนเทิล โฟม INTENSIVE CERAMIDE SKIN RELIEF GENTLE FOAM,12-1-6800030443,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000304431052002581C,
เอ อาร์ AR,อัลตร้า สลิม บราว เพนซิล แอนด์ มาสคาร่า ULTRA SLIM BROW PENCIL & MASCARA,12-1-6800028848,68,ผลิต,อนุมัติ,8/9/2568,7/9/2571,บริษัท รีเอ็กซ์ โปรดักส์ จำกัด,-,บริษัท เอ แอนด์ ซี คอสเมติกส์ จำกัด,U1CM00012168000288481052002581C,
