ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
แคร์ CARE,ลาเวนเดอร์ & โอ๊ตมิลค์ แป้งเด็ก BABY POWDER LAVENDER & OAT MILK,20-1-6800030299,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,-,,U1CM00020168000302991052000151C,
แคร์ CARE,พิงค์ ซอฟท์ แป้งเด็ก BABY POWDER PINK SOFT,20-1-6800030297,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,-,,U1CM00020168000302971052000151C,
แคร์ CARE,ไรซ์มิลค์ & ฟรีเซีย แป้งเด็ก BABY POWDER RICE MILK & FREESIA,20-1-6800030298,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,-,,U1CM00020168000302981052000151C,
แคร์ CARE,คลาสสิค แป้งเด็ก CLASSIC BABY POWDER,20-1-6800030295,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,-,,U1CM00020168000302951052000151C,
แคร์ CARE,ฟลอรัล คิส FLORAL KISS,20-1-6800005199,68,ผลิต,อนุมัติ,18/2/2568,17/2/2571,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,-,,U1CM00020168000051991052000151C,
แคร์ CARE,ฟลอรัล คิส แป้งเด็ก FLORAL KISS BABY POWDER,20-1-6800030446,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,-,,U1CM00020168000304461052000151C,
แคร์ CARE,พีโอนี & พีช แป้งเด็ก PEONY & PEACH BABY POWDER,20-1-6800030441,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,-,,U1CM00020168000304411052000151C,
แคร์ CARE,ซากุระ แป้งเด็ก SAKURA BABY POWDER,20-1-6800030296,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,-,,U1CM00020168000302961052000151C,
แคร์ CARE,โซเพียว แป้งเด็ก SOPURE BABY POWDER,20-1-6800030444,68,ผลิต,อนุมัติ,19/9/2568,18/9/2571,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,-,,U1CM00020168000304441052000151C,
แครี่ แคร์ CAREY CARE,อีเทอร์นัล โกลว์ บอดี้ ออยล์ ETERNAL GLOW BODY OIL,13-1-6800030167,68,ผลิต,อนุมัติ,18/9/2568,17/9/2571,บริษัท บี ยู สกิน จำกัด,-,นางสาว สิริมนต์ พุทธสงกรานต์,U1CM00013168000301671365000051C,
