ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
โอดีบีโอ ODBO,1.5 มม. สลิม เจล ไลเนอร์ 1.5 MM. SLIM GEL LINER,12-2-6800017294,68,นำเข้า,อนุมัติ,21/5/2568,20/5/2571,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,"GUANGDONG POLYACER INTERNATION GROUP 283 NANAO RD. JINPING,SHANTOU GUANGDONG 515041, PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000172941264000962C,
โอดีบีโอ ODBO,2 สเต็ปส์ ควิก แอนด์ ไลท์ แลชเชส กลู 2 STEPS QUICK & LIGHT LASHES GLUE,12-2-6800007244,68,นำเข้า,อนุมัติ,4/3/2568,3/3/2571,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,"GUANGDONG POLYACER INTERNATION GROUP 283 NANAO RD. JINPING,SHANTOU GUANGDONG 515041, PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000072441264000961C,
โอดีบีโอ ODBO,แอร์ เบลอ สกิน ทิ้นต์ สติ๊ก AIR BLUR SKIN TINT STICK,12-2-6800029844,68,นำเข้า,อนุมัติ,19/8/2568,18/8/2571,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,"GUANGDONG POLYACER INTERNATION GROUP 283 NANAO RD. JINPING,SHANTOU GUANGDONG 515041, PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000298441264000964C,
โอดีบีโอ ODBO,แอรี่ บราว มาสคาร่า AIRY BROW MASCARA,12-1-6800012591,68,ผลิต,อนุมัติ,25/4/2568,24/4/2571,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,-,,U1CM00012168000125911262001074C,
โอดีบีโอ ODBO,อะโลวีรา เมกอัป รีมูฟเวอร์ ไวพส์ ALOE VERA MAKEUP REMOVER WIPES,12-2-6800035030,68,นำเข้า,อนุมัติ,26/9/2568,25/9/2571,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,"GUANGDONG POLYACER INTERNATION GROUP 283 NANAO RD. JINPING,SHANTOU GUANGDONG 515041, PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000350301264000961C,
โอดีบีโอ ODBO,บาลานซ์ รีเซ็ต ไมเซลลาร์ เคลนซิ่ง วอเตอร์์ BALANCE RESET MICELLAR CLEANSING WATER,13-1-6800026215,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท ปฐวิน จำกัด (มหาชน),-,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,U1CM00013168000262151052001011C,
โอดีบีโอ ODBO,บีบี ครีม + แคร์ เอสพีเอฟ 50 พีเอ +++ BB CREAM+CARE SPF50 PA+++,11-1-6800002411,68,ผลิต,อนุมัติ,23/1/2568,22/1/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,U1CM00011168000024111161000012C,
โอดีบีโอ ODBO,เบลนดิ้ง มูส คัลเลอร์ พอต BLENDING MOUSSE COLOR POT,12-2-6800034647,68,นำเข้า,อนุมัติ,23/9/2568,22/9/2571,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,"GUANGDONG POLYACER INTERNATION GROUP 283 NANAO RD. JINPING,SHANTOU GUANGDONG 515041, PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000346471264000965C,
โอดีบีโอ ODBO,บลิ้งค์ คิ้วบ์ ไฮไลเตอร์ BLINK CUBE HIGHLIGHTER,12-1-6800032474,68,ผลิต,อนุมัติ,6/10/2568,5/10/2571,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,-,,U1CM00012168000324741262001074C,
โอดีบีโอ ODBO,บลิ้งค์ คิ้วบ์ ไฮไลเตอร์ BLINK CUBE HIGHLIGHTER,12-2-6800021730,68,นำเข้า,อนุมัติ,22/6/2568,21/6/2571,บริษัท เมก้า คอสเมติก (ประเทศไทย) จำกัด,"GUANGDONG POLYACER INTERNATION GROUP 283 NANAO RD. JINPING,SHANTOU GUANGDONG 515041, PEOPLE’S REPUBLIC OF CHINA",,U1CM00012268000217301264000964C,
