ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ไอว่า AIVA,โดว์ บลัช ป๊อป DOUGH BLUSH POP,74-1-6800007545,68,ผลิต,อนุมัติ,7/3/2568,6/3/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท เอ็มเอ็ม คอสเมติกส์ จำกัด,U1CM00074168000075451052002833C,
ไอว่า AIVA,โดว์ บลัช ป๊อป 01 บัตเตอร์ฟลาย คิส DOUGH BLUSH POP 01 BUTTERFLY KISSES,74-1-6800007469,68,ผลิต,อนุมัติ,6/3/2568,5/3/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท เอ็มเอ็ม คอสเมติกส์ จำกัด,U1CM00074168000074691052002831C,
ไอว่า AIVA,สตาร์เกซ กลอส STARGAZE GLOSS,74-1-6800024302,68,ผลิต,อนุมัติ,1/8/2568,31/7/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท เอ็มเอ็ม คอสเมติกส์ จำกัด,U1CM00074168000243021052002836C,
บาร์บี้วิงค์ BARBIESWINK,เบบี้ ดอล เชอร์รี่ พิงค์ BABY DOLL CHERRY PINK,74-1-6800000897,68,ผลิต,อนุมัติ,10/1/2568,9/1/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท บาร์บี้ วิงค์ ดีเวลลอปเมนท์ จำกัด,U1CM00074168000008971052002831C,
บาร์บี้วิงค์ BARBIESWINK,เบบี้ ดอล พีชชี่ BABY DOLL PEACHY,74-1-6800000896,68,ผลิต,อนุมัติ,10/1/2568,9/1/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท บาร์บี้ วิงค์ ดีเวลลอปเมนท์ จำกัด,U1CM00074168000008961052002831C,
บิวตี้แลป BEAUTILAB,เอทูพี คอนเซ็นเทรต พีช ดาร์คสปอต คอเรคเตอร์ - ดีพ A2P CONCENTRATE PEACH DARK SPOT CORRECTOR - DEEP,74-1-6800014909,68,ผลิต,อนุมัติ,15/5/2568,14/5/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท เฟิร์สคลาส อินโนเวชั่น จำกัด,U1CM00074168000149091052002831C,
บิวตี้แลป BEAUTILAB,เอทูพี คอนเซ็นเทรต พีช ดาร์คสปอต คอเรคเตอร์ - ไลท์ A2P CONCENTRATE PEACH DARK SPOT CORRECTOR - LIGHT,74-1-6800014911,68,ผลิต,อนุมัติ,15/5/2568,14/5/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท เฟิร์สคลาส อินโนเวชั่น จำกัด,U1CM00074168000149111052002831C,
บิวตี้ เซน BEAUTY ZEN,ชาร์โคล เฟเชียล โซพ CHARCOAL FACIAL SOAP,74-1-6800008303,68,ผลิต,อนุมัติ,13/3/2568,12/3/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท คังเซน-เคนโก อินเตอร์เนชั่นแนล จำกัด,U1CM00074168000083031052002831C,
บิวตี้ เซน BEAUTY ZEN,กรีน ที เฟเชียล โซพ GREEN TEA FACIAL SOAP,74-1-6800008302,68,ผลิต,อนุมัติ,13/3/2568,12/3/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท คังเซน-เคนโก อินเตอร์เนชั่นแนล จำกัด,U1CM00074168000083021052002831C,
คังเซน-เคนโก KANGZEN-KENKO,บิวตี้ เซน-กรีน ที เฟเชียล โซพ BEAUTY ZEN-GREEN TEA FACIAL SOAP,74-1-6800006546,68,ผลิต,อนุมัติ,27/2/2568,26/2/2571,บริษัท คัลเล่อร์คอส จำกัด,-,บริษัท คังเซน-เคนโก อินเตอร์เนชั่นแนล จำกัด,U1CM00074168000065461052002831C,
