ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย กู้ด สกิน คุชชั่น เอสพีเอฟ 50 พีเอ +++ เบอร์ 00 OH MY GOOD SKIN CUSHION SPF 50 PA+++ NO.00,11-1-6800018614,68,ผลิต,อนุมัติ,17/6/2568,16/6/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000186141161000011C,
ทูพี ออริจินอล 2P ORIGINAL,โอ้ มาย มาสคาร่า OH MY MASCARA,11-1-6800028607,68,ผลิต,อนุมัติ,5/9/2568,4/9/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท ทูพี ออริจินอล จำกัด,U1CM00011168000286071161000012C,
อดอร์ ADOR,เจนเทิล บาลานซิ่ง เจลลี่ คลีนเซอร์ GENTLE BALANCING JELLY CLEANSER,11-1-6800003447,68,ผลิต,อนุมัติ,31/1/2568,30/1/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท อดอร์ บิวตี้ จำกัด,U1CM00011168000034471161000011C,
อัลเธอร์ ALTER,ลิป วอลลุ่มไมเซอร์ LIP VOLUMIZER,11-1-6800020598,68,ผลิต,อนุมัติ,2/7/2568,1/7/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท พิน เดอะ บิลเลี่ยนแนร์ จำกัด,U1CM00011168000205981161000014C,
อัลเธอร์ ALTER,ลิป วอลลุ่มไมเซอร์ 02 เดียร์ มาย เฟิสต์ LIP VOLUMIZER 02 DEAR MY FIRST,11-1-6800020600,68,ผลิต,อนุมัติ,2/7/2568,1/7/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท พิน เดอะ บิลเลี่ยนแนร์ จำกัด,U1CM00011168000206001161000011C,
อัลเธอร์ ALTER,ทรานส์ลูเซนท์ ซอฟท์ เบลอ พาวเดอร์ TRANSLUCENT SOFT BLUR POWDER,11-1-6800021979,68,ผลิต,อนุมัติ,15/7/2568,14/7/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท พิน เดอะ บิลเลี่ยนแนร์ จำกัด,U1CM00011168000219791161000011C,
แบร์มี BAREME,ไวต้า โกลว์ คลีนเซอร์ VITA GLOW CLEANSER,11-1-6800021049,68,ผลิต,อนุมัติ,7/7/2568,6/7/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท บิวเทรี่ยม จำกัด,U1CM00011168000210491161000011C,
แบร์มี BAREME,ไวต้า โกลว์ เซรั่ม VITA GLOW SERUM,11-1-6800021096,68,ผลิต,อนุมัติ,7/7/2568,6/7/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,บริษัท บิวเทรี่ยม จำกัด,U1CM00011168000210961161000011C,
เบลล่า BELLA,ทรี ดี ธิค ลอง เคิร์ลส ลาช เอ็กซ์เพรส มาสคาร่า เจ็ท แบล็ค 3D THICK LONG CURLS LASH EXPRESS MASCARA JET BLACK,11-1-6800003538,68,ผลิต,อนุมัติ,3/2/2568,2/2/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,,U1CM00011168000035381161000011C,
เบลล่า BELLA,แอร์รี่ โกลว์ ฟลอเลส คอนซีลเลอร์ AIRY GLOW FLAWLESS CONCEALER,11-1-6800008229,68,ผลิต,อนุมัติ,13/3/2568,12/3/2571,บริษัท ซีโอเอสเอ็มเอเอ็กซ์ (ไทยแลนด์) จำกัด,-,,U1CM00011168000082291161000012C,
